dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	10ff4926caa9	cb689a744dfb	total-country	Andorra	AD	Andorra			42.5	1.5	Europe	Southern Europe	2020-03-02	41	1					-31	-28	-34	1			1	1.299			1.299				100	1			1					1.299			1.299	2.646			2.778	468	77000	7.7	46.2
jhu/series	01e069162ffa	cb689a744dfb	total-country	Andorra	AD	Andorra			42.5	1.5	Europe	Southern Europe	2020-03-12	51	11					-21	-18	-24	1		1		1.299		1.299				100				1	-1				-100			1.299	-1.299			10.204	-2.778	468	77000	7.7	46.2
jhu/series	fd82bd815faf	cb689a744dfb	total-country	Andorra	AD	Andorra			42.5	1.5	Europe	Southern Europe	2020-03-13	52	12					-20	-17	-23	1			1	1.299			1.299				100			-1	1			-100				-1.299	1.299			-10.204	2.778	468	77000	7.7	46.2
jhu/series	940243a3fc69	cb689a744dfb	total-country	Andorra	AD	Andorra			42.5	1.5	Europe	Southern Europe	2020-03-14	53	13					-19	-16	-22	1		1		1.299		1.299				100				1	-1				-100			1.299	-1.299			10.204	-2.778	468	77000	7.7	46.2
jhu/series	a02f47bec791	cb689a744dfb	total-country	Andorra	AD	Andorra			42.5	1.5	Europe	Southern Europe	2020-03-16	55	15					-17	-14	-20	2		1	1	2.597		1.299	1.299			50	50	1			1	100				1.299			1.299	2.646			2.778	468	77000	7.7	46.2
jhu/series	68ec8a5167f1	cb689a744dfb	total-country	Andorra	AD	Andorra			42.5	1.5	Europe	Southern Europe	2020-03-17	56	16	1				-16	-13	-19	39		1	38	50.649		1.299	49.351			2.564	97.436	37			37	1850			3700	48.052			48.052	97.884			102.778	468	77000	7.7	46.2
jhu/series	08ed84bde73c	cb689a744dfb	total-country	Andorra	AD	Andorra			42.5	1.5	Europe	Southern Europe	2020-03-19	58	18	3				-14	-11	-17	53		1	52	68.831		1.299	67.532			1.887	98.113	14			14	35.897			36.842	18.182			18.182	37.037			38.889	468	77000	7.7	46.2
jhu/series	46c048731c9b	cb689a744dfb	total-country	Andorra	AD	Andorra			42.5	1.5	Europe	Southern Europe	2020-03-20	59	19	4				-13	-10	-16	75		1	74	97.403		1.299	96.104			1.333	98.667	22			22	41.509			42.308	28.571			28.571	58.201			61.111	468	77000	7.7	46.2
jhu/series	cf691aca896a	cb689a744dfb	total-country	Andorra	AD	Andorra			42.5	1.5	Europe	Southern Europe	2020-03-21	60	20	5				-12	-9	-15	88		1	87	114.286		1.299	112.987			1.136	98.864	13			13	17.333			17.568	16.883			16.883	34.392			36.111	468	77000	7.7	46.2
jhu/series	6a42e4bb0674	cb689a744dfb	total-country	Andorra	AD	Andorra			42.5	1.5	Europe	Southern Europe	2020-03-22	61	21	6	1			-11	-8	-14	113	1	1	111	146.753	1.299	1.299	144.156		0.885	0.885	98.23	25	1		24	28.409			27.586	32.468	1.299		31.169	66.138	38.462		66.667	468	77000	7.7	46.2
