dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	f6b9d8adfc02	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-01-29	8	1					-65	-68	-62	4			4	0.04			0.04				100	4			4					1.434			1.581	83600	9992083	2	38.4
jhu/series	bccdbf06e482	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-02-02	12	5					-61	-64	-58	5			5	0.05			0.05				100	1			1	25			25	0.358			0.395	83600	9992083	2	38.4
jhu/series	392b0b233218	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-02-08	18	11					-55	-58	-52	7			7	0.07			0.07				100	2			2	40			40	0.717			0.791	83600	9992083	2	38.4
jhu/series	d510284031ea	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-02-10	20	13					-53	-56	-50	8			8	0.08			0.08				100	1			1	14.286			14.286	0.358			0.395	83600	9992083	2	38.4
jhu/series	6893055833b5	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-02-12	22	15					-51	-54	-48	8		1	7	0.08		0.01	0.07			12.5	87.5			1	-1				-12.5			4	-0.395	83600	9992083	2	38.4
jhu/series	fc2a9e2d3a1e	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-02-15	25	18					-48	-51	-45	8		3	5	0.08		0.03	0.05			37.5	62.5			2	-2			200	-28.571			8	-0.791	83600	9992083	2	38.4
jhu/series	111c733f9f01	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-02-16	26	19					-47	-50	-44	9		4	5	0.09		0.04	0.05			44.444	55.556	1		1		12.5		33.333		0.358		4		83600	9992083	2	38.4
jhu/series	6ba07cb022f4	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-02-22	32	25	1				-41	-44	-38	13		4	9	0.13		0.04	0.09			30.769	69.231	4			4	44.444			80	1.434			1.581	83600	9992083	2	38.4
jhu/series	d2fb6984fe3c	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-02-28	38	31	7				-35	-38	-32	19		5	14	0.19		0.05	0.14			26.316	73.684	6		1	5	46.154		25	55.556	2.151		4	1.976	83600	9992083	2	38.4
jhu/series	f74b62980530	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-02-29	39	32	8				-34	-37	-31	21		5	16	0.21		0.05	0.16			23.81	76.19	2			2	10.526			14.286	0.717			0.791	83600	9992083	2	38.4
jhu/series	b31d960d4708	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-03-03	42	35	11				-31	-34	-28	27		5	22	0.27		0.05	0.22			18.519	81.481	6			6	28.571			37.5	2.151			2.372	83600	9992083	2	38.4
jhu/series	ad6053dead83	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-03-05	44	37	13				-29	-32	-26	29		5	24	0.29		0.05	0.24			17.241	82.759	2			2	7.407			9.091	0.717			0.791	83600	9992083	2	38.4
jhu/series	af6329dc39f7	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-03-07	46	39	15				-27	-30	-24	45		7	38	0.45		0.07	0.38			15.556	84.444	16		2	14	55.172		40	58.333	5.735		8	5.534	83600	9992083	2	38.4
jhu/series	f9c796d6ebb0	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-03-10	49	42	18				-24	-27	-21	74		12	62	0.741		0.12	0.62			16.216	83.784	29		5	24	64.444		71.429	63.158	10.394		20	9.486	83600	9992083	2	38.4
jhu/series	701e3bbab7aa	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-03-11	50	43	19				-23	-26	-20	74		17	57	0.741		0.17	0.57			22.973	77.027			5	-5			41.667	-8.065			20	-1.976	83600	9992083	2	38.4
jhu/series	c3479e1843d5	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-03-12	51	44	20				-22	-25	-19	85		17	68	0.851		0.17	0.681			20	80	11			11	14.865			19.298	3.943			4.348	83600	9992083	2	38.4
jhu/series	814c55da243f	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-03-15	54	47	23				-19	-22	-16	98		23	75	0.981		0.23	0.751			23.469	76.531	13		6	7	15.294		35.294	10.294	4.659		24	2.767	83600	9992083	2	38.4
jhu/series	1cf42a313822	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-03-18	57	50	26	1			-16	-19	-13	113		26	87	1.131		0.26	0.871			23.009	76.991	15		3	12	15.306		13.043	16	5.376		12	4.743	83600	9992083	2	38.4
jhu/series	01db3b3f203a	074dd6819024	total-country	United Arab Emirates	AE	United Arab Emirates			24	54	Asia	Western Asia	2020-03-19	58	51	27	2			-15	-18	-12	140		31	109	1.401		0.31	1.091			22.143	77.857	27		5	22	23.894		19.231	25.287	9.677		20	8.696	83600	9992083	2	38.4
