dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	02fb5c610e5d	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-03	42	1					-29	-27	-32	1			1	0.002			0.002				100	1			1					0.002			0.002	0.776			0.84	2780400	45479118	7.4	32.4
jhu/series	a05b0d466a19	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-06	45	4					-26	-24	-29	2			2	0.004			0.004				100	1			1	100			100	0.002			0.002	0.776			0.84	2780400	45479118	7.4	32.4
jhu/series	6760d31d9f0d	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-07	46	5					-25	-23	-28	8			8	0.018			0.018				100	6			6	300			300	0.013			0.013	4.658			5.042	2780400	45479118	7.4	32.4
jhu/series	c8338d6659ef	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-08	47	6	1				-24	-22	-27	12	1		11	0.026	0.002		0.024		8.333		91.667	4	1		3	50			37.5	0.009	0.002		0.007	3.106	15.625		2.521	2780400	45479118	7.4	32.4
jhu/series	e8a26bd61573	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-10	49	8	3				-22	-20	-25	17	1		16	0.037	0.002		0.035		5.882		94.118	5			5	41.667			45.455	0.011			0.011	3.882			4.202	2780400	45479118	7.4	32.4
jhu/series	86ebf4e8d525	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-11	50	9	4				-21	-19	-24	19	1		18	0.042	0.002		0.04		5.263		94.737	2			2	11.765			12.5	0.004			0.004	1.553			1.681	2780400	45479118	7.4	32.4
jhu/series	faf71b14d872	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-13	52	11	6				-19	-17	-22	31	2		29	0.068	0.004		0.064		6.452		93.548	12	1		11	63.158	100		61.111	0.026	0.002		0.024	9.317	15.625		9.244	2780400	45479118	7.4	32.4
jhu/series	af889fae08a7	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-14	53	12	7				-18	-16	-21	34	2	1	31	0.075	0.004	0.002	0.068		5.882	2.941	91.176	3		1	2	9.677			6.897	0.007		0.002	0.004	2.329		3.571	1.681	2780400	45479118	7.4	32.4
jhu/series	9be3b55824eb	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-15	54	13	8				-17	-15	-20	45	2	1	42	0.099	0.004	0.002	0.092		4.444	2.222	93.333	11			11	32.353			35.484	0.024			0.024	8.54			9.244	2780400	45479118	7.4	32.4
jhu/series	3c47ab864b2b	d876d63a6a5d	total-country	Argentina	AR	Argentina			-34	-64	Americas	South America	2020-03-16	55	14	9				-16	-14	-19	56	2	1	53	0.123	0.004	0.002	0.117		3.571	1.786	94.643	11			11	24.444			26.19	0.024			0.024	8.54			9.244	2780400	45479118	7.4	32.4
