dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	6adfd7de3426	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-02-25	35	1					-34	-29	-40	2			2	0.023			0.023				100	2			2					0.023			0.023	0.247			0.268	83871	8859449	9.8	44.5
jhu/series	ce6bb4b61343	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-02-27	37	3					-32	-27	-38	3			3	0.034			0.034				100	1			1	50			50	0.011			0.011	0.124			0.134	83871	8859449	9.8	44.5
jhu/series	1d03a69afebc	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-02-29	39	5					-30	-25	-36	9			9	0.102			0.102				100	6			6	200			200	0.068			0.068	0.741			0.805	83871	8859449	9.8	44.5
jhu/series	67eb059d0cdc	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-01	40	6	1				-29	-24	-35	14			14	0.158			0.158				100	5			5	55.556			55.556	0.056			0.056	0.618			0.671	83871	8859449	9.8	44.5
jhu/series	9294db5b10fa	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-02	41	7	2				-28	-23	-34	18			18	0.203			0.203				100	4			4	28.571			28.571	0.045			0.045	0.494			0.537	83871	8859449	9.8	44.5
jhu/series	ba2229503612	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-03	42	8	3				-27	-22	-33	21			21	0.237			0.237				100	3			3	16.667			16.667	0.034			0.034	0.371			0.403	83871	8859449	9.8	44.5
jhu/series	09a4f1690267	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-04	43	9	4				-26	-21	-32	29			29	0.327			0.327				100	8			8	38.095			38.095	0.09			0.09	0.988			1.074	83871	8859449	9.8	44.5
jhu/series	b9d6d2e72356	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-05	44	10	5				-25	-20	-31	41			41	0.463			0.463				100	12			12	41.379			41.379	0.135			0.135	1.483			1.61	83871	8859449	9.8	44.5
jhu/series	7ce0f270e0a9	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-06	45	11	6				-24	-19	-30	55			55	0.621			0.621				100	14			14	34.146			34.146	0.158			0.158	1.73			1.879	83871	8859449	9.8	44.5
jhu/series	8a21d6a6dd6e	6d8f361005f5	total-country	Austria	AT	Austria			47.33333333	13.33333333	Europe	Western Europe	2020-03-07	46	12	7				-23	-18	-29	79			79	0.892			0.892				100	24			24	43.636			43.636	0.271			0.271	2.965			3.221	83871	8859449	9.8	44.5
