dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	623399420801	be084c0e9c2f	total-country	Australia	AU	Australia			-27	133	Oceania	Australia and New Zealand	2020-01-26	5	1					-64	-60	-68	4			4	0.015706934364137552			0.015706934364137552				100	4			4					0.9965122072745392			1.0851871947911014	7741220	25466459	6.9	37.5
jhu/series	d50085595e7a	be084c0e9c2f	total-country	Australia	AU	Australia			-27	133	Oceania	Australia and New Zealand	2020-01-27	6	2					-63	-59	-67	5			5	0.01963366795517194			0.01963366795517194				100	1			1	25			25	0.2491280518186348			0.27129679869777534	7741220	25466459	6.9	37.5
jhu/series	c00474da5386	be084c0e9c2f	total-country	Australia	AU	Australia			-27	133	Oceania	Australia and New Zealand	2020-01-29	8	4					-61	-57	-65	6			6	0.023560401546206325			0.023560401546206325				100	1			1	20			20	0.2491280518186348			0.27129679869777534	7741220	25466459	6.9	37.5
jhu/series	979645779ba1	be084c0e9c2f	total-country	Australia	AU	Australia			-27	133	Oceania	Australia and New Zealand	2020-01-30	9	5					-60	-56	-64	9		2	7	0.035340602319309494		0.007853467182068776	0.02748713513724071			22.22222222222222	77.77777777777779	3		2	1	50			16.666666666666668	0.7473841554559044		2.2026431718061676	0.27129679869777534	7741220	25466459	6.9	37.5
jhu/series	fdf154c34f25	be084c0e9c2f	total-country	Australia	AU	Australia			-27	133	Oceania	Australia and New Zealand	2020-02-01	11	7	1				-58	-54	-62	12		2	10	0.04712080309241265		0.007853467182068776	0.03926733591034388			16.666666666666664	83.33333333333334	3			3	33.333333333333336			42.857142857142854	0.7473841554559044			0.8138903960933261	7741220	25466459	6.9	37.5
jhu/series	b6fe507c0dd5	be084c0e9c2f	total-country	Australia	AU	Australia			-27	133	Oceania	Australia and New Zealand	2020-02-04	14	10	4				-55	-51	-59	13		2	11	0.05104753668344704		0.007853467182068776	0.04319406950137827			15.384615384615385	84.61538461538461	1			1	8.333333333333334			10	0.2491280518186348			0.27129679869777534	7741220	25466459	6.9	37.5
jhu/series	5c87892a7b5a	be084c0e9c2f	total-country	Australia	AU	Australia			-27	133	Oceania	Australia and New Zealand	2020-02-06	16	12	6				-53	-49	-57	14		2	12	0.05497427027448142		0.007853467182068776	0.04712080309241265			14.285714285714285	85.71428571428571	1			1	7.6923076923076925			9.090909090909092	0.2491280518186348			0.27129679869777534	7741220	25466459	6.9	37.5
jhu/series	14dbbb761a86	be084c0e9c2f	total-country	Australia	AU	Australia			-27	133	Oceania	Australia and New Zealand	2020-02-07	17	13	7				-52	-48	-56	15		2	13	0.05890100386551581		0.007853467182068776	0.05104753668344704			13.333333333333334	86.66666666666667	1			1	7.142857142857143			8.333333333333334	0.2491280518186348			0.27129679869777534	7741220	25466459	6.9	37.5
jhu/series	81b7b4cabef8	be084c0e9c2f	total-country	Australia	AU	Australia			-27	133	Oceania	Australia and New Zealand	2020-02-13	23	19	13				-46	-42	-50	15		8	7	0.05890100386551581		0.031413868728275104	0.02748713513724071			53.333333333333336	46.666666666666664			6	-6			300	-46.15384615384615			6.607929515418502	-1.6277807921866523	7741220	25466459	6.9	37.5
jhu/series	158b850d842a	be084c0e9c2f	total-country	Australia	AU	Australia			-27	133	Oceania	Australia and New Zealand	2020-02-17	27	23	17				-42	-38	-46	15		10	5	0.05890100386551581		0.03926733591034388	0.01963366795517194			66.66666666666666	33.33333333333333			2	-2			25	-28.571428571428573			2.2026431718061676	-0.5425935973955507	7741220	25466459	6.9	37.5
