dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	8bd4740796d7	cc547fbd7c0f	total-country	Aruba	AW	Aruba			12.5	-69.96666666	Americas	Caribbean	2020-03-13	52	1					-22	-22		2			2	1.675			1.675				100	2			2					1.675			1.675	29.412			31.25	180	119428	8.7	39.9
jhu/series	45a7886c8ed3	cc547fbd7c0f	total-country	Aruba	AW	Aruba			12.5	-69.96666666	Americas	Caribbean	2020-03-17	56	5					-18	-18		3			3	2.512			2.512				100	1			1	50			50	0.837			0.837	14.706			15.625	180	119428	8.7	39.9
jhu/series	b51046d2b556	cc547fbd7c0f	total-country	Aruba	AW	Aruba			12.5	-69.96666666	Americas	Caribbean	2020-03-18	57	6					-17	-17		4			4	3.349			3.349				100	1			1	33.333			33.333	0.837			0.837	14.706			15.625	180	119428	8.7	39.9
jhu/series	5bcab7eb69af	cc547fbd7c0f	total-country	Aruba	AW	Aruba			12.5	-69.96666666	Americas	Caribbean	2020-03-20	59	8					-15	-15		5			5	4.187			4.187				100	1			1	25			25	0.837			0.837	14.706			15.625	180	119428	8.7	39.9
jhu/series	4717edaa96bd	cc547fbd7c0f	total-country	Aruba	AW	Aruba			12.5	-69.96666666	Americas	Caribbean	2020-03-22	61	10					-13	-13		9			9	7.536			7.536				100	4			4	80			80	3.349			3.349	58.824			62.5	180	119428	8.7	39.9
jhu/series	924e4a739110	cc547fbd7c0f	total-country	Aruba	AW	Aruba			12.5	-69.96666666	Americas	Caribbean	2020-03-24	63	12	1				-11	-11		12		1	11	10.048		0.837	9.211			8.333	91.667	3		1	2	33.333			22.222	2.512		0.837	1.675	44.118		26.316	31.25	180	119428	8.7	39.9
jhu/series	05236d0b2552	cc547fbd7c0f	total-country	Aruba	AW	Aruba			12.5	-69.96666666	Americas	Caribbean	2020-03-25	64	13	2				-10	-10		17		1	16	14.235		0.837	13.397			5.882	94.118	5			5	41.667			45.455	4.187			4.187	73.529			78.125	180	119428	8.7	39.9
jhu/series	2ff18900fcd9	cc547fbd7c0f	total-country	Aruba	AW	Aruba			12.5	-69.96666666	Americas	Caribbean	2020-03-26	65	14	3				-9	-9		28		1	27	23.445		0.837	22.608			3.571	96.429	11			11	64.706			68.75	9.211			9.211	161.765			171.875	180	119428	8.7	39.9
jhu/series	77d6a4169942	cc547fbd7c0f	total-country	Aruba	AW	Aruba			12.5	-69.96666666	Americas	Caribbean	2020-03-27	66	15	4				-8	-8		33		1	32	27.632		0.837	26.794			3.03	96.97	5			5	17.857			18.519	4.187			4.187	73.529			78.125	180	119428	8.7	39.9
jhu/series	2170347baf2e	cc547fbd7c0f	total-country	Aruba	AW	Aruba			12.5	-69.96666666	Americas	Caribbean	2020-03-28	67	16	5				-7	-7		46		1	45	38.517		0.837	37.68			2.174	97.826	13			13	39.394			40.625	10.885			10.885	191.176			203.125	180	119428	8.7	39.9
