dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	0e7ccc2fe7ac	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-01	40	1					-37	-38	-37	3			3	0.029			0.029				100	3			3					0.029			0.029	3.846			4.412	86600	10205810	7	32.6
jhu/series	eb624430d751	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-05	44	5					-33	-34	-33	6			6	0.059			0.059				100	3			3	100			100	0.029			0.029	3.846			4.412	86600	10205810	7	32.6
jhu/series	a305e7df5d23	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-07	46	7					-31	-32	-31	9			9	0.088			0.088				100	3			3	50			50	0.029			0.029	3.846			4.412	86600	10205810	7	32.6
jhu/series	5034f738231c	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-10	49	10	1				-28	-29	-28	11			11	0.108			0.108				100	2			2	22.222			22.222	0.02			0.02	2.564			2.941	86600	10205810	7	32.6
jhu/series	878e9468ff22	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-11	50	11	2				-27	-28	-27	11		3	8	0.108		0.029	0.078			27.273	72.727			3	-3				-27.273			0.029	-0.029			9.375	-4.412	86600	10205810	7	32.6
jhu/series	0d9c9d5491d4	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-13	52	13	4				-25	-26	-25	15	1	3	11	0.147	0.01	0.029	0.108		6.667	20	73.333	4	1		3	36.364			37.5	0.039	0.01		0.029	5.128	100		4.412	86600	10205810	7	32.6
jhu/series	eab04347883b	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-15	54	15	6				-23	-24	-23	23	1	6	16	0.225	0.01	0.059	0.157		4.348	26.087	69.565	8		3	5	53.333		100	45.455	0.078		0.029	0.049	10.256		9.375	7.353	86600	10205810	7	32.6
jhu/series	81ca14fbc551	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-16	55	16	7				-22	-23	-22	28	1	6	21	0.274	0.01	0.059	0.206		3.571	21.429	75	5			5	21.739			31.25	0.049			0.049	6.41			7.353	86600	10205810	7	32.6
jhu/series	701162bfe83e	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-19	58	19	10				-19	-20	-19	44	1	6	37	0.431	0.01	0.059	0.363		2.273	13.636	84.091	16			16	57.143			76.19	0.157			0.157	20.513			23.529	86600	10205810	7	32.6
jhu/series	156c9a7b1117	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-21	60	21	12				-17	-18	-17	53	1	11	41	0.519	0.01	0.108	0.402		1.887	20.755	77.358	9		5	4	20.455		83.333	10.811	0.088		0.049	0.039	11.538		15.625	5.882	86600	10205810	7	32.6
jhu/series	d6e4fb7b444b	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-22	61	22	13				-16	-17	-16	65	1	10	54	0.637	0.01	0.098	0.529		1.538	15.385	83.077	12		-1	13	22.642		-9.091	31.707	0.118		-0.01	0.127	15.385		-3.125	19.118	86600	10205810	7	32.6
jhu/series	8b400f21fe7d	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-23	62	23	14				-15	-16	-15	72	1	10	61	0.705	0.01	0.098	0.598		1.389	13.889	84.722	7			7	10.769			12.963	0.069			0.069	8.974			10.294	86600	10205810	7	32.6
jhu/series	ed75c7659fe6	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-24	63	24	15				-14	-15	-14	87	1	10	76	0.852	0.01	0.098	0.745		1.149	11.494	87.356	15			15	20.833			24.59	0.147			0.147	19.231			22.059	86600	10205810	7	32.6
jhu/series	83491823a7ef	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-25	64	25	16				-13	-14	-13	93	2	10	81	0.911	0.02	0.098	0.794		2.151	10.753	87.097	6	1		5	6.897	100		6.579	0.059	0.01		0.049	7.692	100		7.353	86600	10205810	7	32.6
jhu/series	5eb40d7bf2e6	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-26	65	26	17	1			-12	-13	-12	122	3	15	104	1.195	0.029	0.147	1.019		2.459	12.295	85.246	29	1	5	23	31.183	50	50	28.395	0.284	0.01	0.049	0.225	37.179	100	15.625	33.824	86600	10205810	7	32.6
jhu/series	80f6c43df888	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-27	66	27	18	2			-11	-12	-11	165	3	15	147	1.617	0.029	0.147	1.44		1.818	9.091	89.091	43			43	35.246			41.346	0.421			0.421	55.128			63.235	86600	10205810	7	32.6
jhu/series	5d8dbefdc6fd	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-28	67	28	19	3			-10	-11	-10	182	4	15	163	1.783	0.039	0.147	1.597		2.198	8.242	89.56	17	1		16	10.303	33.333		10.884	0.167	0.01		0.157	21.795	100		23.529	86600	10205810	7	32.6
jhu/series	c8a2034654de	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-29	68	29	20	4			-9	-10	-9	209	4	15	190	2.048	0.039	0.147	1.862		1.914	7.177	90.909	27			27	14.835			16.564	0.265			0.265	34.615			39.706	86600	10205810	7	32.6
jhu/series	5753a354a71b	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-30	69	30	21	5			-8	-9	-8	273	4	26	243	2.675	0.039	0.255	2.381		1.465	9.524	89.011	64		11	53	30.622		73.333	27.895	0.627		0.108	0.519	82.051		34.375	77.941	86600	10205810	7	32.6
jhu/series	e61e2d25e944	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-03-31	70	31	22	6			-7	-8	-7	298	5	26	267	2.92	0.049	0.255	2.616		1.678	8.725	89.597	25	1		24	9.158	25		9.877	0.245	0.01		0.235	32.051	100		35.294	86600	10205810	7	32.6
jhu/series	38fce94097f0	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-04-01	71	32	23	7			-6	-7	-6	359	5	26	328	3.518	0.049	0.255	3.214		1.393	7.242	91.365	61			61	20.47			22.846	0.598			0.598	78.205			89.706	86600	10205810	7	32.6
jhu/series	954014176b5d	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-04-02	72	33	24	8			-5	-6	-5	400	5	26	369	3.919	0.049	0.255	3.616		1.25	6.5	92.25	41			41	11.421			12.5	0.402			0.402	52.564			60.294	86600	10205810	7	32.6
jhu/series	970530af29d1	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-04-03	73	34	25	9			-4	-5	-4	443	5	32	406	4.341	0.049	0.314	3.978		1.129	7.223	91.648	43		6	37	10.75		23.077	10.027	0.421		0.059	0.363	55.128		18.75	54.412	86600	10205810	7	32.6
jhu/series	ecee3cb70c63	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-04-04	74	35	26	10			-3	-4	-3	521	5	32	484	5.105	0.049	0.314	4.742		0.96	6.142	92.898	78			78	17.607			19.212	0.764			0.764	100			114.706	86600	10205810	7	32.6
jhu/series	7e465bd6e917	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-04-05	75	36	27	11			-2	-3	-2	584	7	32	545	5.722	0.069	0.314	5.34		1.199	5.479	93.322	63	2		61	12.092	40		12.603	0.617	0.02		0.598	80.769	200		89.706	86600	10205810	7	32.6
jhu/series	9b9ea3f27ec1	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-04-06	76	37	28	12			-1	-2	-1	641	7	44	590	6.281	0.069	0.431	5.781		1.092	6.864	92.044	57		12	45	9.76		37.5	8.257	0.559		0.118	0.441	73.077		37.5	66.176	86600	10205810	7	32.6
jhu/series	b5643bb4ac98	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-04-07	77	38	29	13			-0	-1	0	717	8	44	665	7.025	0.078	0.431	6.516		1.116	6.137	92.748	76	1		75	11.856	14.286		12.712	0.745	0.01		0.735	97.436	100		110.294	86600	10205810	7	32.6
jhu/series	a8a50f7aba60	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-04-08	78	39	30	14			0	0	1	822	8	63	751	8.054	0.078	0.617	7.359		0.973	7.664	91.363	105		19	86	14.644		43.182	12.932	1.029		0.186	0.843	134.615		59.375	126.471	86600	10205810	7	32.6
jhu/series	977584b5afc8	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-04-09	79	40	31	15			1	1	2	926	9	101	816	9.073	0.088	0.99	7.995		0.972	10.907	88.121	104	1	38	65	12.652	12.5	60.317	8.655	1.019	0.01	0.372	0.637	133.333	100	118.75	95.588	86600	10205810	7	32.6
jhu/series	47ad9ba2b059	19b31fe11cdf	total-country	Azerbaijan	AZ	Azerbaijan			40.5	47.5	Asia	Western Asia	2020-04-10	80	41	32	16			2	2	3	991	10	159	822	9.71	0.098	1.558	8.054		1.009	16.044	82.947	65	1	58	6	7.019	11.111	57.426	0.735	0.637	0.01	0.568	0.059	83.333	100	181.25	8.824	86600	10205810	7	32.6
