dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	2c82d1994ccf	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-05	44	1					-28	-28	-28	2			2	0.052143270936957226			0.052143270936957226				100	2			2					3.4364261168384878			3.9215686274509802	51197	3835586	10.2	43.3
jhu/series	94fd16f6f2f6	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-07	46	3					-26	-26	-26	3			3	0.07821490640543584			0.07821490640543584				100	1			1	50			50	1.7182130584192439			1.9607843137254901	51197	3835586	10.2	43.3
jhu/series	e89d37955217	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-10	49	6					-23	-23	-23	5			5	0.13035817734239308			0.13035817734239308				100	2			2	66.66666666666667			66.66666666666667	3.4364261168384878			3.9215686274509802	51197	3835586	10.2	43.3
jhu/series	ac4882b09435	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-11	50	7					-22	-22	-22	7			7	0.18250144827935028			0.18250144827935028				100	2			2	40			40	3.4364261168384878			3.9215686274509802	51197	3835586	10.2	43.3
jhu/series	2659e600d80c	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-12	51	8	1				-21	-21	-21	11			11	0.2867879901532647			0.2867879901532647				100	4			4	57.142857142857146			57.142857142857146	6.8728522336769755			7.8431372549019605	51197	3835586	10.2	43.3
jhu/series	ca3b79627795	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-13	52	9	2				-20	-20	-20	13			13	0.338931261090222			0.338931261090222				100	2			2	18.181818181818183			18.181818181818183	3.4364261168384878			3.9215686274509802	51197	3835586	10.2	43.3
jhu/series	a67efffd4e05	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-14	53	10	3				-19	-19	-19	18			18	0.46928943843261506			0.46928943843261506				100	5			5	38.46153846153846			38.46153846153846	8.59106529209622			9.803921568627452	51197	3835586	10.2	43.3
jhu/series	6e004c9798b8	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-15	54	11	4				-18	-18	-18	24			24	0.6257192512434867			0.6257192512434867				100	6			6	33.333333333333336			33.333333333333336	10.309278350515463			11.76470588235294	51197	3835586	10.2	43.3
jhu/series	d1c4cd16e6bd	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-16	55	12	5				-17	-17	-17	25			25	0.6517908867119653			0.6517908867119653				100	1			1	4.166666666666667			4.166666666666667	1.7182130584192439			1.9607843137254901	51197	3835586	10.2	43.3
jhu/series	9118f59a480a	761b30c4d58c	total-country	Bosnia and Herzegovina	BA	Bosnia and Herzegovina			44	18	Europe	Southern Europe	2020-03-17	56	13	6				-16	-16	-16	26		2	24	0.677862522180444		0.052143270936957226	0.6257192512434867			7.6923076923076925	92.3076923076923	1		2	-1	4			-4	1.7182130584192439		15.384615384615385	-1.9607843137254901	51197	3835586	10.2	43.3
