dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	33fdc6c751b1	10b07cf6e7fa	total-country	Bangladesh	BD	Bangladesh			24	90	Asia	Southern Asia	2020-03-08	47	1					-30	-31	-30	3			3	0.002			0.002				100	3			3					0.002			0.002	5.319			5.792	148460	162650853	5.5	27.9
jhu/series	257c32f5d1d2	10b07cf6e7fa	total-country	Bangladesh	BD	Bangladesh			24	90	Asia	Southern Asia	2020-03-15	54	8					-23	-24	-23	5			5	0.003			0.003				100	2			2	66.667			66.667	0.001			0.001	3.546			3.861	148460	162650853	5.5	27.9
jhu/series	19f3ebe8818d	10b07cf6e7fa	total-country	Bangladesh	BD	Bangladesh			24	90	Asia	Southern Asia	2020-03-16	55	9					-22	-23	-22	8		2	6	0.005		0.001	0.004			25	75	3		2	1	60			20	0.002		0.001	0.001	5.319		52.632	1.931	148460	162650853	5.5	27.9
jhu/series	47476f707361	10b07cf6e7fa	total-country	Bangladesh	BD	Bangladesh			24	90	Asia	Southern Asia	2020-03-17	56	10	1				-21	-22	-21	10		3	7	0.006		0.002	0.004			30	70	2		1	1	25		50	16.667	0.001		0.001	0.001	3.546		26.316	1.931	148460	162650853	5.5	27.9
jhu/series	53be143fc116	10b07cf6e7fa	total-country	Bangladesh	BD	Bangladesh			24	90	Asia	Southern Asia	2020-03-18	57	11	2				-20	-21	-20	14	1	3	10	0.009	0.001	0.002	0.006		7.143	21.429	71.429	4	1		3	40			42.857	0.002	0.001		0.002	7.092	31.25		5.792	148460	162650853	5.5	27.9
jhu/series	d11d04732dd2	10b07cf6e7fa	total-country	Bangladesh	BD	Bangladesh			24	90	Asia	Southern Asia	2020-03-19	58	12	3				-19	-20	-19	17	1	3	13	0.01	0.001	0.002	0.008		5.882	17.647	76.471	3			3	21.429			30	0.002			0.002	5.319			5.792	148460	162650853	5.5	27.9
jhu/series	c24b7aa94e49	10b07cf6e7fa	total-country	Bangladesh	BD	Bangladesh			24	90	Asia	Southern Asia	2020-03-20	59	13	4				-18	-19	-18	20	1	3	16	0.012	0.001	0.002	0.01		5	15	80	3			3	17.647			23.077	0.002			0.002	5.319			5.792	148460	162650853	5.5	27.9
jhu/series	716b491be1b8	10b07cf6e7fa	total-country	Bangladesh	BD	Bangladesh			24	90	Asia	Southern Asia	2020-03-21	60	14	5				-17	-18	-17	25	2	3	20	0.015	0.001	0.002	0.012		8	12	80	5	1		4	25	100		25	0.003	0.001		0.002	8.865	31.25		7.722	148460	162650853	5.5	27.9
jhu/series	c74747806570	10b07cf6e7fa	total-country	Bangladesh	BD	Bangladesh			24	90	Asia	Southern Asia	2020-03-22	61	15	6				-16	-17	-16	27	2	3	22	0.017	0.001	0.002	0.014		7.407	11.111	81.481	2			2	8			10	0.001			0.001	3.546			3.861	148460	162650853	5.5	27.9
jhu/series	fd8c73d3e1e1	10b07cf6e7fa	total-country	Bangladesh	BD	Bangladesh			24	90	Asia	Southern Asia	2020-03-23	62	16	7				-15	-16	-15	33	3	3	27	0.02	0.002	0.002	0.017		9.091	9.091	81.818	6	1		5	22.222	50		22.727	0.004	0.001		0.003	10.638	31.25		9.653	148460	162650853	5.5	27.9
