dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	8bb63f4c56fd	815b02657a74	total-country	Belgium	BE	Belgium			50.83333333	4	Europe	Western Europe	2020-02-04	14	1					-59	-58	-60	1			1	0.008531901975954369			0.008531901975954369				100	1			1					0.06623393826996954			0.09340556697179153	30528	11720716	9.8	41.6
jhu/series	60e0399c8c95	815b02657a74	total-country	Belgium	BE	Belgium			50.83333333	4	Europe	Western Europe	2020-02-17	27	14					-46	-45	-47	1		1		0.008531901975954369		0.008531901975954369				100				1	-1				-100			0.24330900243309003	-0.09340556697179153	30528	11720716	9.8	41.6
jhu/series	ea73c6cfe526	815b02657a74	total-country	Belgium	BE	Belgium			50.83333333	4	Europe	Western Europe	2020-03-01	40	27					-33	-32	-34	2		1	1	0.017063803951908738		0.008531901975954369	0.008531901975954369			50	50	1			1	100				0.06623393826996954			0.09340556697179153	30528	11720716	9.8	41.6
jhu/series	02256768785b	815b02657a74	total-country	Belgium	BE	Belgium			50.83333333	4	Europe	Western Europe	2020-03-02	41	28					-32	-31	-33	8		1	7	0.06825521580763495		0.008531901975954369	0.059723313831680586			12.5	87.5	6			6	300			600	0.39740362961981723			0.5604334018307492	30528	11720716	9.8	41.6
jhu/series	21db2467de64	815b02657a74	total-country	Belgium	BE	Belgium			50.83333333	4	Europe	Western Europe	2020-03-03	42	29	1				-31	-30	-32	13		1	12	0.1109147256874068		0.008531901975954369	0.10238282371145245			7.6923076923076925	92.3076923076923	5			5	62.5			71.42857142857143	0.3311696913498477			0.46702783485895766	30528	11720716	9.8	41.6
jhu/series	a76831d6dc2e	815b02657a74	total-country	Belgium	BE	Belgium			50.83333333	4	Europe	Western Europe	2020-03-04	43	30	2				-30	-29	-31	23		1	22	0.19623374544695052		0.008531901975954369	0.18770184347099614			4.3478260869565215	95.65217391304348	10			10	76.92307692307692			83.33333333333333	0.6623393826996954			0.9340556697179153	30528	11720716	9.8	41.6
jhu/series	d77e5007ed3c	815b02657a74	total-country	Belgium	BE	Belgium			50.83333333	4	Europe	Western Europe	2020-03-05	44	31	3				-29	-28	-30	50		1	49	0.42659509879771845		0.008531901975954369	0.4180631968217641			2	98	27			27	117.3913043478261			122.72727272727273	1.7883163332891774			2.521950308238371	30528	11720716	9.8	41.6
jhu/series	3f4bfdc08d17	815b02657a74	total-country	Belgium	BE	Belgium			50.83333333	4	Europe	Western Europe	2020-03-06	45	32	4	1			-28	-27	-29	109		1	108	0.9299773153790263		0.008531901975954369	0.921445413403072			0.9174311926605505	99.08256880733946	59			59	118			120.40816326530613	3.907802357928203			5.5109284513357	30528	11720716	9.8	41.6
jhu/series	054fbbf77fb6	815b02657a74	total-country	Belgium	BE	Belgium			50.83333333	4	Europe	Western Europe	2020-03-07	46	33	5	2			-27	-26	-28	169		1	168	1.4418914339362885		0.008531901975954369	1.433359531960334			0.591715976331361	99.40828402366864	60			60	55.04587155963303			55.55555555555556	3.9740362961981717			5.604334018307491	30528	11720716	9.8	41.6
jhu/series	bd2280e9de30	815b02657a74	total-country	Belgium	BE	Belgium			50.83333333	4	Europe	Western Europe	2020-03-08	47	34	6	3			-26	-25	-27	200		1	199	1.7063803951908738		0.008531901975954369	1.6978484932149196			0.5	99.5	31			31	18.34319526627219			18.452380952380953	2.0532520863690555			2.895572576125537	30528	11720716	9.8	41.6
