dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	0bdf7ad6a209	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-08	47	1					-21	-17	-25	4			4	0.05741435321511048			0.05741435321511048				100	4			4					11.695906432748536			12.820512820512823	110879	6966899	14.6	43.7
jhu/series	dfc0886b09c4	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-11	50	4					-18	-14	-22	7	1		6	0.10047511812644333	0.01435358830377762		0.08612152982266572		14.285714285714285		85.71428571428571	3	1		2	75			50	8.771929824561402	35.714285714285715		6.4102564102564115	110879	6966899	14.6	43.7
jhu/series	79c7b9fcd9b8	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-13	52	6	1				-16	-12	-20	23	1		22	0.3301325309868853	0.01435358830377762		0.31577894268310763		4.3478260869565215		95.65217391304348	16			16	228.57142857142858			266.6666666666667	46.783625730994146			51.28205128205129	110879	6966899	14.6	43.7
jhu/series	34aaba290ea2	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-14	53	7	2				-15	-11	-19	41	2		39	0.5884971204548824	0.02870717660755524		0.5597899438473272		4.878048780487805		95.1219512195122	18	1		17	78.26086956521739	100		77.27272727272727	52.63157894736842	35.714285714285715		54.487179487179496	110879	6966899	14.6	43.7
jhu/series	62c1387e28a9	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-15	54	8	3				-14	-10	-18	51	2		49	0.7320330034926585	0.02870717660755524		0.7033258268851034		3.9215686274509802		96.07843137254902	10			10	24.390243902439025			25.641025641025642	29.239766081871345			32.05128205128205	110879	6966899	14.6	43.7
jhu/series	bcc69f3dc5d5	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-16	55	9	4				-13	-9	-17	52	2		50	0.7463865917964363	0.02870717660755524		0.717679415188881		3.8461538461538463		96.15384615384616	1			1	1.9607843137254901			2.0408163265306123	2.923976608187134			3.2051282051282057	110879	6966899	14.6	43.7
jhu/series	adfefbe4cf67	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-17	56	10	5				-12	-8	-16	67	2		65	0.9616904163531006	0.02870717660755524		0.9329832397455453		2.9850746268656714		97.01492537313433	15			15	28.846153846153847			30	43.859649122807014			48.07692307692308	110879	6966899	14.6	43.7
jhu/series	fec491ed379e	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-18	57	11	6				-11	-7	-15	92	2		90	1.320530123947541	0.02870717660755524		1.2918229473399858		2.1739130434782608		97.82608695652173	25			25	37.3134328358209			38.46153846153846	73.09941520467835			80.12820512820514	110879	6966899	14.6	43.7
jhu/series	c799d3e95e8d	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-19	58	12	7				-10	-6	-14	94	3		91	1.3492373005550962	0.04306076491133286		1.3061765356437633		3.1914893617021276		96.80851063829788	2	1		1	2.1739130434782608	50		1.1111111111111112	5.847953216374268	35.714285714285715		3.2051282051282057	110879	6966899	14.6	43.7
jhu/series	0b56740a1f1f	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-20	59	13	8	1			-9	-5	-13	127	3		124	1.8229057145797578	0.04306076491133286		1.779844949668425		2.3622047244094486		97.63779527559055	33			33	35.1063829787234			36.26373626373626	96.49122807017542			105.76923076923077	110879	6966899	14.6	43.7
jhu/series	66b39f000ede	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-21	60	14	9	2			-8	-4	-12	163	3	3	157	2.3396348935157523	0.04306076491133286	0.04306076491133286	2.2535133636930866		1.8404907975460123	1.8404907975460123	96.31901840490798	36		3	33	28.346456692913385			26.612903225806452	105.26315789473684		78.94736842105263	105.76923076923077	110879	6966899	14.6	43.7
jhu/series	ba6c39d074a1	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-22	61	15	10	3			-7	-3	-11	187	3	3	181	2.6841210128064152	0.04306076491133286	0.04306076491133286	2.597999482983749		1.6042780748663104	1.6042780748663104	96.79144385026738	24			24	14.723926380368098			15.286624203821656	70.17543859649122			76.92307692307693	110879	6966899	14.6	43.7
jhu/series	8bc3319b76b4	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-23	62	16	11	4			-6	-2	-10	201	3	3	195	2.8850712490593016	0.04306076491133286	0.04306076491133286	2.798949719236636		1.4925373134328357	1.4925373134328357	97.01492537313433	14			14	7.4866310160427805			7.734806629834254	40.93567251461988			44.871794871794876	110879	6966899	14.6	43.7
jhu/series	8895fbfe1769	806d74fca2c3	total-country	Bulgaria	BG	Bulgaria			43	25	Europe	Eastern Europe	2020-03-24	63	17	12	5			-5	-1	-9	218	3	3	212	3.129082250223521	0.04306076491133286	0.04306076491133286	3.0429607204008553		1.3761467889908259	1.3761467889908259	97.24770642201835	17			17	8.457711442786069			8.717948717948717	49.707602339181285			54.487179487179496	110879	6966899	14.6	43.7
