dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	6db4e684ac66	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-02-24	34	1					-33	-40	-26	1			1	0.066			0.066				100	1			1					1.661			2.604	760	1505003	2.8	32.9
jhu/series	9bf2a495173e	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-02-25	35	2	1				-32	-39	-25	23			23	1.528			1.528				100	22			22	2200			2200	36.545			57.292	760	1505003	2.8	32.9
jhu/series	da293c8730f8	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-02-26	36	3	2				-31	-38	-24	33			33	2.193			2.193				100	10			10	43.478			43.478	16.611			26.042	760	1505003	2.8	32.9
jhu/series	4b977f677b8c	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-02-28	38	5	4				-29	-36	-22	36			36	2.392			2.392				100	3			3	9.091			9.091	4.983			7.813	760	1505003	2.8	32.9
jhu/series	3ed365d4868e	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-02-29	39	6	5				-28	-35	-21	41			41	2.724			2.724				100	5			5	13.889			13.889	8.306			13.021	760	1505003	2.8	32.9
jhu/series	b6ce592d391c	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-01	40	7	6				-27	-34	-20	47			47	3.123			3.123				100	6			6	14.634			14.634	9.967			15.625	760	1505003	2.8	32.9
jhu/series	396971831a1c	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-02	41	8	7				-26	-33	-19	49			49	3.256			3.256				100	2			2	4.255			4.255	3.322			5.208	760	1505003	2.8	32.9
jhu/series	dd771ec73b9c	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-04	43	10	9				-24	-31	-17	52			52	3.455			3.455				100	3			3	6.122			6.122	4.983			7.813	760	1505003	2.8	32.9
jhu/series	021fc47227e3	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-05	44	11	10				-23	-30	-16	55			55	3.654			3.654				100	3			3	5.769			5.769	4.983			7.813	760	1505003	2.8	32.9
jhu/series	72574326b1b9	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-06	45	12	11				-22	-29	-15	60		4	56	3.987		0.266	3.721			6.667	93.333	5		4	1	9.091			1.818	8.306		10.471	2.604	760	1505003	2.8	32.9
jhu/series	513fa5864860	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-07	46	13	12				-21	-28	-14	85		4	81	5.648		0.266	5.382			4.706	95.294	25			25	41.667			44.643	41.528			65.104	760	1505003	2.8	32.9
jhu/series	684742cbdc88	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-09	48	15	14				-19	-26	-12	95		14	81	6.312		0.93	5.382			14.737	85.263	10		10		11.765		250		16.611		26.178		760	1505003	2.8	32.9
jhu/series	709de5f6520f	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-10	49	16	15	1			-18	-25	-11	110		22	88	7.309		1.462	5.847			20	80	15		8	7	15.789		57.143	8.642	24.917		20.942	18.229	760	1505003	2.8	32.9
jhu/series	47d7eed9b396	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-11	50	17	16	2			-17	-24	-10	195		35	160	12.957		2.326	10.631			17.949	82.051	85		13	72	77.273		59.091	81.818	141.196		34.031	187.5	760	1505003	2.8	32.9
jhu/series	4e016527cbea	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-13	52	19	18	4			-15	-22	-8	195		44	151	12.957		2.924	10.033			22.564	77.436			9	-9			25.714	-5.625			23.56	-23.438	760	1505003	2.8	32.9
jhu/series	86245373e968	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-14	53	20	19	5			-14	-21	-7	210		44	166	13.953		2.924	11.03			20.952	79.048	15			15	7.692			9.934	24.917			39.063	760	1505003	2.8	32.9
jhu/series	acc498a4c5b7	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-15	54	21	20	6			-13	-20	-6	214		60	154	14.219		3.987	10.233			28.037	71.963	4		16	-12	1.905		36.364	-7.229	6.645		41.885	-31.25	760	1505003	2.8	32.9
jhu/series	663d49f40677	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-16	55	22	21	7			-12	-19	-5	214	1	77	136	14.219	0.066	5.116	9.037		0.467	35.981	63.551		1	17	-18			28.333	-11.688		100	44.503	-46.875	760	1505003	2.8	32.9
jhu/series	57b79554e2f8	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-17	56	23	22	8			-11	-18	-4	228	1	81	146	15.149	0.066	5.382	9.701		0.439	35.526	64.035	14		4	10	6.542		5.195	7.353	23.256		10.471	26.042	760	1505003	2.8	32.9
jhu/series	9c28e97e4b00	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-18	57	24	23	9			-10	-17	-3	256	1	88	167	17.01	0.066	5.847	11.096		0.391	34.375	65.234	28		7	21	12.281		8.642	14.384	46.512		18.325	54.688	760	1505003	2.8	32.9
jhu/series	18c3db746987	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-19	58	25	24	10			-9	-16	-2	278	1	100	177	18.472	0.066	6.645	11.761		0.36	35.971	63.669	22		12	10	8.594		13.636	5.988	36.545		31.414	26.042	760	1505003	2.8	32.9
jhu/series	82466c72e297	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-20	59	26	25	11			-8	-15	-1	285	1	100	184	18.937	0.066	6.645	12.226		0.351	35.088	64.561	7			7	2.518			3.955	11.628			18.229	760	1505003	2.8	32.9
jhu/series	c4ef84d6afbb	424bee30750e	total-country	Bahrain	BH	Bahrain			26	50.55	Asia	Western Asia	2020-03-21	60	27	26	12			-7	-14	0	305	1	125	179	20.266	0.066	8.306	11.894		0.328	40.984	58.689	20		25	-5	7.018		25	-2.717	33.223		65.445	-13.021	760	1505003	2.8	32.9
