dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	22b705fbd55d	0b9845bb02fb	total-country	Brunei	BN	Brunei			4.5	114.66666666	Asia	South-Eastern Asia	2020-03-09	48	1					-8	-8		1			1	0.21529544994596087			0.21529544994596087				100	1			1					9.615384615384615			9.615384615384615	5765	464478	3.8	31.1
jhu/series	457842d20d37	0b9845bb02fb	total-country	Brunei	BN	Brunei			4.5	114.66666666	Asia	South-Eastern Asia	2020-03-11	50	3	1				-6	-6		11			11	2.3682499494055693			2.3682499494055693				100	10			10	1000			1000	96.15384615384615			96.15384615384615	5765	464478	3.8	31.1
jhu/series	fca6bf2d98b9	0b9845bb02fb	total-country	Brunei	BN	Brunei			4.5	114.66666666	Asia	South-Eastern Asia	2020-03-13	52	5	3				-4	-4		37			37	7.965931648000551			7.965931648000551				100	26			26	236.36363636363637			236.36363636363637	250			250	5765	464478	3.8	31.1
jhu/series	544e2cd47362	0b9845bb02fb	total-country	Brunei	BN	Brunei			4.5	114.66666666	Asia	South-Eastern Asia	2020-03-14	53	6	4				-3	-3		40			40	8.611817997838433			8.611817997838433				100	3			3	8.108108108108109			8.108108108108109	28.846153846153843			28.846153846153843	5765	464478	3.8	31.1
jhu/series	355cd5444094	0b9845bb02fb	total-country	Brunei	BN	Brunei			4.5	114.66666666	Asia	South-Eastern Asia	2020-03-15	54	7	5				-2	-2		50			50	10.764772497298042			10.764772497298042				100	10			10	25			25	96.15384615384615			96.15384615384615	5765	464478	3.8	31.1
jhu/series	674508773820	0b9845bb02fb	total-country	Brunei	BN	Brunei			4.5	114.66666666	Asia	South-Eastern Asia	2020-03-16	55	8	6				-1	-1		54			54	11.625954297081885			11.625954297081885				100	4			4	8			8	38.46153846153846			38.46153846153846	5765	464478	3.8	31.1
jhu/series	315fcaa6cb83	0b9845bb02fb	total-country	Brunei	BN	Brunei			4.5	114.66666666	Asia	South-Eastern Asia	2020-03-17	56	9	7				0	0		56			56	12.056545196973808			12.056545196973808				100	2			2	3.7037037037037037			3.7037037037037037	19.23076923076923			19.23076923076923	5765	464478	3.8	31.1
jhu/series	5fe77a72b889	0b9845bb02fb	total-country	Brunei	BN	Brunei			4.5	114.66666666	Asia	South-Eastern Asia	2020-03-18	57	10	8				1	1		68			68	14.640090596325336			14.640090596325336				100	12			12	21.428571428571427			21.428571428571427	115.38461538461537			115.38461538461537	5765	464478	3.8	31.1
jhu/series	34fbb5808fc9	0b9845bb02fb	total-country	Brunei	BN	Brunei			4.5	114.66666666	Asia	South-Eastern Asia	2020-03-19	58	11	9				2	2		75			75	16.147158745947063			16.147158745947063				100	7			7	10.294117647058824			10.294117647058824	67.3076923076923			67.3076923076923	5765	464478	3.8	31.1
jhu/series	2c4028e59cf4	0b9845bb02fb	total-country	Brunei	BN	Brunei			4.5	114.66666666	Asia	South-Eastern Asia	2020-03-20	59	12	10				3	3		78		1	77	16.793045095784944		0.21529544994596087	16.577749645838985			1.282051282051282	98.71794871794873	3		1	2	4			2.6666666666666665	28.846153846153843		12.195121951219514	19.23076923076923	5765	464478	3.8	31.1
