dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	c73ca38d67e0	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-02-26	36	1					-36	-36	-37	1			1	0.00047233091855568217			0.00047233091855568217				100	1			1					0.07527853056308341			0.07984669434685403	8515770	211715973	6.9	33.2
jhu/series	b2426879cbeb	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-02-29	39	4					-33	-33	-34	2			2	0.0009446618371113643			0.0009446618371113643				100	1			1	100			100	0.07527853056308341			0.07984669434685403	8515770	211715973	6.9	33.2
jhu/series	b9e3d1bf3a1d	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-04	43	8					-29	-29	-30	4			4	0.0018893236742227287			0.0018893236742227287				100	2			2	100			100	0.15055706112616682			0.15969338869370805	8515770	211715973	6.9	33.2
jhu/series	81a87b43ec91	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-06	45	10	1				-27	-27	-28	13			13	0.006140301941223869			0.006140301941223869				100	9			9	225			225	0.6775067750677506			0.7186202491216863	8515770	211715973	6.9	33.2
jhu/series	e97e56a24e14	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-08	47	12	3				-25	-25	-26	20			20	0.009446618371113644			0.009446618371113644				100	7			7	53.84615384615385			53.84615384615385	0.5269497139415837			0.5589268604279782	8515770	211715973	6.9	33.2
jhu/series	c29aef24435f	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-09	48	13	4				-24	-24	-25	25			25	0.011808272963892055			0.011808272963892055				100	5			5	25			25	0.376392652815417			0.3992334717342702	8515770	211715973	6.9	33.2
jhu/series	1cd8a6816265	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-10	49	14	5				-23	-23	-24	31			31	0.014642258475226148			0.014642258475226148				100	6			6	24			24	0.45167118337850043			0.47908016608112425	8515770	211715973	6.9	33.2
jhu/series	a6753bda1139	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-11	50	15	6				-22	-22	-23	38			38	0.01794857490511592			0.01794857490511592				100	7			7	22.580645161290324			22.580645161290324	0.5269497139415837			0.5589268604279782	8515770	211715973	6.9	33.2
jhu/series	a25a086032a2	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-12	51	16	7				-21	-21	-22	52			52	0.024561207764895475			0.024561207764895475				100	14			14	36.8421052631579			36.8421052631579	1.0538994278831675			1.1178537208559565	8515770	211715973	6.9	33.2
jhu/series	a8c01e59d03e	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-13	52	17	8	1			-20	-20	-21	151			151	0.071321968701908			0.071321968701908				100	99			99	190.3846153846154			190.3846153846154	7.4525745257452565			7.904822740338549	8515770	211715973	6.9	33.2
jhu/series	c27866d8b3ad	ff62fbddefd4	total-country	Brazil	BR	Brazil			-10	-55	Americas	South America	2020-03-15	54	19	10	3			-18	-18	-19	162			162	0.0765176088060205			0.0765176088060205				100	11			11	7.28476821192053			7.28476821192053	0.8280638361939174			0.8783136378153944	8515770	211715973	6.9	33.2
