dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	0ce7f84071c1	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-01-26	5	1					-71	-72	-70	1			1	0.003			0.003				100	1			1					0.003			0.003	0.069			0.094	9984670	37694085	7.9	41.8
jhu/series	bc906e6993f7	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-01-28	7	3					-69	-70	-68	2			2	0.005			0.005				100	1			1	100			100	0.003			0.003	0.069			0.094	9984670	37694085	7.9	41.8
jhu/series	a75083085596	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-01-31	10	6					-66	-67	-65	4			4	0.011			0.011				100	2			2	100			100	0.005			0.005	0.139			0.187	9984670	37694085	7.9	41.8
jhu/series	49fa843bfbfe	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-05	15	11					-61	-62	-60	5			5	0.013			0.013				100	1			1	25			25	0.003			0.003	0.069			0.094	9984670	37694085	7.9	41.8
jhu/series	aa300034c9ab	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-07	17	13					-59	-60	-58	7			7	0.019			0.019				100	2			2	40			40	0.005			0.005	0.139			0.187	9984670	37694085	7.9	41.8
jhu/series	d7e0c83d9b64	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-12	22	18					-54	-55	-53	7		1	6	0.019		0.003	0.016			14.286	85.714			1	-1				-14.286			0.003	-0.003			0.161	-0.094	9984670	37694085	7.9	41.8
jhu/series	e2a674005fb9	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-17	27	23					-49	-50	-48	8		1	7	0.021		0.003	0.019			12.5	87.5	1			1	14.286			16.667	0.003			0.003	0.069			0.094	9984670	37694085	7.9	41.8
jhu/series	6c1355099940	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-21	31	27					-45	-46	-44	9		3	6	0.024		0.008	0.016			33.333	66.667	1		2	-1	12.5		200	-14.286	0.003		0.005	-0.003	0.069		0.321	-0.094	9984670	37694085	7.9	41.8
jhu/series	b9a5c638f3df	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-24	34	30	1				-42	-43	-41	10		3	7	0.027		0.008	0.019			30	70	1			1	11.111			16.667	0.003			0.003	0.069			0.094	9984670	37694085	7.9	41.8
jhu/series	7faa39d95844	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-25	35	31	2				-41	-42	-40	11		3	8	0.029		0.008	0.021			27.273	72.727	1			1	10			14.286	0.003			0.003	0.069			0.094	9984670	37694085	7.9	41.8
jhu/series	a92d2f1107ae	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-27	37	33	4				-39	-40	-38	13		6	7	0.034		0.016	0.019			46.154	53.846	2		3	-1	18.182		100	-12.5	0.005		0.008	-0.003	0.139		0.482	-0.094	9984670	37694085	7.9	41.8
jhu/series	b9896e3a8dd8	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-28	38	34	5				-38	-39	-37	14		6	8	0.037		0.016	0.021			42.857	57.143	1			1	7.692			14.286	0.003			0.003	0.069			0.094	9984670	37694085	7.9	41.8
jhu/series	7d9766f16a5e	d241153b3b59	total-country	Canada	CA	Canada			60	-95	Americas	North America	2020-02-29	39	35	6				-37	-38	-36	20		6	14	0.053		0.016	0.037			30	70	6			6	42.857			75	0.016			0.016	0.416			0.562	9984670	37694085	7.9	41.8
