dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	0d72e61c5e8d	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-03	42	1					-35	-34	-37	1			1	0.005			0.005				100	1			1					0.005			0.005	0.241			0.364	756102	18186770	6.5	35.5
jhu/series	9d5f98b219ed	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-05	44	3					-33	-32	-35	4			4	0.022			0.022				100	3			3	300			300	0.016			0.016	0.722			1.091	756102	18186770	6.5	35.5
jhu/series	3bd175b1a461	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-08	47	6					-30	-29	-32	8			8	0.044			0.044				100	4			4	100			100	0.022			0.022	0.962			1.455	756102	18186770	6.5	35.5
jhu/series	4500ab5cd055	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-10	49	8	1				-28	-27	-30	13			13	0.071			0.071				100	5			5	62.5			62.5	0.027			0.027	1.203			1.818	756102	18186770	6.5	35.5
jhu/series	e77e7ff971da	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-11	50	9	2				-27	-26	-29	23			23	0.126			0.126				100	10			10	76.923			76.923	0.055			0.055	2.405			3.636	756102	18186770	6.5	35.5
jhu/series	e986d4ec8c31	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-13	52	11	4				-25	-24	-27	43			43	0.236			0.236				100	20			20	86.957			86.957	0.11			0.11	4.81			7.273	756102	18186770	6.5	35.5
jhu/series	ecc9a28974c6	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-14	53	12	5				-24	-23	-26	61			61	0.335			0.335				100	18			18	41.86			41.86	0.099			0.099	4.329			6.545	756102	18186770	6.5	35.5
jhu/series	bbf5d65f6c1b	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-15	54	13	6				-23	-22	-25	74			74	0.407			0.407				100	13			13	21.311			21.311	0.071			0.071	3.127			4.727	756102	18186770	6.5	35.5
jhu/series	ddfeefbffef0	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-16	55	14	7	1			-22	-21	-24	155			155	0.852			0.852				100	81			81	109.459			109.459	0.445			0.445	19.481			29.455	756102	18186770	6.5	35.5
jhu/series	1cb91b8855df	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-17	56	15	8	2			-21	-20	-23	201			201	1.105			1.105				100	46			46	29.677			29.677	0.253			0.253	11.063			16.727	756102	18186770	6.5	35.5
jhu/series	d2a3d4338f27	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-18	57	16	9	3			-20	-19	-22	238			238	1.309			1.309				100	37			37	18.408			18.408	0.203			0.203	8.899			13.455	756102	18186770	6.5	35.5
jhu/series	76a2d7931168	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-20	59	18	11	5			-18	-17	-20	434		6	428	2.386		0.033	2.353			1.382	98.618	196		6	190	82.353			79.832	1.078		0.033	1.045	47.138		2.901	69.091	756102	18186770	6.5	35.5
jhu/series	dc294d98ae6c	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-21	60	19	12	6			-17	-16	-19	537		6	531	2.953		0.033	2.92			1.117	98.883	103			103	23.733			24.065	0.566			0.566	24.772			37.455	756102	18186770	6.5	35.5
jhu/series	6493d9acf07e	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-22	61	20	13	7			-16	-15	-18	632	1	8	623	3.475	0.005	0.044	3.426		0.158	1.266	98.576	95	1	2	92	17.691		33.333	17.326	0.522	0.005	0.011	0.506	22.848	13.889	0.967	33.455	756102	18186770	6.5	35.5
jhu/series	3551a31ff4bf	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-23	62	21	14	8			-15	-14	-17	746	2	8	736	4.102	0.011	0.044	4.047		0.268	1.072	98.66	114	1		113	18.038	100		18.138	0.627	0.005		0.621	27.417	13.889		41.091	756102	18186770	6.5	35.5
jhu/series	c08552916270	64b64fee17e7	total-country	Chile	CL	Chile			-30	-71	Americas	South America	2020-03-24	63	22	15	9			-14	-13	-16	922	2	17	903	5.07	0.011	0.093	4.965		0.217	1.844	97.939	176		9	167	23.592		112.5	22.69	0.968		0.049	0.918	42.328		4.352	60.727	756102	18186770	6.5	35.5
