dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	480c32ff5364	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-06	45	1					-29	-29	-30	1			1	0.002			0.002				100	1			1					0.002			0.002	0.644			0.781	1138910	49084841	5.6	31.2
jhu/series	952c8db70f88	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-10	49	5					-25	-25	-26	3			3	0.006			0.006				100	2			2	200			200	0.004			0.004	1.289			1.563	1138910	49084841	5.6	31.2
jhu/series	6e6b7a248ab2	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-11	50	6					-24	-24	-25	9			9	0.018			0.018				100	6			6	200			200	0.012			0.012	3.866			4.688	1138910	49084841	5.6	31.2
jhu/series	efa83fc08914	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-13	52	8	1				-22	-22	-23	13			13	0.026			0.026				100	4			4	44.444			44.444	0.008			0.008	2.577			3.125	1138910	49084841	5.6	31.2
jhu/series	d4b4f0df2926	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-14	53	9	2				-21	-21	-22	22			22	0.045			0.045				100	9			9	69.231			69.231	0.018			0.018	5.799			7.031	1138910	49084841	5.6	31.2
jhu/series	00d77aaae150	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-15	54	10	3				-20	-20	-21	34			34	0.069			0.069				100	12			12	54.545			54.545	0.024			0.024	7.732			9.375	1138910	49084841	5.6	31.2
jhu/series	97bc0b400c7a	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-16	55	11	4				-19	-19	-20	54			54	0.11			0.11				100	20			20	58.824			58.824	0.041			0.041	12.887			15.625	1138910	49084841	5.6	31.2
jhu/series	bdc9a1c9ca33	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-17	56	12	5				-18	-18	-19	65		1	64	0.132		0.002	0.13			1.538	98.462	11		1	10	20.37			18.519	0.022		0.002	0.02	7.088		5.155	7.813	1138910	49084841	5.6	31.2
jhu/series	9692b1fec171	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-18	57	13	6				-17	-17	-18	93		1	92	0.189		0.002	0.187			1.075	98.925	28			28	43.077			43.75	0.057			0.057	18.041			21.875	1138910	49084841	5.6	31.2
jhu/series	ce4d6ef5e555	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-19	58	14	7	1			-16	-16	-17	102		1	101	0.208		0.002	0.206			0.98	99.02	9			9	9.677			9.783	0.018			0.018	5.799			7.031	1138910	49084841	5.6	31.2
jhu/series	0466d8e46989	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-20	59	15	8	2			-15	-15	-16	128		1	127	0.261		0.002	0.259			0.781	99.219	26			26	25.49			25.743	0.053			0.053	16.753			20.313	1138910	49084841	5.6	31.2
jhu/series	0cb0d8f22793	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-21	60	16	9	3			-14	-14	-15	196		1	195	0.399		0.002	0.397			0.51	99.49	68			68	53.125			53.543	0.139			0.139	43.814			53.125	1138910	49084841	5.6	31.2
jhu/series	b367709cdd59	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-22	61	17	10	4			-13	-13	-14	231	2	3	226	0.471	0.004	0.006	0.46		0.866	1.299	97.835	35	2	2	31	17.857		200	15.897	0.071	0.004	0.004	0.063	22.552	31.25	10.309	24.219	1138910	49084841	5.6	31.2
jhu/series	10550032735e	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-23	62	18	11	5			-12	-12	-13	277	3	3	271	0.564	0.006	0.006	0.552		1.083	1.083	97.834	46	1		45	19.913	50		19.912	0.094	0.002		0.092	29.639	15.625		35.156	1138910	49084841	5.6	31.2
jhu/series	4a1173d6d7eb	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-24	63	19	12	6			-11	-11	-12	378	3	6	369	0.77	0.006	0.012	0.752		0.794	1.587	97.619	101		3	98	36.462		100	36.162	0.206		0.006	0.2	65.077		15.464	76.563	1138910	49084841	5.6	31.2
jhu/series	788251f965be	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-25	64	20	13	7			-10	-10	-11	470	4	8	458	0.958	0.008	0.016	0.933		0.851	1.702	97.447	92	1	2	89	24.339	33.333	33.333	24.119	0.187	0.002	0.004	0.181	59.278	15.625	10.309	69.531	1138910	49084841	5.6	31.2
jhu/series	8250978bf6c5	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-26	65	21	14	8			-9	-9	-10	491	6	8	477	1	0.012	0.016	0.972		1.222	1.629	97.149	21	2		19	4.468	50		4.148	0.043	0.004		0.039	13.531	31.25		14.844	1138910	49084841	5.6	31.2
jhu/series	6d261825f48c	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-27	66	22	15	9			-8	-8	-9	539	6	10	523	1.098	0.012	0.02	1.066		1.113	1.855	97.032	48		2	46	9.776		25	9.644	0.098		0.004	0.094	30.928		10.309	35.938	1138910	49084841	5.6	31.2
jhu/series	cbb4634140b3	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-28	67	23	16	10			-7	-7	-8	608	6	10	592	1.239	0.012	0.02	1.206		0.987	1.645	97.368	69			69	12.801			13.193	0.141			0.141	44.459			53.906	1138910	49084841	5.6	31.2
jhu/series	94e9b299ce21	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-29	68	24	17	11			-6	-6	-7	702	10	10	682	1.43	0.02	0.02	1.389		1.425	1.425	97.151	94	4		90	15.461	66.667		15.203	0.192	0.008		0.183	60.567	62.5		70.313	1138910	49084841	5.6	31.2
jhu/series	3c9ffd942e0a	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-30	69	25	18	12			-5	-5	-6	798	12	15	771	1.626	0.024	0.031	1.571		1.504	1.88	96.617	96	2	5	89	13.675	20	50	13.05	0.196	0.004	0.01	0.181	61.856	31.25	25.773	69.531	1138910	49084841	5.6	31.2
jhu/series	1d2cbef30887	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-03-31	70	26	19	13			-4	-4	-5	906	16	31	859	1.846	0.033	0.063	1.75		1.766	3.422	94.812	108	4	16	88	13.534	33.333	106.667	11.414	0.22	0.008	0.033	0.179	69.588	62.5	82.474	68.75	1138910	49084841	5.6	31.2
jhu/series	f523c1205976	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-04-01	71	27	20	14	1		-3	-3	-4	1065	17	39	1009	2.17	0.035	0.079	2.056		1.596	3.662	94.742	159	1	8	150	17.55	6.25	25.806	17.462	0.324	0.002	0.016	0.306	102.448	15.625	41.237	117.188	1138910	49084841	5.6	31.2
jhu/series	c454859d4682	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-04-02	72	28	21	15	2		-2	-2	-3	1161	19	55	1087	2.365	0.039	0.112	2.215		1.637	4.737	93.626	96	2	16	78	9.014	11.765	41.026	7.73	0.196	0.004	0.033	0.159	61.856	31.25	82.474	60.938	1138910	49084841	5.6	31.2
jhu/series	7b28a79ac64d	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-04-03	73	29	22	16	3		-1	-1	-2	1267	25	55	1187	2.581	0.051	0.112	2.418		1.973	4.341	93.686	106	6		100	9.13	31.579		9.2	0.216	0.012		0.204	68.299	93.75		78.125	1138910	49084841	5.6	31.2
jhu/series	61139a4f006a	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-04-04	74	30	23	17	4		-0	0	-1	1406	32	85	1289	2.864	0.065	0.173	2.626		2.276	6.046	91.679	139	7	30	102	10.971	28	54.545	8.593	0.283	0.014	0.061	0.208	89.562	109.375	154.639	79.688	1138910	49084841	5.6	31.2
jhu/series	68283ee1ed48	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-04-05	75	31	24	18	5		0	1	0	1485	35	88	1362	3.025	0.071	0.179	2.775		2.357	5.926	91.717	79	3	3	73	5.619	9.375	3.529	5.663	0.161	0.006	0.006	0.149	50.902	46.875	15.464	57.031	1138910	49084841	5.6	31.2
jhu/series	8e48ad90ccc7	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-04-06	76	32	25	19	6		1	2	1	1579	46	88	1445	3.217	0.094	0.179	2.944		2.913	5.573	91.514	94	11		83	6.33	31.429		6.094	0.192	0.022		0.169	60.567	171.875		64.844	1138910	49084841	5.6	31.2
jhu/series	ecfd6493d639	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-04-07	77	33	26	20	7		2	3	2	1780	50	100	1630	3.626	0.102	0.204	3.321		2.809	5.618	91.573	201	4	12	185	12.73	8.696	13.636	12.803	0.409	0.008	0.024	0.377	129.51	62.5	61.856	144.531	1138910	49084841	5.6	31.2
jhu/series	07da97eb1c94	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-04-08	78	34	27	21	8		3	4	3	2054	54	123	1877	4.185	0.11	0.251	3.824		2.629	5.988	91.383	274	4	23	247	15.393	8	23	15.153	0.558	0.008	0.047	0.503	176.546	62.5	118.557	192.969	1138910	49084841	5.6	31.2
jhu/series	49578635dd38	3e9f57f9a19d	total-country	Colombia	CO	Colombia			4	-72	Americas	South America	2020-04-09	79	35	28	22	9		4	5	4	2223	69	174	1980	4.529	0.141	0.354	4.034		3.104	7.827	89.069	169	15	51	103	8.228	27.778	41.463	5.487	0.344	0.031	0.104	0.21	108.892	234.375	262.887	80.469	1138910	49084841	5.6	31.2
