dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	3bc1708ae45e	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-14	53	1					-14	-14		1			1	0.6607420132809145			0.6607420132809145				100	1			1					55.55555555555556			55.55555555555556	444	151345	8.7	36.7
jhu/series	0a82607c87ec	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-17	56	4					-11	-11		3			3	1.9822260398427434			1.9822260398427434				100	2			2	200			200	111.11111111111111			111.11111111111111	444	151345	8.7	36.7
jhu/series	469db15caeb1	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-19	58	6					-9	-9		3	1		2	1.9822260398427434	0.6607420132809145		1.321484026561829		33.33333333333333		66.66666666666666		1		-1				-33.333333333333336				-55.55555555555556	444	151345	8.7	36.7
jhu/series	a6bd11818055	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-23	62	10					-5	-5		4	1		3	2.642968053123658	0.6607420132809145		1.9822260398427434		25		75	1			1	33.333333333333336			50	55.55555555555556			55.55555555555556	444	151345	8.7	36.7
jhu/series	8db6f9474932	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-24	63	11					-4	-4		6	1		5	3.9644520796854867	0.6607420132809145		3.303710066404572		16.666666666666664		83.33333333333334	2			2	50			66.66666666666667	111.11111111111111			111.11111111111111	444	151345	8.7	36.7
jhu/series	e536e71b36b0	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-26	65	13					-2	-2		6	1	2	3	3.9644520796854867	0.6607420132809145	1.321484026561829	1.9822260398427434		16.666666666666664	33.33333333333333	50			2	-2				-40			120	-111.11111111111111	444	151345	8.7	36.7
jhu/series	fa5204c4c27b	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-27	66	14					-1	-1		8	1	2	5	5.285936106247316	0.6607420132809145	1.321484026561829	3.303710066404572		12.5	25	62.5	2			2	33.333333333333336			66.66666666666667	111.11111111111111			111.11111111111111	444	151345	8.7	36.7
jhu/series	ed5f4bd2de2f	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-03-30	69	17	1				2	2		11	1	2	8	7.268162146090059	0.6607420132809145	1.321484026561829	5.285936106247316		9.090909090909092	18.181818181818183	72.72727272727273	3			3	37.5			60	166.66666666666666			166.66666666666666	444	151345	8.7	36.7
jhu/series	504f521b3dcf	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-04-01	71	19	3				4	4		11	1	3	7	7.268162146090059	0.6607420132809145	1.9822260398427434	4.625194092966401		9.090909090909092	27.27272727272727	63.63636363636363			1	-1			50	-12.5			60	-55.55555555555556	444	151345	8.7	36.7
jhu/series	342638ebdacc	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-04-04	74	22	6				7	7		11	1	5	5	7.268162146090059	0.6607420132809145	3.303710066404572	3.303710066404572		9.090909090909092	45.45454545454545	45.45454545454545			2	-2			66.66666666666667	-28.571428571428573			120	-111.11111111111111	444	151345	8.7	36.7
jhu/series	bf5e9fa8b347	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-04-06	76	24	8				9	9		13	1	5	7	8.589646172651888	0.6607420132809145	3.303710066404572	4.625194092966401		7.6923076923076925	38.46153846153847	53.84615384615385	2			2	18.181818181818183			40	111.11111111111111			111.11111111111111	444	151345	8.7	36.7
jhu/series	9be8b14590df	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-04-07	77	25	9				10	10		13	1	7	5	8.589646172651888	0.6607420132809145	4.625194092966401	3.303710066404572		7.6923076923076925	53.84615384615385	38.46153846153847			2	-2			40	-28.571428571428573			120	-111.11111111111111	444	151345	8.7	36.7
jhu/series	5de653011a69	fefecbe5ffc6	total-country	Curacao	CW	Curacao			12.116667	-68.933333	Americas	Caribbean	2020-04-08	78	26	10				11	11		14	1	7	6	9.250388185932803	0.6607420132809145	4.625194092966401	3.9644520796854867		7.142857142857142	50	42.857142857142854	1			1	7.6923076923076925			20	55.55555555555556			55.55555555555556	444	151345	8.7	36.7
