dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	1d659a605fa1	fe7c485b04a8	total-country	Czechia	CZ	Czechia			49.75	15.5	Europe	Eastern Europe	2020-03-01	40	1					-32	-30	-34	3			3	0.028030839155494352			0.028030839155494352				100	3			3					0.904704463208685			0.9439899307740717	78867	10702498	10.7	43.3
jhu/series	833d66e8a12f	fe7c485b04a8	total-country	Czechia	CZ	Czechia			49.75	15.5	Europe	Eastern Europe	2020-03-03	42	3					-30	-28	-32	5			5	0.046718065259157254			0.046718065259157254				100	2			2	66.66666666666667			66.66666666666667	0.6031363088057901			0.6293266205160477	78867	10702498	10.7	43.3
jhu/series	d9f43cc9eee3	fe7c485b04a8	total-country	Czechia	CZ	Czechia			49.75	15.5	Europe	Eastern Europe	2020-03-04	43	4					-29	-27	-31	8			8	0.07474890441465161			0.07474890441465161				100	3			3	60			60	0.904704463208685			0.9439899307740717	78867	10702498	10.7	43.3
jhu/series	62943eda738b	fe7c485b04a8	total-country	Czechia	CZ	Czechia			49.75	15.5	Europe	Eastern Europe	2020-03-05	44	5	1				-28	-26	-30	12			12	0.11212335662197741			0.11212335662197741				100	4			4	50			50	1.2062726176115801			1.2586532410320954	78867	10702498	10.7	43.3
jhu/series	4908d6cc2087	fe7c485b04a8	total-country	Czechia	CZ	Czechia			49.75	15.5	Europe	Eastern Europe	2020-03-06	45	6	2				-27	-25	-29	18			18	0.16818503493296613			0.16818503493296613				100	6			6	50			50	1.80940892641737			1.8879798615481433	78867	10702498	10.7	43.3
jhu/series	8fca6dcef094	fe7c485b04a8	total-country	Czechia	CZ	Czechia			49.75	15.5	Europe	Eastern Europe	2020-03-07	46	7	3				-26	-24	-28	19			19	0.17752864798479756			0.17752864798479756				100	1			1	5.555555555555555			5.555555555555555	0.30156815440289503			0.31466331025802385	78867	10702498	10.7	43.3
jhu/series	5e9f4c2d26f8	fe7c485b04a8	total-country	Czechia	CZ	Czechia			49.75	15.5	Europe	Eastern Europe	2020-03-08	47	8	4				-25	-23	-27	31			31	0.289652004606775			0.289652004606775				100	12			12	63.1578947368421			63.1578947368421	3.61881785283474			3.7759597230962867	78867	10702498	10.7	43.3
jhu/series	9716b662931e	fe7c485b04a8	total-country	Czechia	CZ	Czechia			49.75	15.5	Europe	Eastern Europe	2020-03-10	49	10	6				-23	-21	-25	41			41	0.3830881351250895			0.3830881351250895				100	10			10	32.25806451612903			32.25806451612903	3.01568154402895			3.146633102580239	78867	10702498	10.7	43.3
jhu/series	4829f99c60f9	fe7c485b04a8	total-country	Czechia	CZ	Czechia			49.75	15.5	Europe	Eastern Europe	2020-03-11	50	11	7				-22	-20	-24	91			91	0.850268787716662			0.850268787716662				100	50			50	121.95121951219512			121.95121951219512	15.078407720144751			15.733165512901195	78867	10702498	10.7	43.3
jhu/series	6a7f9d1f4a03	fe7c485b04a8	total-country	Czechia	CZ	Czechia			49.75	15.5	Europe	Eastern Europe	2020-03-12	51	12	8				-21	-19	-23	94			94	0.8782996268721563			0.8782996268721563				100	3			3	3.2967032967032965			3.2967032967032965	0.904704463208685			0.9439899307740717	78867	10702498	10.7	43.3
