dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	2c45f92184e1	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-01-27	6	1					-65	-63	-67	1			1	0.0012475102502303465			0.0012475102502303465				100	1			1					0.015248551387618176			0.022735540196435068	357022	80159662	12.1	47.8
jhu/series	04bfabbafddd	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-01-28	7	2					-64	-62	-66	4			4	0.004990041000921386			0.004990041000921386				100	3			3	300			300	0.04574565416285453			0.06820662058930521	357022	80159662	12.1	47.8
jhu/series	1eaa5ac4faf6	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-01-31	10	5					-61	-59	-63	5			5	0.006237551251151733			0.006237551251151733				100	1			1	25			25	0.015248551387618176			0.022735540196435068	357022	80159662	12.1	47.8
jhu/series	302a4dc69b3c	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-01	11	6					-60	-58	-62	8			8	0.009980082001842772			0.009980082001842772				100	3			3	60			60	0.04574565416285453			0.06820662058930521	357022	80159662	12.1	47.8
jhu/series	838c0d6608be	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-02	12	7	1				-59	-57	-61	10			10	0.012475102502303466			0.012475102502303466				100	2			2	25			25	0.030497102775236352			0.045471080392870136	357022	80159662	12.1	47.8
jhu/series	42fb2893aba2	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-03	13	8	2				-58	-56	-60	12			12	0.014970123002764159			0.014970123002764159				100	2			2	20			20	0.030497102775236352			0.045471080392870136	357022	80159662	12.1	47.8
jhu/series	c68a39c424ae	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-07	17	12	6				-54	-52	-56	13			13	0.016217633252994506			0.016217633252994506				100	1			1	8.333333333333334			8.333333333333334	0.015248551387618176			0.022735540196435068	357022	80159662	12.1	47.8
jhu/series	5cc308a750ef	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-09	19	14	8				-52	-50	-54	14			14	0.01746514350322485			0.01746514350322485				100	1			1	7.6923076923076925			7.6923076923076925	0.015248551387618176			0.022735540196435068	357022	80159662	12.1	47.8
jhu/series	dfb6ad1d118b	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-11	21	16	10				-50	-48	-52	16			16	0.019960164003685544			0.019960164003685544				100	2			2	14.285714285714286			14.285714285714286	0.030497102775236352			0.045471080392870136	357022	80159662	12.1	47.8
jhu/series	1773bf016190	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-13	23	18	12				-48	-46	-50	16		1	15	0.019960164003685544		0.0012475102502303465	0.0187126537534552			6.25	93.75			1	-1				-6.25			0.030852770578797976	-0.022735540196435068	357022	80159662	12.1	47.8
jhu/series	fd2575f5a3ea	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-18	28	23	17				-43	-41	-45	16		12	4	0.019960164003685544		0.014970123002764159	0.004990041000921386			75	25			11	-11			1100	-73.33333333333333			0.33938047636677776	-0.25009094216078576	357022	80159662	12.1	47.8
jhu/series	aa11a252b370	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-21	31	26	20				-40	-38	-42	16		14	2	0.019960164003685544		0.01746514350322485	0.002495020500460693			87.5	12.5			2	-2			16.666666666666668	-50			0.06170554115759595	-0.045471080392870136	357022	80159662	12.1	47.8
jhu/series	657cd3dd4a0c	14f654bad354	total-country	Germany	DE	Germany			51	9	Europe	Western Europe	2020-02-25	35	30	24				-36	-34	-38	17		14	3	0.02120767425391589		0.01746514350322485	0.0037425307506910397			82.35294117647058	17.647058823529413	1			1	6.25			50	0.015248551387618176			0.022735540196435068	357022	80159662	12.1	47.8
