dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	f39af84b0fa0	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-18	57	1					-21	-19	-23	1			1	0.108			0.108				100	1			1					0.108			0.108	4.808			5.682	23200	921804	7.3	24.9
jhu/series	8dc97f9f2907	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-23	62	6					-16	-14	-18	3			3	0.325			0.325				100	2			2	200			200	0.217			0.217	9.615			11.364	23200	921804	7.3	24.9
jhu/series	328e817b6010	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-25	64	8	1				-14	-12	-16	11			11	1.193			1.193				100	8			8	266.667			266.667	0.868			0.868	38.462			45.455	23200	921804	7.3	24.9
jhu/series	a5aeaddc5062	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-27	66	10	3				-12	-10	-14	12			12	1.302			1.302				100	1			1	9.091			9.091	0.108			0.108	4.808			5.682	23200	921804	7.3	24.9
jhu/series	b5042ae41a1f	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-28	67	11	4				-11	-9	-13	14			14	1.519			1.519				100	2			2	16.667			16.667	0.217			0.217	9.615			11.364	23200	921804	7.3	24.9
jhu/series	b7d97f6822c9	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-29	68	12	5				-10	-8	-12	18			18	1.953			1.953				100	4			4	28.571			28.571	0.434			0.434	19.231			22.727	23200	921804	7.3	24.9
jhu/series	06d653add7bc	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-03-31	70	14	7				-8	-6	-10	30			30	3.254			3.254				100	12			12	66.667			66.667	1.302			1.302	57.692			68.182	23200	921804	7.3	24.9
jhu/series	0032ef709d93	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-04-01	71	15	8				-7	-5	-9	33			33	3.58			3.58				100	3			3	10			10	0.325			0.325	14.423			17.045	23200	921804	7.3	24.9
jhu/series	453aa8627d7b	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-04-02	72	16	9				-6	-4	-8	40			40	4.339			4.339				100	7			7	21.212			21.212	0.759			0.759	33.654			39.773	23200	921804	7.3	24.9
jhu/series	d7f51ca329f6	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-04-03	73	17	10				-5	-3	-7	49		8	41	5.316		0.868	4.448			16.327	83.673	9		8	1	22.5			2.5	0.976		0.868	0.108	43.269		120	5.682	23200	921804	7.3	24.9
jhu/series	66c3563a9c34	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-04-04	74	18	11				-4	-2	-6	50		8	42	5.424		0.868	4.556			16	84	1			1	2.041			2.439	0.108			0.108	4.808			5.682	23200	921804	7.3	24.9
jhu/series	e2a32db73dfa	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-04-05	75	19	12				-3	-1	-5	59		9	50	6.4		0.976	5.424			15.254	84.746	9		1	8	18		12.5	19.048	0.976		0.108	0.868	43.269		15	45.455	23200	921804	7.3	24.9
jhu/series	ad51de7b5526	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-04-06	76	20	13				-2	0	-4	90		9	81	9.763		0.976	8.787			10	90	31			31	52.542			62	3.363			3.363	149.038			176.136	23200	921804	7.3	24.9
jhu/series	eb228fc9fe7d	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-04-08	78	22	15	1			0	2	-2	135		25	110	14.645		2.712	11.933			18.519	81.481	45		16	29	50		177.778	35.802	4.882		1.736	3.146	216.346		240	164.773	23200	921804	7.3	24.9
jhu/series	40e13a50739a	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-04-10	80	24	17	3			2	4	0	150	1	36	113	16.272	0.108	3.905	12.259		0.667	24	75.333	15	1	11	3	11.111		44	2.727	1.627	0.108	1.193	0.325	72.115	100	165	17.045	23200	921804	7.3	24.9
jhu/series	0b8e5c7204e1	26a9a697ed66	total-country	Djibouti	DJ	Djibouti			11.5	43	Africa	Eastern Africa	2020-04-11	81	25	18	4			3	5	1	187	2	36	149	20.286	0.217	3.905	16.164		1.07	19.251	79.679	37	1		36	24.667	100		31.858	4.014	0.108		3.905	177.885	100		204.545	23200	921804	7.3	24.9
