dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	fe2feb1fa5d6	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-02-25	35	1					-38	-38	-39	1			1	0.002			0.002				100	1			1					0.821			0.988	2381740	42972878	4.4	28.9
jhu/series	7f58daab9359	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-02	41	7					-32	-32	-33	3			3	0.007			0.007				100	2			2	200			200	1.642			1.976	2381740	42972878	4.4	28.9
jhu/series	5e38b8f54bc7	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-03	42	8					-31	-31	-32	5			5	0.012			0.012				100	2			2	66.667			66.667	1.642			1.976	2381740	42972878	4.4	28.9
jhu/series	cc7404bd0798	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-04	43	9	1				-30	-30	-31	12			12	0.028			0.028				100	7			7	140			140	5.747			6.917	2381740	42972878	4.4	28.9
jhu/series	0416bb464e4d	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-06	45	11	3				-28	-28	-29	17			17	0.04			0.04				100	5			5	41.667			41.667	4.105			4.941	2381740	42972878	4.4	28.9
jhu/series	76f93012a7aa	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-08	47	13	5				-26	-26	-27	19			19	0.044			0.044				100	2			2	11.765			11.765	1.642			1.976	2381740	42972878	4.4	28.9
jhu/series	09ab68f60823	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-09	48	14	6				-25	-25	-26	20			20	0.047			0.047				100	1			1	5.263			5.263	0.821			0.988	2381740	42972878	4.4	28.9
jhu/series	180a4625a3ac	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-12	51	17	9				-22	-22	-23	24	1	8	15	0.056	0.002	0.019	0.035		4.167	33.333	62.5	4	1	8	-5	20			-25	3.284	4.31	17.021	-4.941	2381740	42972878	4.4	28.9
jhu/series	f955f742939e	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-13	52	18	10				-21	-21	-22	26	2	8	16	0.061	0.005	0.019	0.037		7.692	30.769	61.538	2	1		1	8.333	100		6.667	1.642	4.31		0.988	2381740	42972878	4.4	28.9
jhu/series	01d43f30f25b	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-14	53	19	11				-20	-20	-21	37	3	12	22	0.086	0.007	0.028	0.051		8.108	32.432	59.459	11	1	4	6	42.308	50	50	37.5	9.031	4.31	8.511	5.929	2381740	42972878	4.4	28.9
jhu/series	b4474243c2c8	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-15	54	20	12				-19	-19	-20	48	4	12	32	0.112	0.009	0.028	0.074		8.333	25	66.667	11	1		10	29.73	33.333		45.455	9.031	4.31		9.881	2381740	42972878	4.4	28.9
jhu/series	f98982348131	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-16	55	21	13				-18	-18	-19	54	4	12	38	0.126	0.009	0.028	0.088		7.407	22.222	70.37	6			6	12.5			18.75	4.926			5.929	2381740	42972878	4.4	28.9
jhu/series	237b63f1d7e0	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-17	56	22	14				-17	-17	-18	60	4	12	44	0.14	0.009	0.028	0.102		6.667	20	73.333	6			6	11.111			15.789	4.926			5.929	2381740	42972878	4.4	28.9
jhu/series	ec7918d3e089	66351cd8d0f2	total-country	Algeria	DZ	Algeria			28	3	Africa	Northern Africa	2020-03-18	57	23	15				-16	-16	-17	74	7	12	55	0.172	0.016	0.028	0.128		9.459	16.216	74.324	14	3		11	23.333	75		25	11.494	12.931		10.87	2381740	42972878	4.4	28.9
