dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	85337a35510a	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-01	40	1					-28	-27	-30	6			6	0.03549273709163166			0.03549273709163166				100	6			6					2.092050209205021			2.2918258212375857	283561	16904867	5.2	28.8
jhu/series	9b1f9aa4d49a	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-03	42	3					-26	-25	-28	7			7	0.04140819327357027			0.04140819327357027				100	1			1	16.666666666666668			16.666666666666668	0.3486750348675035			0.3819709702062643	283561	16904867	5.2	28.8
jhu/series	b57fe996d124	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-04	43	4	1				-25	-24	-27	10			10	0.05915456181938611			0.05915456181938611				100	3			3	42.857142857142854			42.857142857142854	1.0460251046025104			1.1459129106187929	283561	16904867	5.2	28.8
jhu/series	e01cba365747	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-05	44	5	2				-24	-23	-26	13			13	0.07690093036520193			0.07690093036520193				100	3			3	30			30	1.0460251046025104			1.1459129106187929	283561	16904867	5.2	28.8
jhu/series	4a5e9f51ce7d	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-08	47	8	5				-21	-20	-23	14			14	0.08281638654714055			0.08281638654714055				100	1			1	7.6923076923076925			7.6923076923076925	0.3486750348675035			0.3819709702062643	283561	16904867	5.2	28.8
jhu/series	66eba436d8e8	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-09	48	9	6				-20	-19	-22	15			15	0.08873184272907915			0.08873184272907915				100	1			1	7.142857142857143			7.142857142857143	0.3486750348675035			0.3819709702062643	283561	16904867	5.2	28.8
jhu/series	c03308a04b06	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-11	50	11	8				-18	-17	-20	17			17	0.10056275509295637			0.10056275509295637				100	2			2	13.333333333333334			13.333333333333334	0.697350069735007			0.7639419404125286	283561	16904867	5.2	28.8
jhu/series	f2239bdb82dd	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-14	53	14	11				-15	-14	-17	28	2		26	0.1656327730942811	0.01183091236387722		0.15380186073040386		7.142857142857142		92.85714285714286	11	2		9	64.70588235294117			52.94117647058823	3.835425383542538	10.309278350515465		3.437738731856379	283561	16904867	5.2	28.8
jhu/series	870da6e6735f	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-16	55	16	13				-13	-12	-15	37	2		35	0.21887187873172856	0.01183091236387722		0.20704096636785135		5.405405405405405		94.5945945945946	9			9	32.142857142857146			34.61538461538461	3.1380753138075312			3.437738731856379	283561	16904867	5.2	28.8
jhu/series	ec129be85f62	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-17	56	17	14				-12	-11	-14	58	2		56	0.3430964585524394	0.01183091236387722		0.3312655461885622		3.4482758620689653		96.55172413793103	21			21	56.75675675675676			60	7.322175732217573			8.02139037433155	283561	16904867	5.2	28.8
jhu/series	434dc6d4af16	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-18	57	18	15	1			-11	-10	-13	111	2		109	0.6566156361951857	0.01183091236387722		0.6447847238313085		1.8018018018018018		98.1981981981982	53			53	91.37931034482759			94.64285714285714	18.479776847977682			20.24446142093201	283561	16904867	5.2	28.8
jhu/series	2aeed1b98a3e	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-19	58	19	16	2			-10	-9	-12	199	3		196	1.1771757802057834	0.01774636854581583		1.1594294116599675		1.507537688442211		98.49246231155779	88	1		87	79.27927927927928	50		79.81651376146789	30.683403068340304	5.154639175257732		33.231474407944994	283561	16904867	5.2	28.8
jhu/series	ed7587bf3c9e	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-20	59	20	17	3			-9	-8	-11	367	5		362	2.1709724187714703	0.029577280909693054		2.141395137861777		1.3623978201634876		98.63760217983652	168	2		166	84.42211055276383	66.66666666666667		84.6938775510204	58.57740585774059	10.309278350515465		63.40718105423987	283561	16904867	5.2	28.8
jhu/series	d722ca757e71	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-21	60	21	18	4			-8	-7	-10	506	7	3	496	2.9932208280609367	0.04140819327357027	0.01774636854581583	2.9340662662415506		1.383399209486166	0.592885375494071	98.02371541501977	139	2	3	134	37.87465940054496	40		37.01657458563536	48.46582984658298	10.309278350515465	24.489795918367346	51.18411000763942	283561	16904867	5.2	28.8
jhu/series	7de95944b04f	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-22	61	22	19	5			-7	-6	-9	789	14	3	772	4.667294927549563	0.08281638654714055	0.01774636854581583	4.566732172456607		1.7743979721166032	0.38022813688212925	97.84537389100126	283	7		276	55.92885375494071	100		55.645161290322584	98.67503486750348	36.08247422680413		105.42398777692894	283561	16904867	5.2	28.8
jhu/series	b7fb32656ff7	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-23	62	23	20	6			-6	-5	-8	981	18	3	960	5.803062514481776	0.106478211274895	0.01774636854581583	5.678837934661066		1.834862385321101	0.3058103975535168	97.85932721712538	192	4		188	24.334600760456272	28.571428571428573		24.352331606217618	66.94560669456067	20.61855670103093		71.81054239877768	283561	16904867	5.2	28.8
jhu/series	214e5be0d210	9f65faed6816	total-country	Ecuador	EC	Ecuador			-2	-77.5	Americas	South America	2020-03-24	63	24	21	7	1		-5	-4	-7	1082	27	3	1052	6.400523588857576	0.15971731691234248	0.01774636854581583	6.223059903399418		2.4953789279112755	0.27726432532347506	97.22735674676525	101	9		92	10.295616717635067	50		9.583333333333334	35.216178521617856	46.391752577319586		35.14132925897632	283561	16904867	5.2	28.8
