dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	6c91de2b12df	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-02-27	37	1					-33	-30	-37	1			1	0.081			0.081				100	1			1					0.081			0.081	1.272			1.429	45228	1228624	12.9	43.7
jhu/series	63da028c3699	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-03	42	6					-28	-25	-32	2			2	0.163			0.163				100	1			1	100			100	0.081			0.081	1.272			1.429	45228	1228624	12.9	43.7
jhu/series	ade8af27c826	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-05	44	8					-26	-23	-30	3			3	0.244			0.244				100	1			1	50			50	0.081			0.081	1.272			1.429	45228	1228624	12.9	43.7
jhu/series	e4748697a32b	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-06	45	9	1				-25	-22	-29	10			10	0.814			0.814				100	7			7	233.333			233.333	0.57			0.57	8.906			10	45228	1228624	12.9	43.7
jhu/series	2840cdec6b84	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-10	49	13	5				-21	-18	-25	12			12	0.977			0.977				100	2			2	20			20	0.163			0.163	2.545			2.857	45228	1228624	12.9	43.7
jhu/series	b02fa06fed01	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-11	50	14	6				-20	-17	-24	16			16	1.302			1.302				100	4			4	33.333			33.333	0.326			0.326	5.089			5.714	45228	1228624	12.9	43.7
jhu/series	f08e53c3b45c	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-13	52	16	8				-18	-15	-22	79			79	6.43			6.43				100	63			63	393.75			393.75	5.128			5.128	80.153			90	45228	1228624	12.9	43.7
jhu/series	21cc18bbfd88	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-14	53	17	9	1			-17	-14	-21	115			115	9.36			9.36				100	36			36	45.57			45.57	2.93			2.93	45.802			51.429	45228	1228624	12.9	43.7
jhu/series	657f4af531c1	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-15	54	18	10	2			-16	-13	-20	171		1	170	13.918		0.081	13.837			0.585	99.415	56		1	55	48.696			47.826	4.558		0.081	4.477	71.247		10.417	78.571	45228	1228624	12.9	43.7
jhu/series	bc95e3ae70eb	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-16	55	19	11	3			-15	-12	-19	205		1	204	16.685		0.081	16.604			0.488	99.512	34			34	19.883			20	2.767			2.767	43.257			48.571	45228	1228624	12.9	43.7
jhu/series	94a9fa02b85d	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-17	56	20	12	4			-14	-11	-18	225		1	224	18.313		0.081	18.232			0.444	99.556	20			20	9.756			9.804	1.628			1.628	25.445			28.571	45228	1228624	12.9	43.7
jhu/series	8b5b1240f455	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-18	57	21	13	5			-13	-10	-17	258		1	257	20.999		0.081	20.918			0.388	99.612	33			33	14.667			14.732	2.686			2.686	41.985			47.143	45228	1228624	12.9	43.7
jhu/series	2647f56c5e52	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-19	58	22	14	6			-12	-9	-16	267		1	266	21.732		0.081	21.65			0.375	99.625	9			9	3.488			3.502	0.733			0.733	11.45			12.857	45228	1228624	12.9	43.7
jhu/series	ca6572381c6b	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-20	59	23	15	7			-11	-8	-15	283		1	282	23.034		0.081	22.953			0.353	99.647	16			16	5.993			6.015	1.302			1.302	20.356			22.857	45228	1228624	12.9	43.7
jhu/series	04f3e361bee5	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-21	60	24	16	8			-10	-7	-14	306		1	305	24.906		0.081	24.825			0.327	99.673	23			23	8.127			8.156	1.872			1.872	29.262			32.857	45228	1228624	12.9	43.7
jhu/series	0aa016bda761	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-22	61	25	17	9			-9	-6	-13	326		2	324	26.534		0.163	26.371			0.613	99.387	20		1	19	6.536		100	6.23	1.628		0.081	1.546	25.445		10.417	27.143	45228	1228624	12.9	43.7
jhu/series	6f6043e0ec44	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-23	62	26	18	10			-8	-5	-12	352		2	350	28.65		0.163	28.487			0.568	99.432	26			26	7.975			8.025	2.116			2.116	33.079			37.143	45228	1228624	12.9	43.7
jhu/series	c064f7f521a1	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-24	63	27	19	11			-7	-4	-11	369		7	362	30.034		0.57	29.464			1.897	98.103	17		5	12	4.83		250	3.429	1.384		0.407	0.977	21.628		52.083	17.143	45228	1228624	12.9	43.7
jhu/series	38b02a8aacc9	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-25	64	28	20	12			-6	-3	-10	404	1	8	395	32.882	0.081	0.651	32.15		0.248	1.98	97.772	35	1	1	33	9.485		14.286	9.116	2.849	0.081	0.081	2.686	44.529	38.462	10.417	47.143	45228	1228624	12.9	43.7
jhu/series	ff6966482f69	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-26	65	29	21	13			-5	-2	-9	538	1	8	529	43.789	0.081	0.651	43.056		0.186	1.487	98.327	134			134	33.168			33.924	10.907			10.907	170.483			191.429	45228	1228624	12.9	43.7
jhu/series	6d18003a93ab	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-27	66	30	22	14			-4	-1	-8	575	1	11	563	46.8	0.081	0.895	45.824		0.174	1.913	97.913	37		3	34	6.877		37.5	6.427	3.011		0.244	2.767	47.074		31.25	48.571	45228	1228624	12.9	43.7
jhu/series	09525ca158a4	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-28	67	31	23	15			-3	0	-7	645	1	20	624	52.498	0.081	1.628	50.789		0.155	3.101	96.744	70		9	61	12.174		81.818	10.835	5.697		0.733	4.965	89.059		93.75	87.143	45228	1228624	12.9	43.7
jhu/series	02eb2b7c1c00	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-29	68	32	24	16			-2	1	-6	679	3	20	656	55.265	0.244	1.628	53.393		0.442	2.946	96.613	34	2		32	5.271	200		5.128	2.767	0.163		2.605	43.257	76.923		45.714	45228	1228624	12.9	43.7
jhu/series	2431e4bfb5fd	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-30	69	33	25	17			-1	2	-5	715	3	20	692	58.195	0.244	1.628	56.323		0.42	2.797	96.783	36			36	5.302			5.488	2.93			2.93	45.802			51.429	45228	1228624	12.9	43.7
jhu/series	fd04f06b1d31	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-03-31	70	34	26	18			-0	3	-4	745	4	26	715	60.637	0.326	2.116	58.195		0.537	3.49	95.973	30	1	6	23	4.196	33.333	30	3.324	2.442	0.081	0.488	1.872	38.168	38.462	62.5	32.857	45228	1228624	12.9	43.7
jhu/series	06c6a8514092	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-04-01	71	35	27	19			0	4	-3	779	5	33	741	63.404	0.407	2.686	60.311		0.642	4.236	95.122	34	1	7	26	4.564	25	26.923	3.636	2.767	0.081	0.57	2.116	43.257	38.462	72.917	37.143	45228	1228624	12.9	43.7
jhu/series	5766aadd74fe	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-04-02	72	36	28	20			1	5	-2	858	11	45	802	69.834	0.895	3.663	65.276		1.282	5.245	93.473	79	6	12	61	10.141	120	36.364	8.232	6.43	0.488	0.977	4.965	100.509	230.769	125	87.143	45228	1228624	12.9	43.7
jhu/series	a505f6843693	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-04-03	73	37	29	21			2	6	-1	961	12	48	901	78.218	0.977	3.907	73.334		1.249	4.995	93.757	103	1	3	99	12.005	9.091	6.667	12.344	8.383	0.081	0.244	8.058	131.043	38.462	31.25	141.429	45228	1228624	12.9	43.7
jhu/series	76def8e3f8f5	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-04-04	74	38	30	22	1		3	7	0	1039	13	59	967	84.566	1.058	4.802	78.706		1.251	5.679	93.07	78	1	11	66	8.117	8.333	22.917	7.325	6.349	0.081	0.895	5.372	99.237	38.462	114.583	94.286	45228	1228624	12.9	43.7
jhu/series	2e0cf8156199	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-04-05	75	39	31	23	2		4	8	1	1097	15	62	1020	89.287	1.221	5.046	83.02		1.367	5.652	92.981	58	2	3	53	5.582	15.385	5.085	5.481	4.721	0.163	0.244	4.314	73.791	76.923	31.25	75.714	45228	1228624	12.9	43.7
jhu/series	c2e62a58096c	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-04-06	76	40	32	24	3		5	9	2	1108	19	62	1027	90.182	1.546	5.046	83.589		1.715	5.596	92.69	11	4		7	1.003	26.667		0.686	0.895	0.326		0.57	13.995	153.846		10	45228	1228624	12.9	43.7
jhu/series	609dafef99c3	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-04-07	77	41	33	25	4		6	10	3	1149	21	69	1059	93.519	1.709	5.616	86.194		1.828	6.005	92.167	41	2	7	32	3.7	10.526	11.29	3.116	3.337	0.163	0.57	2.605	52.163	76.923	72.917	45.714	45228	1228624	12.9	43.7
jhu/series	3c3fb788fb21	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-04-08	78	42	34	26	5		7	11	4	1185	24	72	1089	96.449	1.953	5.86	88.636		2.025	6.076	91.899	36	3	3	30	3.133	14.286	4.348	2.833	2.93	0.244	0.244	2.442	45.802	115.385	31.25	42.857	45228	1228624	12.9	43.7
jhu/series	73fada8de249	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-04-09	79	43	35	27	6		8	12	5	1207	24	83	1100	98.24	1.953	6.756	89.531		1.988	6.877	91.135	22		11	11	1.857		15.278	1.01	1.791		0.895	0.895	27.99		114.583	15.714	45228	1228624	12.9	43.7
jhu/series	4c413ff4cac6	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-04-10	80	44	36	28	7		9	13	6	1258	24	93	1141	102.391	1.953	7.569	92.868		1.908	7.393	90.7	51		10	41	4.225		12.048	3.727	4.151		0.814	3.337	64.885		104.167	58.571	45228	1228624	12.9	43.7
jhu/series	42be4580cd39	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-04-11	81	45	37	29	8		10	14	7	1304	24	93	1187	106.135	1.953	7.569	96.612		1.84	7.132	91.028	46			46	3.657			4.032	3.744			3.744	58.524			65.714	45228	1228624	12.9	43.7
jhu/series	75f101e53160	16126d442572	total-country	Estonia	EE	Estonia			59	26	Europe	Northern Europe	2020-04-12	82	46	38	30	9		11	15	8	1309	25	98	1186	106.542	2.035	7.976	96.531		1.91	7.487	90.604	5	1	5	-1	0.383	4.167	5.376	-0.084	0.407	0.081	0.407	-0.081	6.361	38.462	52.083	-1.429	45228	1228624	12.9	43.7
