dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	87af5b7b43b4	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-01-29	8	1					-68	-70	-67	1			1	0.018			0.018				100	1			1					0.018			0.018	0.581			0.595	338145	5571665	10.3	42.8
jhu/series	5da7883f76db	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-02-12	22	15					-54	-56	-53	1		1		0.018		0.018				100				1	-1				-100			0.018	-0.018			20	-0.595	338145	5571665	10.3	42.8
jhu/series	c639d29ba790	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-02-26	36	29					-40	-42	-39	2		1	1	0.036		0.018	0.018			50	50	1			1	100				0.018			0.018	0.581			0.595	338145	5571665	10.3	42.8
jhu/series	b27ee2805e7e	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-02-29	39	32					-37	-39	-36	3		1	2	0.054		0.018	0.036			33.333	66.667	1			1	50			100	0.018			0.018	0.581			0.595	338145	5571665	10.3	42.8
jhu/series	6c5b5de28804	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-01	40	33					-36	-38	-35	6		1	5	0.108		0.018	0.09			16.667	83.333	3			3	100			150	0.054			0.054	1.744			1.784	338145	5571665	10.3	42.8
jhu/series	8a8cdc9ff8c3	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-05	44	37	1				-32	-34	-31	12		1	11	0.215		0.018	0.197			8.333	91.667	6			6	100			120	0.108			0.108	3.488			3.567	338145	5571665	10.3	42.8
jhu/series	60bd6e1933bd	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-06	45	38	2				-31	-33	-30	15		1	14	0.269		0.018	0.251			6.667	93.333	3			3	25			27.273	0.054			0.054	1.744			1.784	338145	5571665	10.3	42.8
jhu/series	8f554dbfcfaa	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-08	47	40	4				-29	-31	-28	23		1	22	0.413		0.018	0.395			4.348	95.652	8			8	53.333			57.143	0.144			0.144	4.651			4.756	338145	5571665	10.3	42.8
jhu/series	f941514c7b0c	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-09	48	41	5				-28	-30	-27	30		1	29	0.538		0.018	0.52			3.333	96.667	7			7	30.435			31.818	0.126			0.126	4.07			4.162	338145	5571665	10.3	42.8
jhu/series	47753ce921e5	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-10	49	42	6				-27	-29	-26	40		1	39	0.718		0.018	0.7			2.5	97.5	10			10	33.333			34.483	0.179			0.179	5.814			5.945	338145	5571665	10.3	42.8
jhu/series	a1a46cc68d73	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-11	50	43	7				-26	-28	-25	59		1	58	1.059		0.018	1.041			1.695	98.305	19			19	47.5			48.718	0.341			0.341	11.047			11.296	338145	5571665	10.3	42.8
jhu/series	1da6613e698c	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-13	52	45	9	1			-24	-26	-23	155		1	154	2.782		0.018	2.764			0.645	99.355	96			96	162.712			165.517	1.723			1.723	55.814			57.075	338145	5571665	10.3	42.8
jhu/series	85ff21e85480	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-14	53	46	10	2			-23	-25	-22	225		1	224	4.038		0.018	4.02			0.444	99.556	70			70	45.161			45.455	1.256			1.256	40.698			41.617	338145	5571665	10.3	42.8
jhu/series	0ff9277ffc75	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-15	54	47	11	3			-22	-24	-21	244		10	234	4.379		0.179	4.2			4.098	95.902	19		9	10	8.444		900	4.464	0.341		0.162	0.179	11.047		180	5.945	338145	5571665	10.3	42.8
jhu/series	38b76950e1fc	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-16	55	48	12	4			-21	-23	-20	277		10	267	4.972		0.179	4.792			3.61	96.39	33			33	13.525			14.103	0.592			0.592	19.186			19.62	338145	5571665	10.3	42.8
jhu/series	b45b7a6480f4	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-17	56	49	13	5			-20	-22	-19	321		10	311	5.761		0.179	5.582			3.115	96.885	44			44	15.884			16.479	0.79			0.79	25.581			26.159	338145	5571665	10.3	42.8
jhu/series	ff9b6e20b13b	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-18	57	50	14	6			-19	-21	-18	336		10	326	6.031		0.179	5.851			2.976	97.024	15			15	4.673			4.823	0.269			0.269	8.721			8.918	338145	5571665	10.3	42.8
jhu/series	0376bdf2ddae	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-19	58	51	15	7			-18	-20	-17	400		10	390	7.179		0.179	7			2.5	97.5	64			64	19.048			19.632	1.149			1.149	37.209			38.05	338145	5571665	10.3	42.8
jhu/series	62770ba28e19	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-20	59	52	16	8			-17	-19	-16	450		10	440	8.077		0.179	7.897			2.222	97.778	50			50	12.5			12.821	0.897			0.897	29.07			29.727	338145	5571665	10.3	42.8
jhu/series	92a56646005d	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-21	60	53	17	9			-16	-18	-15	523	1	10	512	9.387	0.018	0.179	9.189		0.191	1.912	97.897	73	1		72	16.222			16.364	1.31	0.018		1.292	42.442	17.857		42.806	338145	5571665	10.3	42.8
jhu/series	391c9765d146	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-22	61	54	18	10			-15	-17	-14	626	1	10	615	11.235	0.018	0.179	11.038		0.16	1.597	98.243	103			103	19.694			20.117	1.849			1.849	59.884			61.237	338145	5571665	10.3	42.8
jhu/series	e08bb95d7e6f	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-23	62	55	19	11			-14	-16	-13	700	1	10	689	12.564	0.018	0.179	12.366		0.143	1.429	98.429	74			74	11.821			12.033	1.328			1.328	43.023			43.995	338145	5571665	10.3	42.8
jhu/series	bf8471e62b30	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-24	63	56	20	12			-13	-15	-12	792	1	10	781	14.215	0.018	0.179	14.017		0.126	1.263	98.611	92			92	13.143			13.353	1.651			1.651	53.488			54.697	338145	5571665	10.3	42.8
jhu/series	b9ae674d2c82	21b00705e6a9	total-country	Finland	FI	Finland			64	26	Europe	Northern Europe	2020-03-25	64	57	21	13			-12	-14	-11	880	3	10	867	15.794	0.054	0.179	15.561		0.341	1.136	98.523	88	2		86	11.111	200		11.012	1.579	0.036		1.544	51.163	35.714		51.13	338145	5571665	10.3	42.8
