dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	d31da28bc3c8	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-01-24	3	1					-70	-70	-71	2			2	0.0029477588160244177			0.0029477588160244177				100	2			2					0.0294967848504513			0.041098142363965154	643801	67848156	9.6	41.7
jhu/series	39b33dc1a9fe	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-01-25	4	2					-69	-69	-70	3			3	0.004421638224036626			0.004421638224036626				100	1			1	50			50	0.01474839242522565			0.020549071181982577	643801	67848156	9.6	41.7
jhu/series	e4259b682040	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-01-28	7	5					-66	-66	-67	4			4	0.0058955176320488354			0.0058955176320488354				100	1			1	33.333333333333336			33.333333333333336	0.01474839242522565			0.020549071181982577	643801	67848156	9.6	41.7
jhu/series	c75e53aa57d4	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-01-29	8	6					-65	-65	-66	5			5	0.007369397040061044			0.007369397040061044				100	1			1	25			25	0.01474839242522565			0.020549071181982577	643801	67848156	9.6	41.7
jhu/series	19c504ece7ba	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-02-01	11	9					-62	-62	-63	6			6	0.008843276448073253			0.008843276448073253				100	1			1	20			20	0.01474839242522565			0.020549071181982577	643801	67848156	9.6	41.7
jhu/series	c8d037eb8864	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-02-08	18	16	1				-55	-55	-56	11			11	0.016212673488134297			0.016212673488134297				100	5			5	83.33333333333333			83.33333333333333	0.07374196212612825			0.10274535590991288	643801	67848156	9.6	41.7
jhu/series	bdff3c78e343	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-02-12	22	20	5				-51	-51	-52	11		2	9	0.016212673488134297		0.0029477588160244177	0.013264914672109879			18.181818181818183	81.81818181818183			2	-2				-18.181818181818183			0.12224938875305623	-0.041098142363965154	643801	67848156	9.6	41.7
jhu/series	c144bb20eff0	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-02-15	25	23	8				-48	-48	-49	12	1	4	7	0.017686552896146505	0.0014738794080122089	0.0058955176320488354	0.010317155856085463		8.333333333333332	33.33333333333333	58.333333333333336	1	1	2	-2	9.090909090909092		100	-22.22222222222222	0.01474839242522565	0.10248001639680263	0.12224938875305623	-0.041098142363965154	643801	67848156	9.6	41.7
jhu/series	a5319d92c1a2	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-02-25	35	33	18				-38	-38	-39	14	1	11	2	0.020634311712170925	0.0014738794080122089	0.016212673488134297	0.0029477588160244177		7.142857142857142	78.57142857142857	14.285714285714285	2		7	-5	16.666666666666668		175	-71.42857142857143	0.0294967848504513		0.4278728606356968	-0.10274535590991288	643801	67848156	9.6	41.7
jhu/series	f9e510d83878	d862f13c3074	total-country	France	FR	France			46	2	Europe	Western Europe	2020-02-26	36	34	19				-37	-37	-38	18	2	11	5	0.026529829344219758	0.0029477588160244177	0.016212673488134297	0.007369397040061044		11.11111111111111	61.111111111111114	27.77777777777778	4	1		3	28.571428571428573	100		150	0.0589935697009026	0.10248001639680263		0.061647213545947724	643801	67848156	9.6	41.7
