dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	9a356c52eeaf	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-03-14	53	1					-21	-21		1			1	0.045			0.045				100	1			1					0.045			0.045	20			20	267667	2230908	5.9	21
jhu/series	571eb2c57a6b	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-03-20	59	7					-15	-15		3	1		2	0.134	0.045		0.09		33.333		66.667	2	1		1	200			100	0.09	0.045		0.045	40			20	267667	2230908	5.9	21
jhu/series	d939fa70ba69	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-03-21	60	8					-14	-14		4	1		3	0.179	0.045		0.134		25		75	1			1	33.333			50	0.045			0.045	20			20	267667	2230908	5.9	21
jhu/series	7c1bad442514	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-03-22	61	9					-13	-13		5	1		4	0.224	0.045		0.179		20		80	1			1	25			33.333	0.045			0.045	20			20	267667	2230908	5.9	21
jhu/series	75c64cdd7e03	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-03-24	63	11					-11	-11		6	1		5	0.269	0.045		0.224		16.667		83.333	1			1	20			25	0.045			0.045	20			20	267667	2230908	5.9	21
jhu/series	24d4a9a139f5	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-03-26	65	13					-9	-9		7	1		6	0.314	0.045		0.269		14.286		85.714	1			1	16.667			20	0.045			0.045	20			20	267667	2230908	5.9	21
jhu/series	cefb58eca5c0	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-03-31	70	18	1				-4	-4		16	1		15	0.717	0.045		0.672		6.25		93.75	9			9	128.571			150	0.403			0.403	180			180	267667	2230908	5.9	21
jhu/series	698310ee55a1	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-04-01	71	19	2				-3	-3		18	1		17	0.807	0.045		0.762		5.556		94.444	2			2	12.5			13.333	0.09			0.09	40			40	267667	2230908	5.9	21
jhu/series	05cf13953cc5	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-04-02	72	20	3				-2	-2		21	1		20	0.941	0.045		0.896		4.762		95.238	3			3	16.667			17.647	0.134			0.134	60			60	267667	2230908	5.9	21
jhu/series	991cde327cb2	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-04-03	73	21	4				-1	-1		21	1	1	19	0.941	0.045	0.045	0.852		4.762	4.762	90.476			1	-1				-5			0.045	-0.045				-20	267667	2230908	5.9	21
jhu/series	0173c624921e	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-04-06	76	24	7				2	2		24	1	1	22	1.076	0.045	0.045	0.986		4.167	4.167	91.667	3			3	14.286			15.789	0.134			0.134	60			60	267667	2230908	5.9	21
jhu/series	ab3894a90cb8	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-04-07	77	25	8				3	3		30	1	1	28	1.345	0.045	0.045	1.255		3.333	3.333	93.333	6			6	25			27.273	0.269			0.269	120			120	267667	2230908	5.9	21
jhu/series	67dfd07901c1	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-04-08	78	26	9				4	4		34	1	1	32	1.524	0.045	0.045	1.434		2.941	2.941	94.118	4			4	13.333			14.286	0.179			0.179	80			80	267667	2230908	5.9	21
jhu/series	0aec0b2b54d8	a86ca43a4bdf	total-country	Gabon	GA	Gabon			-1	11.75	Africa	Middle Africa	2020-04-09	79	27	10				5	5		44	1	1	42	1.972	0.045	0.045	1.883		2.273	2.273	95.455	10			10	29.412			31.25	0.448			0.448	200			200	267667	2230908	5.9	21
