dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	a60f2b492263	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-02-26	36	1					-39	-41	-38	1			1	0.025			0.025				100	1			1					0.025			0.025	6.494			8.333	69700	3997000	11	38.6
jhu/series	9c672670b1a2	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-01	40	5					-35	-37	-34	3			3	0.075			0.075				100	2			2	200			200	0.05			0.05	12.987			16.667	69700	3997000	11	38.6
jhu/series	ac8f8e011a5e	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-05	44	9					-31	-33	-30	4			4	0.1			0.1				100	1			1	33.333			33.333	0.025			0.025	6.494			8.333	69700	3997000	11	38.6
jhu/series	7594f36ac205	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-08	47	12	1				-28	-30	-27	13			13	0.325			0.325				100	9			9	225			225	0.225			0.225	58.442			75	69700	3997000	11	38.6
jhu/series	023b5a4a72e4	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-09	48	13	2				-27	-29	-26	15			15	0.375			0.375				100	2			2	15.385			15.385	0.05			0.05	12.987			16.667	69700	3997000	11	38.6
jhu/series	f1dd72cb3718	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-11	50	15	4				-25	-27	-24	24			24	0.6			0.6				100	9			9	60			60	0.225			0.225	58.442			75	69700	3997000	11	38.6
jhu/series	2288d06c2be5	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-13	52	17	6				-23	-25	-22	25			25	0.625			0.625				100	1			1	4.167			4.167	0.025			0.025	6.494			8.333	69700	3997000	11	38.6
jhu/series	eb352cd4bbfe	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-14	53	18	7				-22	-24	-21	30			30	0.751			0.751				100	5			5	20			20	0.125			0.125	32.468			41.667	69700	3997000	11	38.6
jhu/series	944a48f7deb1	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-15	54	19	8				-21	-23	-20	33			33	0.826			0.826				100	3			3	10			10	0.075			0.075	19.481			25	69700	3997000	11	38.6
jhu/series	80fd318f60b8	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-16	55	20	9				-20	-22	-19	33		1	32	0.826		0.025	0.801			3.03	96.97			1	-1				-3.03			0.025	-0.025			16.667	-8.333	69700	3997000	11	38.6
jhu/series	d8808e4eac4b	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-17	56	21	10				-19	-21	-18	34		1	33	0.851		0.025	0.826			2.941	97.059	1			1	3.03			3.125	0.025			0.025	6.494			8.333	69700	3997000	11	38.6
jhu/series	707e5a874608	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-18	57	22	11				-18	-20	-17	38		1	37	0.951		0.025	0.926			2.632	97.368	4			4	11.765			12.121	0.1			0.1	25.974			33.333	69700	3997000	11	38.6
jhu/series	ca8272d445ab	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-19	58	23	12				-17	-19	-16	40		1	39	1.001		0.025	0.976			2.5	97.5	2			2	5.263			5.405	0.05			0.05	12.987			16.667	69700	3997000	11	38.6
jhu/series	5eb22c1bd81e	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-20	59	24	13				-16	-18	-15	43		1	42	1.076		0.025	1.051			2.326	97.674	3			3	7.5			7.692	0.075			0.075	19.481			25	69700	3997000	11	38.6
jhu/series	3b549cbda34f	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-21	60	25	14				-15	-17	-14	49		1	48	1.226		0.025	1.201			2.041	97.959	6			6	13.953			14.286	0.15			0.15	38.961			50	69700	3997000	11	38.6
jhu/series	a4dc79d85db8	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-22	61	26	15				-14	-16	-13	54		3	51	1.351		0.075	1.276			5.556	94.444	5		2	3	10.204		200	6.25	0.125		0.05	0.075	32.468		33.333	25	69700	3997000	11	38.6
jhu/series	22e5d21c0eae	28667f54a58c	total-country	Georgia	GE	Georgia			42	43.5	Asia	Western Asia	2020-03-23	62	27	16				-13	-15	-12	61		3	58	1.526		0.075	1.451			4.918	95.082	7			7	12.963			13.725	0.175			0.175	45.455			58.333	69700	3997000	11	38.6
