dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	ec015e19a537	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-03-07	46	1					-29	-29		5			5								100	5			5					69.44444444444444			108.69565217391306				
jhu/series	af9eda8211f8	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-03-15	54	9					-21	-21		7			7								100	2			2	40			40	27.77777777777778			43.47826086956522				
jhu/series	9947c08310fc	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-03-16	55	10	1				-20	-20		11			11								100	4			4	57.142857142857146			57.142857142857146	55.55555555555556			86.95652173913044				
jhu/series	db08067ba803	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-03-20	59	14	5				-16	-16		15			15								100	4			4	36.36363636363637			36.36363636363637	55.55555555555556			86.95652173913044				
jhu/series	66cd0da011c9	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-03-21	60	15	6				-15	-15		18			18								100	3			3	20			20	41.666666666666664			65.21739130434783				
jhu/series	f6f6f927f787	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-03-22	61	16	7				-14	-14		18		6	12							33.33333333333333	66.66666666666666			6	-6				-33.333333333333336			77.41935483870968	-130.43478260869566				
jhu/series	e1851881d426	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-03-23	62	17	8				-13	-13		20		6	14							30	70	2			2	11.11111111111111			16.666666666666668	27.77777777777778			43.47826086956522				
jhu/series	bc6f3b20ca68	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-03-24	63	18	9				-12	-12		23		6	17							26.08695652173913	73.91304347826086	3			3	15			21.428571428571427	41.666666666666664			65.21739130434783				
jhu/series	8a4bc6fe3e45	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-03-25	64	19	10				-11	-11		28		6	22							21.428571428571427	78.57142857142857	5			5	21.73913043478261			29.41176470588235	69.44444444444444			108.69565217391306				
jhu/series	42e2f3115988	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-03-30	69	24	15				-6	-6		43		6	37							13.953488372093023	86.04651162790698	15			15	53.57142857142857			68.18181818181819	208.33333333333334			326.0869565217392				
jhu/series	a47cddf653bf	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-04-01	71	26	17				-4	-4		51		15	36							29.411764705882355	70.58823529411765	8		9	-1	18.6046511627907		150	-2.7027027027027026	111.11111111111111		116.12903225806453	-21.73913043478261				
jhu/series	d6da1b475ad1	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-04-03	73	28	19				-2	-2		57		22	35							38.59649122807017	61.40350877192983	6		7	-1	11.764705882352942		46.666666666666664	-2.7777777777777777	83.33333333333333		90.32258064516128	-21.73913043478261				
jhu/series	123426a2a0dc	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-04-04	74	29	20				-1	-1		61		22	39							36.0655737704918	63.934426229508205	4			4	7.017543859649122			11.428571428571429	55.55555555555556			86.95652173913044				
jhu/series	a8603fbcf327	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-04-06	76	31	22				1	1		72		34	38							47.22222222222222	52.77777777777778	11		12	-1	18.0327868852459		54.54545454545455	-2.5641025641025643	152.77777777777777		154.83870967741936	-21.73913043478261				
jhu/series	7ddf46489879	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-04-08	78	33	24				3	3		77		34	43							44.15584415584416	55.84415584415584	5			5	6.944444444444445			13.157894736842104	69.44444444444444			108.69565217391306				
jhu/series	30083170bc6f	110fe8acfdba	total-country	French Guiana	GF	French Guiana			4	-53	Americas	South America	2020-04-09	79	34	25				4	4		83		43	40							51.80722891566265	48.19277108433735	6		9	-3	7.792207792207792		26.470588235294116	-6.976744186046512	83.33333333333333		116.12903225806453	-65.21739130434783				
