dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	9d19ee25542c	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-03-16	55	1					-9	-9		1			1	1.7356289919466816			1.7356289919466816				100	1			1					83.33333333333334			83.33333333333334	2166086	57616	9	34.3
jhu/series	1b6818205234	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-03-19	58	4					-6	-6		2			2	3.4712579838933633			3.4712579838933633				100	1			1	100			100	83.33333333333334			83.33333333333334	2166086	57616	9	34.3
jhu/series	e04231dc32ef	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-03-22	61	7					-3	-3		4			4	6.9425159677867265			6.9425159677867265				100	2			2	100			100	166.66666666666669			166.66666666666669	2166086	57616	9	34.3
jhu/series	53241cdee1f4	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-03-24	63	9					-1	-1		5		2	3	8.678144959733407		3.4712579838933633	5.206886975840044			40	60	1		2	-1	25			-25	83.33333333333334		160	-83.33333333333334	2166086	57616	9	34.3
jhu/series	c8f3763882a3	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-03-25	64	10					0	0		6		2	4	10.413773951680088		3.4712579838933633	6.9425159677867265			33.33333333333333	66.66666666666666	1			1	20			33.333333333333336	83.33333333333334			83.33333333333334	2166086	57616	9	34.3
jhu/series	1f74b665a70a	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-03-27	66	12	1				2	2		10		2	8	17.356289919466814		3.4712579838933633	13.885031935573453			20	80	4			4	66.66666666666667			100	333.33333333333337			333.33333333333337	2166086	57616	9	34.3
jhu/series	6c33b19873fb	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-04-03	73	19	8				9	9		10		3	7	17.356289919466814		5.206886975840044	12.14940294362677			30	70			1	-1			50	-12.5			80	-83.33333333333334	2166086	57616	9	34.3
jhu/series	563f33e1e771	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-04-04	74	20	9				10	10		11		3	8	19.091918911413497		5.206886975840044	13.885031935573453			27.27272727272727	72.72727272727273	1			1	10			14.285714285714286	83.33333333333334			83.33333333333334	2166086	57616	9	34.3
jhu/series	3ba24c13fe55	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-04-06	76	22	11				12	12		11		4	7	19.091918911413497		6.9425159677867265	12.14940294362677			36.36363636363637	63.63636363636363			1	-1			33.333333333333336	-12.5			80	-83.33333333333334	2166086	57616	9	34.3
jhu/series	b54b995632d4	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-04-07	77	23	12				13	13		11		10	1	19.091918911413497		17.356289919466814	1.7356289919466816			90.9090909090909	9.090909090909092			6	-6			150	-85.71428571428571			480	-500	2166086	57616	9	34.3
jhu/series	047affb03958	70a73b017592	total-country	Greenland	GL	Greenland			72	-40	Americas	North America	2020-04-08	78	24	13				14	14		11		11		19.091918911413497		19.091918911413497				100				1	-1			10	-100			80	-83.33333333333334	2166086	57616	9	34.3
