dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	a76952c3bb78	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-13	52	1					-23	-23		1			1	0.007982476866782039			0.007982476866782039				100	1			1					5.617977528089887			5.74712643678161	245857	12527440	8.4	19.1
jhu/series	e2ea45500776	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-21	60	9					-15	-15		2			2	0.015964953733564078			0.015964953733564078				100	1			1	100			100	5.617977528089887			5.74712643678161	245857	12527440	8.4	19.1
jhu/series	47875e6494bd	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-23	62	11					-13	-13		4			4	0.031929907467128156			0.031929907467128156				100	2			2	100			100	11.235955056179774			11.49425287356322	245857	12527440	8.4	19.1
jhu/series	81b27e8ffc1e	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-27	66	15					-9	-9		8			8	0.06385981493425631			0.06385981493425631				100	4			4	100			100	22.47191011235955			22.98850574712644	245857	12527440	8.4	19.1
jhu/series	5586193be2d3	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-29	68	17	1				-7	-7		16			16	0.12771962986851262			0.12771962986851262				100	8			8	100			100	44.9438202247191			45.97701149425288	245857	12527440	8.4	19.1
jhu/series	886df944cce1	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-03-30	69	18	2				-6	-6		22			22	0.17561449106920488			0.17561449106920488				100	6			6	37.5			37.5	33.70786516853933			34.48275862068966	245857	12527440	8.4	19.1
jhu/series	d8df875c807d	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-01	71	20	4				-4	-4		30			30	0.23947430600346117			0.23947430600346117				100	8			8	36.36363636363637			36.36363636363637	44.9438202247191			45.97701149425288	245857	12527440	8.4	19.1
jhu/series	e01e2b401aa3	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-02	72	21	5				-3	-3		52			52	0.41508879707266605			0.41508879707266605				100	22			22	73.33333333333333			73.33333333333333	123.59550561797752			126.4367816091954	245857	12527440	8.4	19.1
jhu/series	b4d30d92ae59	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-03	73	22	6				-2	-2		73		2	71	0.5827208112750889		0.015964953733564078	0.5667558575415248			2.73972602739726	97.26027397260275	21		2	19	40.38461538461539			36.53846153846154	117.97752808988764		100	109.19540229885058	245857	12527440	8.4	19.1
jhu/series	ef291b2d692b	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-04	74	23	7	1			-1	-1		111		5	106	0.8860549322128064		0.0399123843339102	0.8461425478788962			4.504504504504505	95.4954954954955	38		3	35	52.054794520547944		150	49.29577464788732	213.48314606741573		150	201.14942528735634	245857	12527440	8.4	19.1
jhu/series	22ae31acaf16	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-05	75	24	8	2			0	0		121		5	116	0.9658797008806268		0.0399123843339102	0.9259673165467166			4.132231404958678	95.86776859504133	10			10	9.00900900900901			9.433962264150944	56.179775280898866			57.4712643678161	245857	12527440	8.4	19.1
jhu/series	a6852d5f3ef8	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-06	76	25	9	3			1	1		128		5	123	1.021757038948101		0.0399123843339102	0.9818446546141909			3.90625	96.09375	7			7	5.785123966942149			6.0344827586206895	39.32584269662921			40.229885057471265	245857	12527440	8.4	19.1
jhu/series	9318b20f94f8	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-07	77	26	10	4			2	2		144		5	139	1.1494766688166136		0.0399123843339102	1.1095642844827036			3.4722222222222223	96.52777777777779	16			16	12.5			13.008130081300813	89.8876404494382			91.95402298850576	245857	12527440	8.4	19.1
jhu/series	c284b2abcec3	867b50a610cf	total-country	Guinea	GN	Guinea			11	-10	Africa	Western Africa	2020-04-08	78	27	11	5			3	3		164		5	159	1.3091262061522546		0.0399123843339102	1.2692138218183444			3.048780487804878	96.95121951219512	20			20	13.88888888888889			14.388489208633093	112.35955056179773			114.9425287356322	245857	12527440	8.4	19.1
