dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	2b7bf34aec4c	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-14	53	1					-20	-25	-15	1			1	0.006			0.006				100	1			1					0.006			0.006	8.475			9.804	108889	17153288	4.9	23.2
jhu/series	6023ead99678	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-16	55	3					-18	-23	-13	2	1		1	0.012	0.006		0.006		50		50	1	1			100				0.006	0.006			8.475	100			108889	17153288	4.9	23.2
jhu/series	0c46ad4395e3	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-17	56	4					-17	-22	-12	6	1		5	0.035	0.006		0.029		16.667		83.333	4			4	200			400	0.023			0.023	33.898			39.216	108889	17153288	4.9	23.2
jhu/series	e13fd51fcb2a	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-19	58	6					-15	-20	-10	9	1		8	0.052	0.006		0.047		11.111		88.889	3			3	50			60	0.017			0.017	25.424			29.412	108889	17153288	4.9	23.2
jhu/series	8fb25a4307d0	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-20	59	7	1				-14	-19	-9	12	1		11	0.07	0.006		0.064		8.333		91.667	3			3	33.333			37.5	0.017			0.017	25.424			29.412	108889	17153288	4.9	23.2
jhu/series	7265d29407cc	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-21	60	8	2				-13	-18	-8	17	1		16	0.099	0.006		0.093		5.882		94.118	5			5	41.667			45.455	0.029			0.029	42.373			49.02	108889	17153288	4.9	23.2
jhu/series	f26b65c09101	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-22	61	9	3				-12	-17	-7	19	1		18	0.111	0.006		0.105		5.263		94.737	2			2	11.765			12.5	0.012			0.012	16.949			19.608	108889	17153288	4.9	23.2
jhu/series	7672edec1617	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-23	62	10	4				-11	-16	-6	20	1		19	0.117	0.006		0.111		5		95	1			1	5.263			5.556	0.006			0.006	8.475			9.804	108889	17153288	4.9	23.2
jhu/series	8e37075e6081	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-24	63	11	5				-10	-15	-5	21	1		20	0.122	0.006		0.117		4.762		95.238	1			1	5			5.263	0.006			0.006	8.475			9.804	108889	17153288	4.9	23.2
jhu/series	6faaa797613b	61b90d07e957	total-country	Guatemala	GT	Guatemala			15.5	-90.25	Americas	Central America	2020-03-25	64	12	6				-9	-14	-4	24	1	4	19	0.14	0.006	0.023	0.111		4.167	16.667	79.167	3		4	-1	14.286			-5	0.017		0.023	-0.006	25.424		153.846	-9.804	108889	17153288	4.9	23.2
