dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	84327d295048	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-11	50	1					-22	-23	-21	2			2	0.022			0.022				100	2			2					0.022			0.022	6.135			6.452	112090	9235340	4.7	24.4
jhu/series	613285dfede3	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-15	54	5					-18	-19	-17	3			3	0.032			0.032				100	1			1	50			50	0.011			0.011	3.067			3.226	112090	9235340	4.7	24.4
jhu/series	4eb3ade7e6f1	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-16	55	6					-17	-18	-16	6			6	0.065			0.065				100	3			3	100			100	0.032			0.032	9.202			9.677	112090	9235340	4.7	24.4
jhu/series	7ebe69076438	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-17	56	7					-16	-17	-15	8			8	0.087			0.087				100	2			2	33.333			33.333	0.022			0.022	6.135			6.452	112090	9235340	4.7	24.4
jhu/series	b9b66fc9d1df	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-18	57	8					-15	-16	-14	9			9	0.097			0.097				100	1			1	12.5			12.5	0.011			0.011	3.067			3.226	112090	9235340	4.7	24.4
jhu/series	46b93c7e52d4	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-19	58	9	1				-14	-15	-13	12			12	0.13			0.13				100	3			3	33.333			33.333	0.032			0.032	9.202			9.677	112090	9235340	4.7	24.4
jhu/series	c076519ad14a	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-20	59	10	2				-13	-14	-12	24			24	0.26			0.26				100	12			12	100			100	0.13			0.13	36.81			38.71	112090	9235340	4.7	24.4
jhu/series	151ea5951374	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-22	61	12	4				-11	-12	-10	26			26	0.282			0.282				100	2			2	8.333			8.333	0.022			0.022	6.135			6.452	112090	9235340	4.7	24.4
jhu/series	d3fc2a2c8e75	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-23	62	13	5				-10	-11	-9	30			30	0.325			0.325				100	4			4	15.385			15.385	0.043			0.043	12.27			12.903	112090	9235340	4.7	24.4
jhu/series	b9851598616f	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-25	64	15	7				-8	-9	-7	36			36	0.39			0.39				100	6			6	20			20	0.065			0.065	18.405			19.355	112090	9235340	4.7	24.4
jhu/series	ee384d6de2c9	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-26	65	16	8				-7	-8	-6	52	1		51	0.563	0.011		0.552		1.923		98.077	16	1		15	44.444			41.667	0.173	0.011		0.162	49.08	35.714		48.387	112090	9235340	4.7	24.4
jhu/series	a7e8149af8c1	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-27	66	17	9				-6	-7	-5	68	1		67	0.736	0.011		0.725		1.471		98.529	16			16	30.769			31.373	0.173			0.173	49.08			51.613	112090	9235340	4.7	24.4
jhu/series	2ebb1b82b163	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-28	67	18	10				-5	-6	-4	95	1	3	91	1.029	0.011	0.032	0.985		1.053	3.158	95.789	27		3	24	39.706			35.821	0.292		0.032	0.26	82.822		100	77.419	112090	9235340	4.7	24.4
jhu/series	c4b6acb894c8	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-29	68	19	11	1			-4	-5	-3	110	3	3	104	1.191	0.032	0.032	1.126		2.727	2.727	94.545	15	2		13	15.789	200		14.286	0.162	0.022		0.141	46.012	71.429		41.935	112090	9235340	4.7	24.4
jhu/series	08d8c5b69c72	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-30	69	20	12	2			-3	-4	-2	139	7	3	129	1.505	0.076	0.032	1.397		5.036	2.158	92.806	29	4		25	26.364	133.333		24.038	0.314	0.043		0.271	88.957	142.857		80.645	112090	9235340	4.7	24.4
jhu/series	ab74e4f6aae9	47650f07e13b	total-country	Honduras	HN	Honduras			15	-86.5	Americas	Central America	2020-03-31	70	21	13	3			-2	-3	-1	141	7	3	131	1.527	0.076	0.032	1.418		4.965	2.128	92.908	2			2	1.439			1.55	0.022			0.022	6.135			6.452	112090	9235340	4.7	24.4
