dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	f0ad66115036	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-02	41	1					-35	-37	-34	2			2	0.001			0.001				100	2			2					0.001			0.001	0.812			0.987	1904569	267026366	6.6	31.1
jhu/series	b43aefcd68c7	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-06	45	5					-31	-33	-30	4			4	0.001			0.001				100	2			2	100			100	0.001			0.001	0.812			0.987	1904569	267026366	6.6	31.1
jhu/series	a70fb3761169	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-08	47	7					-29	-31	-28	6			6	0.002			0.002				100	2			2	50			50	0.001			0.001	0.812			0.987	1904569	267026366	6.6	31.1
jhu/series	a404925e87b9	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-09	48	8	1				-28	-30	-27	19			19	0.007			0.007				100	13			13	216.667			216.667	0.005			0.005	5.276			6.417	1904569	267026366	6.6	31.1
jhu/series	90dc3ce96bf3	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-10	49	9	2				-27	-29	-26	27		2	25	0.01		0.001	0.009			7.407	92.593	8		2	6	42.105			31.579	0.003		0.001	0.002	3.247		8.333	2.962	1904569	267026366	6.6	31.1
jhu/series	a75ba936937f	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-11	50	10	3				-26	-28	-25	34	1	2	31	0.013	0	0.001	0.012		2.941	5.882	91.176	7	1		6	25.926			24	0.003	0		0.002	2.841	4.673		2.962	1904569	267026366	6.6	31.1
jhu/series	12fbf3263aff	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-13	52	12	5				-24	-26	-23	69	4	2	63	0.026	0.001	0.001	0.024		5.797	2.899	91.304	35	3		32	102.941	300		103.226	0.013	0.001		0.012	14.205	14.019		15.795	1904569	267026366	6.6	31.1
jhu/series	8b67f0ed117a	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-14	53	13	6				-23	-25	-22	96	5	8	83	0.036	0.002	0.003	0.031		5.208	8.333	86.458	27	1	6	20	39.13	25	300	31.746	0.01	0	0.002	0.007	10.958	4.673	25	9.872	1904569	267026366	6.6	31.1
jhu/series	f9295dad10f0	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-15	54	14	7	1			-22	-24	-21	117	5	8	104	0.044	0.002	0.003	0.039		4.274	6.838	88.889	21			21	21.875			25.301	0.008			0.008	8.523			10.365	1904569	267026366	6.6	31.1
jhu/series	5e71ed5484a3	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-16	55	15	8	2			-21	-23	-20	134	5	8	121	0.05	0.002	0.003	0.045		3.731	5.97	90.299	17			17	14.53			16.346	0.006			0.006	6.899			8.391	1904569	267026366	6.6	31.1
jhu/series	64aac3e57bb1	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-17	56	16	9	3			-20	-22	-19	172	5	8	159	0.064	0.002	0.003	0.06		2.907	4.651	92.442	38			38	28.358			31.405	0.014			0.014	15.422			18.756	1904569	267026366	6.6	31.1
jhu/series	c4a42685d260	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-18	57	17	10	4			-19	-21	-18	227	19	11	197	0.085	0.007	0.004	0.074		8.37	4.846	86.784	55	14	3	38	31.977	280	37.5	23.899	0.021	0.005	0.001	0.014	22.321	65.421	12.5	18.756	1904569	267026366	6.6	31.1
jhu/series	61ebb3415a7e	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-19	58	18	11	5			-18	-20	-17	311	25	11	275	0.116	0.009	0.004	0.103		8.039	3.537	88.424	84	6		78	37.004	31.579		39.594	0.031	0.002		0.029	34.091	28.037		38.5	1904569	267026366	6.6	31.1
jhu/series	92ec5b5f63f8	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-20	59	19	12	6			-17	-19	-16	369	32	15	322	0.138	0.012	0.006	0.121		8.672	4.065	87.263	58	7	4	47	18.65	28	36.364	17.091	0.022	0.003	0.001	0.018	23.539	32.71	16.667	23.198	1904569	267026366	6.6	31.1
jhu/series	852669f08340	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-21	60	20	13	7			-16	-18	-15	450	38	15	397	0.169	0.014	0.006	0.149		8.444	3.333	88.222	81	6		75	21.951	18.75		23.292	0.03	0.002		0.028	32.873	28.037		37.019	1904569	267026366	6.6	31.1
jhu/series	f273c823d7b6	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-22	61	21	14	8			-15	-17	-14	514	48	29	437	0.192	0.018	0.011	0.164		9.339	5.642	85.019	64	10	14	40	14.222	26.316	93.333	10.076	0.024	0.004	0.005	0.015	25.974	46.729	58.333	19.743	1904569	267026366	6.6	31.1
jhu/series	579fb6bea023	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-23	62	22	15	9			-14	-16	-13	579	49	29	501	0.217	0.018	0.011	0.188		8.463	5.009	86.528	65	1		64	12.646	2.083		14.645	0.024	0		0.024	26.38	4.673		31.589	1904569	267026366	6.6	31.1
jhu/series	e9551bc7c0c8	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-24	63	23	16	10			-13	-15	-12	686	55	30	601	0.257	0.021	0.011	0.225		8.017	4.373	87.609	107	6	1	100	18.48	12.245	3.448	19.96	0.04	0.002	0	0.037	43.425	28.037	4.167	49.358	1904569	267026366	6.6	31.1
jhu/series	2dd86b2f6f54	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-25	64	24	17	11			-12	-14	-11	790	58	31	701	0.296	0.022	0.012	0.263		7.342	3.924	88.734	104	3	1	100	15.16	5.455	3.333	16.639	0.039	0.001	0	0.037	42.208	14.019	4.167	49.358	1904569	267026366	6.6	31.1
jhu/series	f73b2d8c8ac6	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-26	65	25	18	12			-11	-13	-10	893	78	35	780	0.334	0.029	0.013	0.292		8.735	3.919	87.346	103	20	4	79	13.038	34.483	12.903	11.27	0.039	0.007	0.001	0.03	41.802	93.458	16.667	38.993	1904569	267026366	6.6	31.1
jhu/series	e75b87ae83b0	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-27	66	26	19	13	1		-10	-12	-9	1046	87	46	913	0.392	0.033	0.017	0.342		8.317	4.398	87.285	153	9	11	133	17.133	11.538	31.429	17.051	0.057	0.003	0.004	0.05	62.094	42.056	45.833	65.647	1904569	267026366	6.6	31.1
jhu/series	3a09bede2ac5	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-28	67	27	20	14	2		-9	-11	-8	1155	102	59	994	0.433	0.038	0.022	0.372		8.831	5.108	86.061	109	15	13	81	10.421	17.241	28.261	8.872	0.041	0.006	0.005	0.03	44.237	70.093	54.167	39.98	1904569	267026366	6.6	31.1
jhu/series	a3b7e87735c0	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-29	68	28	21	15	3		-8	-10	-7	1285	114	64	1107	0.481	0.043	0.024	0.415		8.872	4.981	86.148	130	12	5	113	11.255	11.765	8.475	11.368	0.049	0.004	0.002	0.042	52.76	56.075	20.833	55.775	1904569	267026366	6.6	31.1
jhu/series	ac9e0472cb92	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-30	69	29	22	16	4		-7	-9	-6	1414	122	75	1217	0.53	0.046	0.028	0.456		8.628	5.304	86.068	129	8	11	110	10.039	7.018	17.188	9.937	0.048	0.003	0.004	0.041	52.354	37.383	45.833	54.294	1904569	267026366	6.6	31.1
jhu/series	65747c78c895	325a2bb36743	total-country	Indonesia	ID	Indonesia			-5	120	Asia	South-Eastern Asia	2020-03-31	70	30	23	17	5		-6	-8	-5	1528	136	81	1311	0.572	0.051	0.03	0.491		8.901	5.301	85.798	114	14	6	94	8.062	11.475	8	7.724	0.043	0.005	0.002	0.035	46.266	65.421	25	46.397	1904569	267026366	6.6	31.1
