dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	5a041f084b38	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-02-21	31	1					-40	-38	-43	1			1	0.011526746374117842			0.011526746374117842				100	1			1					0.14819205690574988			0.16020506247997435	21937	8675475	5.3	30.4
jhu/series	b85f9e3f156e	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-02-26	36	6					-35	-33	-38	2			2	0.023053492748235684			0.023053492748235684				100	1			1	100			100	0.14819205690574988			0.16020506247997435	21937	8675475	5.3	30.4
jhu/series	edbffd4f4431	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-02-27	37	7					-34	-32	-37	3		1	2	0.03458023912235353		0.011526746374117842	0.023053492748235684			33.33333333333333	66.66666666666666	1		1		50				0.14819205690574988		0.9652509652509652		21937	8675475	5.3	30.4
jhu/series	95f477ade13e	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-02-28	38	8					-33	-31	-36	4		1	3	0.04610698549647137		0.011526746374117842	0.03458023912235353			25	75	1			1	33.333333333333336			50	0.14819205690574988			0.16020506247997435	21937	8675475	5.3	30.4
jhu/series	e1d2ba38718e	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-02-29	39	9					-32	-30	-35	7		1	6	0.08068722461882491		0.011526746374117842	0.06916047824470706			14.285714285714285	85.71428571428571	3			3	75			100	0.44457617071724964			0.4806151874399231	21937	8675475	5.3	30.4
jhu/series	1ce04f1dc330	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-03-01	40	10	1				-31	-29	-34	10		1	9	0.11526746374117844		0.011526746374117842	0.10374071736706059			10	90	3			3	42.857142857142854			50	0.44457617071724964			0.4806151874399231	21937	8675475	5.3	30.4
jhu/series	c16bd4e2ae44	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-03-03	42	12	3				-29	-27	-32	12		1	11	0.13832095648941412		0.011526746374117842	0.12679421011529626			8.333333333333332	91.66666666666666	2			2	20			22.22222222222222	0.29638411381149976			0.3204101249599487	21937	8675475	5.3	30.4
jhu/series	0f0a3ae82002	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-03-04	43	13	4				-28	-26	-31	15		1	14	0.17290119561176764		0.011526746374117842	0.16137444923764982			6.666666666666667	93.33333333333333	3			3	25			27.272727272727273	0.44457617071724964			0.4806151874399231	21937	8675475	5.3	30.4
jhu/series	69b4f4772f37	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-03-05	44	14	5				-27	-25	-30	20		1	19	0.23053492748235688		0.011526746374117842	0.219008181108239			5	95	5			5	33.333333333333336			35.714285714285715	0.7409602845287493			0.8010253123998717	21937	8675475	5.3	30.4
jhu/series	7a1405081172	4e678db483fb	total-country	Israel	IL	Israel			31.47	35.13	Asia	Western Asia	2020-03-06	45	15	6				-26	-24	-29	37		2	35	0.4264896158423602		0.023053492748235684	0.4034361230941246			5.405405405405405	94.5945945945946	17		1	16	85		100	84.21052631578948	2.5192649673977474		0.9652509652509652	2.5632809996795896	21937	8675475	5.3	30.4
