dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	a3c7b9f3fdb1	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-03-20	59	1					-15	-15		1			1	1.105			1.105				100	1			1					6.173			6.757	572	90499	10.4	44.6
jhu/series	3f3d4b2340cf	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-03-22	61	3					-13	-13		5			5	5.525			5.525				100	4			4	400			400	24.691			27.027	572	90499	10.4	44.6
jhu/series	481662ab041e	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-03-23	62	4	1				-12	-12		13			13	14.365			14.365				100	8			8	160			160	49.383			54.054	572	90499	10.4	44.6
jhu/series	7163bb8c4a78	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-03-24	63	5	2				-11	-11		23			23	25.415			25.415				100	10			10	76.923			76.923	61.728			67.568	572	90499	10.4	44.6
jhu/series	74d996e0f455	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-03-26	65	7	4				-9	-9		25			25	27.625			27.625				100	2			2	8.696			8.696	12.346			13.514	572	90499	10.4	44.6
jhu/series	4a28cfe26bda	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-03-27	66	8	5				-8	-8		29			29	32.045			32.045				100	4			4	16			16	24.691			27.027	572	90499	10.4	44.6
jhu/series	b1ff296c66d4	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-03-28	67	9	6				-7	-7		32			32	35.36			35.36				100	3			3	10.345			10.345	18.519			20.27	572	90499	10.4	44.6
jhu/series	fa86e94afd7d	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-03-29	68	10	7				-6	-6		42			42	46.409			46.409				100	10			10	31.25			31.25	61.728			67.568	572	90499	10.4	44.6
jhu/series	ed11745eff8f	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-03-30	69	11	8				-5	-5		49			49	54.144			54.144				100	7			7	16.667			16.667	43.21			47.297	572	90499	10.4	44.6
jhu/series	0b897a229058	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-03-31	70	12	9				-4	-4		60			60	66.299			66.299				100	11			11	22.449			22.449	67.901			74.324	572	90499	10.4	44.6
jhu/series	9f6eb828354a	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-04-01	71	13	10				-3	-3		68	1		67	75.139	1.105		74.034		1.471		98.529	8	1		7	13.333			11.667	49.383			47.297	572	90499	10.4	44.6
jhu/series	6fa05d39fb7d	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-04-02	72	14	11				-2	-2		95	1		94	104.974	1.105		103.869		1.053		98.947	27			27	39.706			40.299	166.667			182.432	572	90499	10.4	44.6
jhu/series	19249fe65652	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-04-03	73	15	12	1			-1	-1		114	1		113	125.968	1.105		124.863		0.877		99.123	19			19	20			20.213	117.284			128.378	572	90499	10.4	44.6
jhu/series	e23151294b96	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-04-04	74	16	13	2			0	0		126	1		125	139.228	1.105		138.123		0.794		99.206	12			12	10.526			10.619	74.074			81.081	572	90499	10.4	44.6
jhu/series	f9e85b08631e	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-04-05	75	17	14	3			1	1		127	1		126	140.333	1.105		139.228		0.787		99.213	1			1	0.794			0.8	6.173			6.757	572	90499	10.4	44.6
jhu/series	a49059b574a6	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-04-06	76	18	15	4			2	2		139	1	55	83	153.593	1.105	60.774	91.714		0.719	39.568	59.712	12		55	-43	9.449			-34.127	74.074		445.946	-290.541	572	90499	10.4	44.6
jhu/series	2ce697ff54ee	dd260e6857a3	total-country	Isle of Man	IM	Isle of Man			54.25	-4.5	Europe	Northern Europe	2020-04-07	77	19	16	5			3	3		150	1	73	76	165.748	1.105	80.664	83.979		0.667	48.667	50.667	11		18	-7	7.914		32.727	-8.434	67.901		145.946	-47.297	572	90499	10.4	44.6
