dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	fe3f5e1369cf	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-02-28	38	1					-26	-26	-27	1			1	0.28511635598487745			0.28511635598487745				100	1			1					1.1441647597254003			1.3440860215053763	103000	350734	6.6	37.1
jhu/series	c290df8472df	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-01	40	3					-24	-24	-25	3			3	0.8553490679546324			0.8553490679546324				100	2			2	200			200	2.2883295194508007			2.6881720430107525	103000	350734	6.6	37.1
jhu/series	70290da6b4b7	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-02	41	4					-23	-23	-24	6			6	1.7106981359092648			1.7106981359092648				100	3			3	100			100	3.4324942791762014			4.032258064516129	103000	350734	6.6	37.1
jhu/series	9c5a902a1d30	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-03	42	5	1				-22	-22	-23	11			11	3.136279915833652			3.136279915833652				100	5			5	83.33333333333333			83.33333333333333	5.720823798627002			6.720430107526881	103000	350734	6.6	37.1
jhu/series	57fb9f918b38	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-04	43	6	2				-21	-21	-22	26			26	7.413025255606813			7.413025255606813				100	15			15	136.36363636363637			136.36363636363637	17.162471395881006			20.161290322580644	103000	350734	6.6	37.1
jhu/series	e4356e73b99e	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-05	44	7	3				-20	-20	-21	34			34	9.693956103485833			9.693956103485833				100	8			8	30.76923076923077			30.76923076923077	9.153318077803203			10.75268817204301	103000	350734	6.6	37.1
jhu/series	08cb729fd664	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-06	45	8	4				-19	-19	-20	43			43	12.26000330734973			12.26000330734973				100	9			9	26.470588235294116			26.470588235294116	10.297482837528603			12.096774193548386	103000	350734	6.6	37.1
jhu/series	3c6280cbcb87	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-07	46	9	5				-18	-18	-19	50			50	14.255817799243871			14.255817799243871				100	7			7	16.27906976744186			16.27906976744186	8.009153318077802			9.408602150537634	103000	350734	6.6	37.1
jhu/series	cfb0d87f8466	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-09	48	11	7				-16	-16	-17	58			58	16.53674864712289			16.53674864712289				100	8			8	16			16	9.153318077803203			10.75268817204301	103000	350734	6.6	37.1
jhu/series	b874044c4224	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-10	49	12	8				-15	-15	-16	69		1	68	19.673028562956542		0.28511635598487745	19.387912206971667			1.4492753623188406	98.55072463768117	11		1	10	18.96551724137931			17.24137931034483	12.585812356979403		1.9920318725099602	13.440860215053762	103000	350734	6.6	37.1
jhu/series	415c92979e9f	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-11	50	13	9				-14	-14	-15	85		1	84	24.234890258714582		0.28511635598487745	23.949773902729703			1.1764705882352942	98.82352941176471	16			16	23.18840579710145			23.529411764705884	18.306636155606405			21.50537634408602	103000	350734	6.6	37.1
jhu/series	1af20e6e7129	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-12	51	14	10	1			-13	-13	-14	103		1	102	29.366984666442374		0.28511635598487745	29.081868310457498			0.9708737864077669	99.02912621359224	18			18	21.176470588235293			21.428571428571427	20.594965675057207			24.193548387096772	103000	350734	6.6	37.1
jhu/series	a77637ad27f5	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-13	52	15	11	2			-12	-12	-13	134		1	133	38.20559170197358		0.28511635598487745	37.920475345988706			0.7462686567164178	99.25373134328358	31			31	30.097087378640776			30.392156862745097	35.46910755148741			41.666666666666664	103000	350734	6.6	37.1
jhu/series	b81cd6160932	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-14	53	16	12	3			-11	-11	-12	156		1	155	44.47815153364088		0.28511635598487745	44.193035177656			0.641025641025641	99.35897435897436	22			22	16.417910447761194			16.541353383458645	25.171624713958806			29.569892473118276	103000	350734	6.6	37.1
jhu/series	d4d5add85bfb	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-15	54	17	13	4			-10	-10	-11	171	5	8	158	48.75489687341405	1.4255817799243873	2.2809308478790196	45.048384245610634		2.923976608187134	4.678362573099415	92.39766081871345	15	5	7	3	9.615384615384615		700	1.935483870967742	17.162471395881006	357.14285714285717	13.94422310756972	4.032258064516129	103000	350734	6.6	37.1
jhu/series	18ebd6df95ad	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-16	55	18	14	5			-9	-9	-10	180			180	51.32094407727794			51.32094407727794				100	9	-5	-8	22	5.2631578947368425	-100	-100	13.924050632911392	10.297482837528603	-357.14285714285717	-15.936254980079681	29.569892473118276	103000	350734	6.6	37.1
jhu/series	f6025fe31d7b	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-17	56	19	15	6			-8	-8	-9	220	1		219	62.725598316673036	0.28511635598487745		62.44048196068817		0.45454545454545453		99.54545454545455	40	1		39	22.22222222222222			21.666666666666668	45.76659038901602	71.42857142857143		52.41935483870967	103000	350734	6.6	37.1
jhu/series	caddf5663c38	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-18	57	20	16	7			-7	-7	-8	250	1	5	244	71.27908899621936	0.28511635598487745	1.4255817799243873	69.56839086031009		0.4	2	97.6	30		5	25	13.636363636363637			11.415525114155251	34.32494279176201		9.9601593625498	33.60215053763441	103000	350734	6.6	37.1
jhu/series	aecbb202eb49	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-19	58	21	17	8			-6	-6	-7	330	1	5	324	94.08839747500956	0.28511635598487745	1.4255817799243873	92.37769933910029		0.30303030303030304	1.5151515151515151	98.18181818181819	80			80	32			32.78688524590164	91.53318077803203			107.5268817204301	103000	350734	6.6	37.1
jhu/series	c17b59550fcb	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-20	59	22	18	9			-5	-5	-6	409		5	404	116.61258959781486		1.4255817799243873	115.18700781789049			1.2224938875305624	98.77750611246944	79	-1		80	23.939393939393938	-100		24.691358024691358	90.38901601830663	-71.42857142857143		107.5268817204301	103000	350734	6.6	37.1
jhu/series	a972d7e00141	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-21	60	23	19	10			-4	-4	-5	473	1	22	450	134.86003638084702	0.28511635598487745	6.272559831667304	128.30236019319486		0.21141649048625794	4.651162790697675	95.13742071881607	64	1	17	46	15.647921760391197		340	11.386138613861386	73.22654462242562	71.42857142857143	33.86454183266932	61.82795698924731	103000	350734	6.6	37.1
jhu/series	46fc0d695e7c	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-22	61	24	20	11			-3	-3	-4	568	1	36	531	161.9460901994104	0.28511635598487745	10.264188815455588	151.3967850279699		0.17605633802816903	6.338028169014084	93.48591549295774	95		14	81	20.084566596194502		63.63636363636363	18	108.69565217391303		27.88844621513944	108.87096774193547	103000	350734	6.6	37.1
jhu/series	d5bd9acf9dd5	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-23	62	25	21	12			-2	-2	-3	588	1	36	551	167.64841731910792	0.28511635598487745	10.264188815455588	157.09911214766748		0.17006802721088435	6.122448979591836	93.70748299319727	20			20	3.5211267605633805			3.766478342749529	22.88329519450801			26.881720430107524	103000	350734	6.6	37.1
jhu/series	4fe7e1a8cb98	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-24	63	26	22	13			-1	-1	-2	648	2	51	595	184.75539867820058	0.5702327119697549	14.540934155228749	169.64423181100207		0.30864197530864196	7.87037037037037	91.82098765432099	60	1	15	44	10.204081632653061	100	41.666666666666664	7.985480943738657	68.64988558352402	71.42857142857143	29.880478087649397	59.13978494623655	103000	350734	6.6	37.1
jhu/series	d8f223d0dbea	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-25	64	27	23	14			-0	0	-1	737	2	56	679	210.1307543608547	0.5702327119697549	15.966515935153136	193.59400571373178		0.27137042062415195	7.598371777476255	92.13025780189959	89		5	84	13.734567901234568		9.803921568627452	14.117647058823529	101.83066361556064		9.9601593625498	112.9032258064516	103000	350734	6.6	37.1
jhu/series	70631c49f327	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-26	65	28	24	15			0	1	0	802	2	82	718	228.6633174998717	0.5702327119697549	23.37954119075995	204.71354359714203		0.24937655860349126	10.224438902743142	89.52618453865337	65		26	39	8.819538670284938		46.42857142857143	5.743740795287187	74.37070938215102		51.79282868525896	52.41935483870967	103000	350734	6.6	37.1
jhu/series	d5af94858769	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-27	66	29	25	16			1	2	1	890	2	97	791	253.75355682654092	0.5702327119697549	27.656286530533116	225.52703758403806		0.22471910112359553	10.89887640449438	88.87640449438202	88		15	73	10.972568578553616		18.29268292682927	10.167130919220055	100.68649885583523		29.880478087649397	98.11827956989247	103000	350734	6.6	37.1
jhu/series	331cb4b972e4	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-28	67	30	26	17			2	3	2	963	2	114	847	274.567050813437	0.5702327119697549	32.50326458227603	241.4935535191912		0.20768431983385255	11.838006230529595	87.95430944963655	73		17	56	8.202247191011235		17.52577319587629	7.079646017699115	83.52402745995423		33.86454183266932	75.26881720430107	103000	350734	6.6	37.1
jhu/series	117e8203d527	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-29	68	31	27	18	1		3	4	3	1020	2	135	883	290.81868310457503	0.5702327119697549	38.49070805795846	251.7577423346468		0.19607843137254902	13.23529411764706	86.5686274509804	57		21	36	5.919003115264798		18.42105263157895	4.250295159386068	65.21739130434783		41.83266932270916	48.387096774193544	103000	350734	6.6	37.1
jhu/series	f5c9873d74ef	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-30	69	32	28	19	2		4	5	4	1086	2	157	927	309.6363625995769	0.5702327119697549	44.76326788962576	264.3028619979814		0.1841620626151013	14.456721915285451	85.35911602209944	66		22	44	6.470588235294118		16.296296296296298	4.983012457531144	75.51487414187642		43.82470119521912	59.13978494623655	103000	350734	6.6	37.1
jhu/series	9f473fbe4faf	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-03-31	70	33	29	20	3		5	6	5	1135	2	198	935	323.6070640428359	0.5702327119697549	56.453038485005735	266.5837928458604		0.1762114537444934	17.444933920704848	82.37885462555066	49		41	8	4.511970534069982		26.11464968152866	0.8629989212513485	56.06407322654462		81.67330677290836	10.75268817204301	103000	350734	6.6	37.1
jhu/series	07c52195541b	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-04-01	71	34	30	21	4		6	7	6	1220	2	225	993	347.84195430155046	0.5702327119697549	64.15118009659743	283.1205414929833		0.16393442622950818	18.442622950819672	81.39344262295081	85		27	58	7.488986784140969		13.636363636363637	6.2032085561497325	97.25400457665904		53.78486055776892	77.95698924731182	103000	350734	6.6	37.1
jhu/series	c1edef610c9c	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-04-02	72	35	31	22	5		7	8	7	1319	4	284	1031	376.06847354405335	1.1404654239395098	80.9730450997052	293.9549630204087		0.3032600454890068	21.531463229719485	78.16527672479151	99	2	59	38	8.114754098360656	100	26.22222222222222	3.826787512588117	113.27231121281464	142.85714285714286	117.52988047808763	51.075268817204304	103000	350734	6.6	37.1
jhu/series	83b32fde7c0d	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-04-03	73	36	32	23	6		8	9	8	1364	4	309	1051	388.89870956337285	1.1404654239395098	88.10095399932713	299.65729014010617		0.2932551319648094	22.653958944281523	77.05278592375366	45		25	20	3.411675511751327		8.80281690140845	1.9398642095053347	51.48741418764302		49.800796812749	26.881720430107524	103000	350734	6.6	37.1
jhu/series	fd2889850d7e	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-04-04	74	37	33	24	7		9	10	9	1417	4	396	1017	404.00987643057135	1.1404654239395098	112.90607697001147	289.9633340366204		0.2822865208186309	27.946365561044463	71.77134791813691	53		87	-34	3.8856304985337244		28.155339805825243	-3.2350142721217887	60.64073226544622		173.30677290836653	-45.69892473118279	103000	350734	6.6	37.1
jhu/series	53e7edee5de1	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-04-05	75	38	34	25	8		10	11	10	1486	4	428	1054	423.6829049935279	1.1404654239395098	122.02980036152755	300.5126392080608		0.2691790040376851	28.802153432032302	70.92866756393002	69		32	37	4.869442484121383		8.080808080808081	3.6381514257620453	78.94736842105262		63.745019920318725	49.73118279569892	103000	350734	6.6	37.1
jhu/series	63a8be7e5e7a	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-04-06	76	39	35	26	9		11	12	11	1562	6	460	1096	445.35174804837857	1.7106981359092648	131.15352375304363	312.48752615942567		0.3841229193341869	29.449423815621	70.16645326504481	76	2	32	42	5.114401076716016	50	7.4766355140186915	3.984819734345351	86.95652173913044	142.85714285714286	63.745019920318725	56.4516129032258	103000	350734	6.6	37.1
jhu/series	e11c0007ccf6	4828c0d2d39c	total-country	Iceland	IS	Iceland			65	-18	Europe	Northern Europe	2020-04-07	77	40	36	27	10		12	13	12	1586	6	559	1021	452.19454059201564	1.7106981359092648	159.3800429955465	291.10379946055986		0.37831021437578816	35.24590163934426	64.37578814627994	24		99	-75	1.5364916773367479		21.52173913043478	-6.843065693430657	27.45995423340961		197.21115537848604	-100.80645161290323	103000	350734	6.6	37.1
