dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	f4a82a52b59a	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-18	57	1					-18	-17	-19	3			3	0.05			0.05				100	3			3					0.05			0.05	8.671			9.74	199951	5964897	6.3	27.3
jhu/series	113ae51825f5	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-20	59	3					-16	-15	-17	6			6	0.101			0.101				100	3			3	100			100	0.05			0.05	8.671			9.74	199951	5964897	6.3	27.3
jhu/series	dc00f38f8ea5	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-21	60	4	1				-15	-14	-16	14			14	0.235			0.235				100	8			8	133.333			133.333	0.134			0.134	23.121			25.974	199951	5964897	6.3	27.3
jhu/series	2953e985c6d9	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-23	62	6	3				-13	-12	-14	16			16	0.268			0.268				100	2			2	14.286			14.286	0.034			0.034	5.78			6.494	199951	5964897	6.3	27.3
jhu/series	fd6482a44c0b	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-24	63	7	4				-12	-11	-13	42			42	0.704			0.704				100	26			26	162.5			162.5	0.436			0.436	75.145			84.416	199951	5964897	6.3	27.3
jhu/series	8d1728de80bf	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-25	64	8	5				-11	-10	-12	44			44	0.738			0.738				100	2			2	4.762			4.762	0.034			0.034	5.78			6.494	199951	5964897	6.3	27.3
jhu/series	3711dacda9f3	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-27	66	10	7				-9	-8	-10	58			58	0.972			0.972				100	14			14	31.818			31.818	0.235			0.235	40.462			45.455	199951	5964897	6.3	27.3
jhu/series	6e744bca32c7	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-29	68	12	9				-7	-6	-8	84			84	1.408			1.408				100	26			26	44.828			44.828	0.436			0.436	75.145			84.416	199951	5964897	6.3	27.3
jhu/series	af7eb80a565d	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-30	69	13	10				-6	-5	-7	94		3	91	1.576		0.05	1.526			3.191	96.809	10		3	7	11.905			8.333	0.168		0.05	0.117	28.902		55.556	22.727	199951	5964897	6.3	27.3
jhu/series	dc8c0893e3c5	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-03-31	70	14	11	1			-5	-4	-6	107		3	104	1.794		0.05	1.744			2.804	97.196	13			13	13.83			14.286	0.218			0.218	37.572			42.208	199951	5964897	6.3	27.3
jhu/series	3f0e2b26a337	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-01	71	15	12	2			-4	-3	-5	111		3	108	1.861		0.05	1.811			2.703	97.297	4			4	3.738			3.846	0.067			0.067	11.561			12.987	199951	5964897	6.3	27.3
jhu/series	43cc3a4f9ba1	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-02	72	16	13	3			-3	-2	-4	116		5	111	1.945		0.084	1.861			4.31	95.69	5		2	3	4.505		66.667	2.778	0.084		0.034	0.05	14.451		37.037	9.74	199951	5964897	6.3	27.3
jhu/series	2b53be74c507	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-03	73	17	14	4			-2	-1	-3	130	1	6	123	2.179	0.017	0.101	2.062		0.769	4.615	94.615	14	1	1	12	12.069		20	10.811	0.235	0.017	0.017	0.201	40.462	100	18.519	38.961	199951	5964897	6.3	27.3
jhu/series	cf52f8237a2b	d4ac55d50a46	total-country	Kyrgyzstan	KG	Kyrgyzstan			41	75	Asia	Central Asia	2020-04-04	74	18	15	5			-1	0	-2	144	1	9	134	2.414	0.017	0.151	2.246		0.694	6.25	93.056	14		3	11	10.769		50	8.943	0.235		0.05	0.184	40.462		55.556	35.714	199951	5964897	6.3	27.3
