dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	e601d28ab809	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-02-21	31	1					-35	-39	-32	1			1	0.018			0.018				100	1			1					0.018			0.018	2.994			3.145	10400	5469612	5.4	33.7
jhu/series	a917e4da4259	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-02-26	36	6					-30	-34	-27	2			2	0.037			0.037				100	1			1	100			100	0.018			0.018	2.994			3.145	10400	5469612	5.4	33.7
jhu/series	6b94428aa690	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-02-29	39	9					-27	-31	-24	4			4	0.073			0.073				100	2			2	100			100	0.037			0.037	5.988			6.289	10400	5469612	5.4	33.7
jhu/series	d4893d6d4e12	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-01	40	10	1				-26	-30	-23	10			10	0.183			0.183				100	6			6	150			150	0.11			0.11	17.964			18.868	10400	5469612	5.4	33.7
jhu/series	c1fa13b171ee	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-02	41	11	2				-25	-29	-22	13			13	0.238			0.238				100	3			3	30			30	0.055			0.055	8.982			9.434	10400	5469612	5.4	33.7
jhu/series	0f587b777a46	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-04	43	13	4				-23	-27	-20	13		1	12	0.238		0.018	0.219			7.692	92.308			1	-1				-7.692			0.018	-0.018			16.129	-3.145	10400	5469612	5.4	33.7
jhu/series	e480693fa764	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-05	44	14	5				-22	-26	-19	16		1	15	0.293		0.018	0.274			6.25	93.75	3			3	23.077			25	0.055			0.055	8.982			9.434	10400	5469612	5.4	33.7
jhu/series	08751906e30b	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-06	45	15	6				-21	-25	-18	22		1	21	0.402		0.018	0.384			4.545	95.455	6			6	37.5			40	0.11			0.11	17.964			18.868	10400	5469612	5.4	33.7
jhu/series	7b7cd6b56d1e	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-08	47	17	8				-19	-23	-16	32		1	31	0.585		0.018	0.567			3.125	96.875	10			10	45.455			47.619	0.183			0.183	29.94			31.447	10400	5469612	5.4	33.7
jhu/series	e66f07f8601c	8753b2cf6e15	total-country	Lebanon	LB	Lebanon			33.83333333	35.83333333	Asia	Western Asia	2020-03-10	49	19	10				-17	-21	-14	41	1	1	39	0.75	0.018	0.018	0.713		2.439	2.439	95.122	9	1		8	28.125			25.806	0.165	0.018		0.146	26.946	50		25.157	10400	5469612	5.4	33.7
