dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	bcd22448950c	74dee4278cd3	total-country	Morocco	MA	Morocco			32	-5	Africa	Northern Africa	2020-03-02	41	1					-35	-35	-35	1			1	0.003			0.003				100	1			1					0.003			0.003	1.055			1.232	446550	35561654	6.6	29.1
jhu/series	f8fed2f2ee78	74dee4278cd3	total-country	Morocco	MA	Morocco			32	-5	Africa	Northern Africa	2020-03-05	44	4					-32	-32	-32	2			2	0.006			0.006				100	1			1	100			100	0.003			0.003	1.055			1.232	446550	35561654	6.6	29.1
jhu/series	81e433fe56fb	74dee4278cd3	total-country	Morocco	MA	Morocco			32	-5	Africa	Northern Africa	2020-03-10	49	9					-27	-27	-27	3	1		2	0.008	0.003		0.006		33.333		66.667	1	1			50				0.003	0.003			1.055	9.615			446550	35561654	6.6	29.1
jhu/series	e69bafb89f68	74dee4278cd3	total-country	Morocco	MA	Morocco			32	-5	Africa	Northern Africa	2020-03-11	50	10					-26	-26	-26	5	1		4	0.014	0.003		0.011		20		80	2			2	66.667			100	0.006			0.006	2.11			2.463	446550	35561654	6.6	29.1
jhu/series	098468a8b971	74dee4278cd3	total-country	Morocco	MA	Morocco			32	-5	Africa	Northern Africa	2020-03-12	51	11					-25	-25	-25	6	1		5	0.017	0.003		0.014		16.667		83.333	1			1	20			25	0.003			0.003	1.055			1.232	446550	35561654	6.6	29.1
jhu/series	0263a419dfbc	74dee4278cd3	total-country	Morocco	MA	Morocco			32	-5	Africa	Northern Africa	2020-03-13	52	12					-24	-24	-24	7	1	1	5	0.02	0.003	0.003	0.014		14.286	14.286	71.429	1		1		16.667				0.003		0.003		1.055		8.929		446550	35561654	6.6	29.1
jhu/series	d7d0445087ca	74dee4278cd3	total-country	Morocco	MA	Morocco			32	-5	Africa	Northern Africa	2020-03-14	53	13	1				-23	-23	-23	17	1	1	15	0.048	0.003	0.003	0.042		5.882	5.882	88.235	10			10	142.857			200	0.028			0.028	10.549			12.315	446550	35561654	6.6	29.1
jhu/series	de3d8062e9a5	74dee4278cd3	total-country	Morocco	MA	Morocco			32	-5	Africa	Northern Africa	2020-03-15	54	14	2				-22	-22	-22	28	1	1	26	0.079	0.003	0.003	0.073		3.571	3.571	92.857	11			11	64.706			73.333	0.031			0.031	11.603			13.547	446550	35561654	6.6	29.1
jhu/series	5ae2f25d6d5c	74dee4278cd3	total-country	Morocco	MA	Morocco			32	-5	Africa	Northern Africa	2020-03-16	55	15	3				-21	-21	-21	29	1	1	27	0.082	0.003	0.003	0.076		3.448	3.448	93.103	1			1	3.571			3.846	0.003			0.003	1.055			1.232	446550	35561654	6.6	29.1
jhu/series	bed99fc3afd4	74dee4278cd3	total-country	Morocco	MA	Morocco			32	-5	Africa	Northern Africa	2020-03-17	56	16	4				-20	-20	-20	38	2	1	35	0.107	0.006	0.003	0.098		5.263	2.632	92.105	9	1		8	31.034	100		29.63	0.025	0.003		0.022	9.494	9.615		9.852	446550	35561654	6.6	29.1
