dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	6ee595a49801	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-02-29	39	1					-27	-27		1			1	2.564			2.564				100	1			1					14.706			14.706	2	39000	10.8	55.4
jhu/series	c6c32f1b8540	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-03-12	51	13					-15	-15		2			2	5.128			5.128				100	1			1	100			100	14.706			14.706	2	39000	10.8	55.4
jhu/series	5cbde36a594c	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-03-16	55	17					-11	-11		7			7	17.949			17.949				100	5			5	250			250	73.529			73.529	2	39000	10.8	55.4
jhu/series	4a85926fd88f	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-03-20	59	21	1				-7	-7		11			11	28.205			28.205				100	4			4	57.143			57.143	58.824			58.824	2	39000	10.8	55.4
jhu/series	273dfd5a86f9	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-03-22	61	23	3				-5	-5		23		1	22	58.974		2.564	56.41			4.348	95.652	12		1	11	109.091			100	176.471		100	161.765	2	39000	10.8	55.4
jhu/series	5e53b3412a67	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-03-25	64	26	6				-2	-2		31		1	30	79.487		2.564	76.923			3.226	96.774	8			8	34.783			36.364	117.647			117.647	2	39000	10.8	55.4
jhu/series	8b2f4519d278	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-03-26	65	27	7				-1	-1		33		1	32	84.615		2.564	82.051			3.03	96.97	2			2	6.452			6.667	29.412			29.412	2	39000	10.8	55.4
jhu/series	c0c6a1eabf08	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-03-27	66	28	8				0	0		42		1	41	107.692		2.564	105.128			2.381	97.619	9			9	27.273			28.125	132.353			132.353	2	39000	10.8	55.4
jhu/series	4db4c03dc11c	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-03-29	68	30	10				2	2		46	1	1	44	117.949	2.564	2.564	112.821		2.174	2.174	95.652	4	1		3	9.524			7.317	58.824			44.118	2	39000	10.8	55.4
jhu/series	b184eaf1aa2a	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-03-30	69	31	11				3	3		49	1	1	47	125.641	2.564	2.564	120.513		2.041	2.041	95.918	3			3	6.522			6.818	44.118			44.118	2	39000	10.8	55.4
jhu/series	63007da66b95	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-03-31	70	32	12				4	4		52	1	2	49	133.333	2.564	5.128	125.641		1.923	3.846	94.231	3		1	2	6.122		100	4.255	44.118		100	29.412	2	39000	10.8	55.4
jhu/series	7bd182cc8a7a	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-04-01	71	33	13				5	5		55	1	2	52	141.026	2.564	5.128	133.333		1.818	3.636	94.545	3			3	5.769			6.122	44.118			44.118	2	39000	10.8	55.4
jhu/series	58a05d0f6cdb	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-04-02	72	34	14				6	6		60	1	2	57	153.846	2.564	5.128	146.154		1.667	3.333	95	5			5	9.091			9.615	73.529			73.529	2	39000	10.8	55.4
jhu/series	27b2a2cfb263	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-04-03	73	35	15				7	7		64	1	3	60	164.103	2.564	7.692	153.846		1.563	4.688	93.75	4		1	3	6.667		50	5.263	58.824		100	44.118	2	39000	10.8	55.4
jhu/series	5920d0170879	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-04-04	74	36	16				8	8		66	1	3	62	169.231	2.564	7.692	158.974		1.515	4.545	93.939	2			2	3.125			3.333	29.412			29.412	2	39000	10.8	55.4
jhu/series	45cff8afbe27	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-04-05	75	37	17				9	9		73	1	3	69	187.179	2.564	7.692	176.923		1.37	4.11	94.521	7			7	10.606			11.29	102.941			102.941	2	39000	10.8	55.4
jhu/series	98ae36541ca2	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-04-06	76	38	18				10	10		77	1	4	72	197.436	2.564	10.256	184.615		1.299	5.195	93.506	4		1	3	5.479		33.333	4.348	58.824		100	44.118	2	39000	10.8	55.4
jhu/series	4d04b5abff72	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-04-07	77	39	19				11	11		79	1	4	74	202.564	2.564	10.256	189.744		1.266	5.063	93.671	2			2	2.597			2.778	29.412			29.412	2	39000	10.8	55.4
jhu/series	6c807462042e	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-04-08	78	40	20				12	12		81	1	4	76	207.692	2.564	10.256	194.872		1.235	4.938	93.827	2			2	2.532			2.703	29.412			29.412	2	39000	10.8	55.4
jhu/series	c927031931fe	3a16c4874886	total-country	Monaco	MC	Monaco			43.73333333	7.4	Europe	Western Europe	2020-04-09	79	41	21				13	13		84	1	5	78	215.385	2.564	12.821	200		1.19	5.952	92.857	3		1	2	3.704		25	2.632	44.118		100	29.412	2	39000	10.8	55.4
