dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	8663b960af00	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-08	47	1					-29	-30	-29	1			1	0.03			0.03				100	1			1					0.931			1.002	33851	3364496	12.6	37.7
jhu/series	818f892438a9	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-10	49	3					-27	-28	-27	3			3	0.089			0.089				100	2			2	200			200	1.862			2.004	33851	3364496	12.6	37.7
jhu/series	7b535a63da86	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-13	52	6					-24	-25	-24	6			6	0.178			0.178				100	3			3	100			100	2.793			3.006	33851	3364496	12.6	37.7
jhu/series	8c774de12a4c	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-14	53	7	1				-23	-24	-23	12			12	0.357			0.357				100	6			6	100			100	5.587			6.012	33851	3364496	12.6	37.7
jhu/series	3923f7521c9e	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-15	54	8	2				-22	-23	-22	23			23	0.684			0.684				100	11			11	91.667			91.667	10.242			11.022	33851	3364496	12.6	37.7
jhu/series	86bcf311cacf	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-17	56	10	4				-20	-21	-20	30		1	29	0.892		0.03	0.862			3.333	96.667	7		1	6	30.435			26.087	6.518		17.857	6.012	33851	3364496	12.6	37.7
jhu/series	8ceebb06ba90	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-18	57	11	5				-19	-20	-19	30	1	1	28	0.892	0.03	0.03	0.832		3.333	3.333	93.333		1		-1				-3.448		31.25		-1.002	33851	3364496	12.6	37.7
jhu/series	07ac19e7952b	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-19	58	12	6				-18	-19	-18	49	1	1	47	1.456	0.03	0.03	1.397		2.041	2.041	95.918	19			19	63.333			67.857	17.691			19.038	33851	3364496	12.6	37.7
jhu/series	f29b6cdb98e1	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-20	59	13	7				-17	-18	-17	66	1	1	64	1.962	0.03	0.03	1.902		1.515	1.515	96.97	17			17	34.694			36.17	15.829			17.034	33851	3364496	12.6	37.7
jhu/series	df710fac08d5	d717e526cf54	total-country	Moldova	MD	Moldova			47	29	Europe	Eastern Europe	2020-03-21	60	14	8				-16	-17	-16	80	1	1	78	2.378	0.03	0.03	2.318		1.25	1.25	97.5	14			14	21.212			21.875	13.035			14.028	33851	3364496	12.6	37.7
