dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	0ef887e9c69f	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-20	59	1					-12	-12		3			3	0.011			0.011				100	3			3					30.612			31.25	587041	26955737	6.2	20.3
jhu/series	1fa7740dec43	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-23	62	4	1				-9	-9		12			12	0.045			0.045				100	9			9	300			300	91.837			93.75	587041	26955737	6.2	20.3
jhu/series	e47915c9202e	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-24	63	5	2				-8	-8		17			17	0.063			0.063				100	5			5	41.667			41.667	51.02			52.083	587041	26955737	6.2	20.3
jhu/series	06a83efe3209	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-25	64	6	3				-7	-7		19			19	0.07			0.07				100	2			2	11.765			11.765	20.408			20.833	587041	26955737	6.2	20.3
jhu/series	4aed8028a02c	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-26	65	7	4				-6	-6		23			23	0.085			0.085				100	4			4	21.053			21.053	40.816			41.667	587041	26955737	6.2	20.3
jhu/series	50a8be8b2bc0	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-27	66	8	5				-5	-5		26			26	0.096			0.096				100	3			3	13.043			13.043	30.612			31.25	587041	26955737	6.2	20.3
jhu/series	ca59aa6cf384	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-29	68	10	7				-3	-3		39			39	0.145			0.145				100	13			13	50			50	132.653			135.417	587041	26955737	6.2	20.3
jhu/series	e0ba5ddb9f8d	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-30	69	11	8				-2	-2		43			43	0.16			0.16				100	4			4	10.256			10.256	40.816			41.667	587041	26955737	6.2	20.3
jhu/series	332baec3ed1c	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-03-31	70	12	9				-1	-1		57			57	0.211			0.211				100	14			14	32.558			32.558	142.857			145.833	587041	26955737	6.2	20.3
jhu/series	f44af20c134e	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-02	72	14	11				1	1		59			59	0.219			0.219				100	2			2	3.509			3.509	20.408			20.833	587041	26955737	6.2	20.3
jhu/series	bca94ca42ee1	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-03	73	15	12				2	2		70			70	0.26			0.26				100	11			11	18.644			18.644	112.245			114.583	587041	26955737	6.2	20.3
jhu/series	5ca9a9a23618	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-05	75	17	14				4	4		72		2	70	0.267		0.007	0.26			2.778	97.222	2		2		2.857				20.408		66.667		587041	26955737	6.2	20.3
jhu/series	b9e884a6b138	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-06	76	18	15				5	5		82		2	80	0.304		0.007	0.297			2.439	97.561	10			10	13.889			14.286	102.041			104.167	587041	26955737	6.2	20.3
jhu/series	72b8851820fc	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-07	77	19	16				6	6		88		7	81	0.326		0.026	0.3			7.955	92.045	6		5	1	7.317		250	1.25	61.224		166.667	10.417	587041	26955737	6.2	20.3
jhu/series	3af6ad7db4d0	0e368eb34a41	total-country	Madagascar	MG	Madagascar			-20	47	Africa	Eastern Africa	2020-04-08	78	20	17				7	7		93		11	82	0.345		0.041	0.304			11.828	88.172	5		4	1	5.682		57.143	1.235	51.02		133.333	10.417	587041	26955737	6.2	20.3
