dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	7ebce6d7bb2f	fad18225ea35	total-country	Mali	ML	Mali			17	-4	Africa	Western Africa	2020-03-25	64	1					-9	-10	-8	2			2	0.01			0.01				100	2			2					0.01			0.01	19.608			23.81	1240192	19553397	9	16
jhu/series	54501420b9e8	fad18225ea35	total-country	Mali	ML	Mali			17	-4	Africa	Western Africa	2020-03-26	65	2					-8	-9	-7	4			4	0.02			0.02				100	2			2	100			100	0.01			0.01	19.608			23.81	1240192	19553397	9	16
jhu/series	6af0f9e36967	fad18225ea35	total-country	Mali	ML	Mali			17	-4	Africa	Western Africa	2020-03-27	66	3	1				-7	-8	-6	11			11	0.056			0.056				100	7			7	175			175	0.036			0.036	68.627			83.333	1240192	19553397	9	16
jhu/series	9545d6d6a99e	fad18225ea35	total-country	Mali	ML	Mali			17	-4	Africa	Western Africa	2020-03-28	67	4	2				-6	-7	-5	18			18	0.092			0.092				100	7			7	63.636			63.636	0.036			0.036	68.627			83.333	1240192	19553397	9	16
jhu/series	cb641d28528f	fad18225ea35	total-country	Mali	ML	Mali			17	-4	Africa	Western Africa	2020-03-29	68	5	3				-5	-6	-4	18	1		17	0.092	0.005		0.087		5.556		94.444		1		-1				-5.556		0.005		-0.005		71.429		-11.905	1240192	19553397	9	16
jhu/series	469cb4de5b1f	fad18225ea35	total-country	Mali	ML	Mali			17	-4	Africa	Western Africa	2020-03-30	69	6	4				-4	-5	-3	25	2		23	0.128	0.01		0.118		8		92	7	1		6	38.889	100		35.294	0.036	0.005		0.031	68.627	71.429		71.429	1240192	19553397	9	16
jhu/series	0881adb146e5	fad18225ea35	total-country	Mali	ML	Mali			17	-4	Africa	Western Africa	2020-03-31	70	7	5				-3	-4	-2	28	2		26	0.143	0.01		0.133		7.143		92.857	3			3	12			13.043	0.015			0.015	29.412			35.714	1240192	19553397	9	16
jhu/series	f6427402aa19	fad18225ea35	total-country	Mali	ML	Mali			17	-4	Africa	Western Africa	2020-04-01	71	8	6				-2	-3	-1	31	3		28	0.159	0.015		0.143		9.677		90.323	3	1		2	10.714	50		7.692	0.015	0.005		0.01	29.412	71.429		23.81	1240192	19553397	9	16
jhu/series	61ef2839749f	fad18225ea35	total-country	Mali	ML	Mali			17	-4	Africa	Western Africa	2020-04-02	72	9	7				-1	-2	0	36	3		33	0.184	0.015		0.169		8.333		91.667	5			5	16.129			17.857	0.026			0.026	49.02			59.524	1240192	19553397	9	16
jhu/series	cb727e018f2f	fad18225ea35	total-country	Mali	ML	Mali			17	-4	Africa	Western Africa	2020-04-03	73	10	8				0	-1	1	39	3		36	0.199	0.015		0.184		7.692		92.308	3			3	8.333			9.091	0.015			0.015	29.412			35.714	1240192	19553397	9	16
jhu/series	9adf9c3c4917	fad18225ea35	total-country	Mali	ML	Mali			17	-4	Africa	Western Africa	2020-04-04	74	11	9				1	0	2	41	3	1	37	0.21	0.015	0.005	0.189		7.317	2.439	90.244	2		1	1	5.128			2.778	0.01		0.005	0.005	19.608		28.571	11.905	1240192	19553397	9	16
