dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	2c4cfc63a56c	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-01-22	1	1					-51	-51		1			1	0.16274505336410303			0.16274505336410303				100	1			1					27.77777777777778			27.77777777777778	28.2	614458	4.9	40.8
jhu/series	12c8ede7a35c	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-01-23	2	2					-50	-50		2			2	0.32549010672820605			0.32549010672820605				100	1			1	100			100	27.77777777777778			27.77777777777778	28.2	614458	4.9	40.8
jhu/series	4e84028b655e	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-01-26	5	5					-47	-47		5			5	0.813725266820515			0.813725266820515				100	3			3	150			150	83.33333333333333			83.33333333333333	28.2	614458	4.9	40.8
jhu/series	182f4f6a935f	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-01-27	6	6					-46	-46		6			6	0.976470320184618			0.976470320184618				100	1			1	20			20	27.77777777777778			27.77777777777778	28.2	614458	4.9	40.8
jhu/series	5c74533c40a3	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-01-28	7	7					-45	-45		7			7	1.139215373548721			1.139215373548721				100	1			1	16.666666666666668			16.666666666666668	27.77777777777778			27.77777777777778	28.2	614458	4.9	40.8
jhu/series	a5dd97cd501d	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-02	12	12					-40	-40		8			8	1.3019604269128242			1.3019604269128242				100	1			1	14.285714285714286			14.285714285714286	27.77777777777778			27.77777777777778	28.2	614458	4.9	40.8
jhu/series	63b0800268fd	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-04	14	14	1				-38	-38		10			10	1.62745053364103			1.62745053364103				100	2			2	25			25	55.55555555555556			55.55555555555556	28.2	614458	4.9	40.8
jhu/series	7d58cb56f93c	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-06	16	16	3				-36	-36		10		1	9	1.62745053364103		0.16274505336410303	1.464705480276927			10	90			1	-1				-10			100	-27.77777777777778	28.2	614458	4.9	40.8
jhu/series	e8b1612405bb	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-12	22	22	9				-30	-30		10		2	8	1.62745053364103		0.32549010672820605	1.3019604269128242			20	80			1	-1			100	-11.11111111111111			100	-27.77777777777778	28.2	614458	4.9	40.8
jhu/series	b10d8290268a	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-13	23	23	10				-29	-29		10		3	7	1.62745053364103		0.488235160092309	1.139215373548721			30	70			1	-1			50	-12.5			100	-27.77777777777778	28.2	614458	4.9	40.8
jhu/series	f04ea5d0c202	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-16	26	26	13				-26	-26		10		5	5	1.62745053364103		0.813725266820515	0.813725266820515			50	50			2	-2			66.66666666666667	-28.571428571428573			200	-55.55555555555556	28.2	614458	4.9	40.8
jhu/series	38d59454f4e3	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-20	30	30	17				-22	-22		10		6	4	1.62745053364103		0.976470320184618	0.6509802134564121			60	40			1	-1			20	-20			100	-27.77777777777778	28.2	614458	4.9	40.8
jhu/series	17a8d020bf9b	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-25	35	35	22				-17	-17		10		7	3	1.62745053364103		1.139215373548721	0.488235160092309			70	30			1	-1			16.666666666666668	-25			100	-27.77777777777778	28.2	614458	4.9	40.8
jhu/series	b2b897feff36	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-02-27	37	37	24				-15	-15		10		8	2	1.62745053364103		1.3019604269128242	0.32549010672820605			80	20			1	-1			14.285714285714286	-33.333333333333336			100	-27.77777777777778	28.2	614458	4.9	40.8
jhu/series	606d084ef80a	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-03-03	42	42	29				-10	-10		10		9	1	1.62745053364103		1.464705480276927	0.16274505336410303			90	10			1	-1			12.5	-50			100	-27.77777777777778	28.2	614458	4.9	40.8
jhu/series	32d79849f543	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-03-06	45	45	32				-7	-7		10		10		1.62745053364103		1.62745053364103				100				1	-1			11.11111111111111	-100			100	-27.77777777777778	28.2	614458	4.9	40.8
jhu/series	2bcbdd142125	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-03-16	55	55	42				3	3		11		10	1	1.790195587005133		1.62745053364103	0.16274505336410303			90.9090909090909	9.090909090909092	1			1	10				27.77777777777778			27.77777777777778	28.2	614458	4.9	40.8
jhu/series	5c11a488d1f7	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-03-17	56	56	43				4	4		12		10	2	1.952940640369236		1.62745053364103	0.32549010672820605			83.33333333333334	16.666666666666664	1			1	9.090909090909092			100	27.77777777777778			27.77777777777778	28.2	614458	4.9	40.8
jhu/series	ae0d46c1dd59	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-03-18	57	57	44				5	5		15		10	5	2.4411758004615454		1.62745053364103	0.813725266820515			66.66666666666666	33.33333333333333	3			3	25			150	83.33333333333333			83.33333333333333	28.2	614458	4.9	40.8
jhu/series	bfac2621aad7	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-03-19	58	58	45				6	6		17		10	7	2.766665907189751		1.62745053364103	1.139215373548721			58.82352941176471	41.17647058823529	2			2	13.333333333333334			40	55.55555555555556			55.55555555555556	28.2	614458	4.9	40.8
jhu/series	869d3d0df71e	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-03-21	60	60	47				8	8		18		10	8	2.929410960553854		1.62745053364103	1.3019604269128242			55.55555555555556	44.44444444444444	1			1	5.882352941176471			14.285714285714286	27.77777777777778			27.77777777777778	28.2	614458	4.9	40.8
jhu/series	62f02cb694bc	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-03-22	61	61	48				9	9		24		10	14	3.905881280738472		1.62745053364103	2.278430747097442			41.66666666666667	58.333333333333336	6			6	33.333333333333336			75	166.66666666666666			166.66666666666666	28.2	614458	4.9	40.8
jhu/series	3e4a59c19eb7	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-03-24	63	63	50				11	11		25		10	15	4.068626334102575		1.62745053364103	2.4411758004615454			40	60	1			1	4.166666666666667			7.142857142857143	27.77777777777778			27.77777777777778	28.2	614458	4.9	40.8
jhu/series	2e180a1efcbf	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-03-25	64	64	51				12	12		30		10	20	4.882351600923091		1.62745053364103	3.25490106728206			33.33333333333333	66.66666666666666	5			5	20			33.333333333333336	138.88888888888889			138.88888888888889	28.2	614458	4.9	40.8
jhu/series	b69e3176c4fb	528507a5cf18	total-country	Macau	MO	Macau			22.16666666	113.55	Asia	Eastern Asia	2020-03-26	65	65	52				13	13		31		10	21	5.045096654287193		1.62745053364103	3.4176461206461632			32.25806451612903	67.74193548387096	1			1	3.3333333333333335			5	27.77777777777778			27.77777777777778	28.2	614458	4.9	40.8
