dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	291c18a43cac	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-08	47	1					-11	-11		4			4	1.0206581203560054			1.0206581203560054				100	4			4					181.8181818181818			200	298	391904	4.1	29.5
jhu/series	9a913814d4a7	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-10	49	3					-9	-9		6			6	1.5309871805340083			1.5309871805340083				100	2			2	50			50	90.9090909090909			100	298	391904	4.1	29.5
jhu/series	adfa75c2687a	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-11	50	4					-8	-8		8			8	2.041316240712011			2.041316240712011				100	2			2	33.333333333333336			33.333333333333336	90.9090909090909			100	298	391904	4.1	29.5
jhu/series	a21e1e9ac8f8	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-13	52	6					-6	-6		9			9	2.2964807708010126			2.2964807708010126				100	1			1	12.5			12.5	45.45454545454545			50	298	391904	4.1	29.5
jhu/series	6dbb035e42b0	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-14	53	7	1				-5	-5		10			10	2.551645300890014			2.551645300890014				100	1			1	11.11111111111111			11.11111111111111	45.45454545454545			50	298	391904	4.1	29.5
jhu/series	809308519801	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-15	54	8	2				-4	-4		13			13	3.3171388911570183			3.3171388911570183				100	3			3	30			30	136.36363636363635			150	298	391904	4.1	29.5
jhu/series	9f62806d1e06	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-24	63	17	11				5	5		13		5	8	3.3171388911570183		1.275822650445007	2.041316240712011			38.46153846153847	61.53846153846154			5	-5				-38.46153846153846			187.5	-250	298	391904	4.1	29.5
jhu/series	42e7bd6d2305	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-25	64	18	12				6	6		13		8	5	3.3171388911570183		2.041316240712011	1.275822650445007			61.53846153846154	38.46153846153847			3	-3			60	-37.5			112.5	-150	298	391904	4.1	29.5
jhu/series	63c722ee7c1e	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-27	66	20	14				8	8		16		9	7	4.082632481424022		2.2964807708010126	1.7861517106230098			56.25	43.75	3		1	2	23.076923076923077		12.5	40	136.36363636363635		37.5	100	298	391904	4.1	29.5
jhu/series	bc3038dcf51f	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-29	68	22	16				10	10		17		13	4	4.3377970115130235		3.3171388911570183	1.0206581203560054			76.47058823529412	23.52941176470588	1		4	-3	6.25		44.44444444444444	-42.857142857142854	45.45454545454545		150	-150	298	391904	4.1	29.5
jhu/series	fd8cec920762	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-03-31	70	24	18				12	12		18		13	5	4.592961541602025		3.3171388911570183	1.275822650445007			72.22222222222221	27.77777777777778	1			1	5.882352941176471			25	45.45454545454545			50	298	391904	4.1	29.5
jhu/series	67653f8f41b3	f9ce3aebbc50	total-country	Maldives	MV	Maldives			3.25	73	Asia	Southern Asia	2020-04-01	71	25	19				13	13		19		13	6	4.848126071691026		3.3171388911570183	1.5309871805340083			68.42105263157895	31.57894736842105	1			1	5.555555555555555			20	45.45454545454545			50	298	391904	4.1	29.5
