dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	61debff84944	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-02-27	37	1					-36	-36	-36	1			1	0.006			0.006				100	1			1					0.006			0.006	0.082			0.091	41543	17280397	9.2	42.8
jhu/series	0d65e7f8e3ca	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-02-29	39	3					-34	-34	-34	6			6	0.035			0.035				100	5			5	500			500	0.029			0.029	0.411			0.456	41543	17280397	9.2	42.8
jhu/series	25e0f4a99057	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-01	40	4	1				-33	-33	-33	10			10	0.058			0.058				100	4			4	66.667			66.667	0.023			0.023	0.329			0.365	41543	17280397	9.2	42.8
jhu/series	e901c9ad232b	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-02	41	5	2				-32	-32	-32	18			18	0.104			0.104				100	8			8	80			80	0.046			0.046	0.657			0.729	41543	17280397	9.2	42.8
jhu/series	35e0e01d95c1	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-03	42	6	3				-31	-31	-31	24			24	0.139			0.139				100	6			6	33.333			33.333	0.035			0.035	0.493			0.547	41543	17280397	9.2	42.8
jhu/series	e5f44e72590f	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-04	43	7	4				-30	-30	-30	38			38	0.22			0.22				100	14			14	58.333			58.333	0.081			0.081	1.151			1.276	41543	17280397	9.2	42.8
jhu/series	d3a4fb9f7394	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-05	44	8	5				-29	-29	-29	82			82	0.475			0.475				100	44			44	115.789			115.789	0.255			0.255	3.616			4.012	41543	17280397	9.2	42.8
jhu/series	36a86f605c72	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-06	45	9	6	1			-28	-28	-28	128	1		127	0.741	0.006		0.735		0.781		99.219	46	1		45	56.098			54.878	0.266	0.006		0.26	3.78	0.624		4.103	41543	17280397	9.2	42.8
jhu/series	88456d3f598a	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-07	46	10	7	2			-27	-27	-27	188	1		187	1.088	0.006		1.082		0.532		99.468	60			60	46.875			47.244	0.347			0.347	4.931			5.47	41543	17280397	9.2	42.8
jhu/series	b31c1681aa11	e78f0e9d0960	total-country	Netherlands	NL	Netherlands			52.5	5.75	Europe	Western Europe	2020-03-08	47	11	8	3			-26	-26	-26	265	3		262	1.534	0.017		1.516		1.132		98.868	77	2		75	40.957	200		40.107	0.446	0.012		0.434	6.328	1.248		6.838	41543	17280397	9.2	42.8
