dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	7a809f2f5521	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-02-24	34	1					-39	-40	-38	2			2	0.04287388817289496			0.04287388817289496				100	2			2					6.329113924050632			7.633587786259542	309500	4664844	3.3	26.2
jhu/series	ffe73f83853a	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-02-26	36	3					-37	-38	-36	4			4	0.08574777634578992			0.08574777634578992				100	2			2	100			100	6.329113924050632			7.633587786259542	309500	4664844	3.3	26.2
jhu/series	cb8728a702a6	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-02-29	39	6					-34	-35	-33	6		1	5	0.12862166451868487		0.02143694408644748	0.10718472043223738			16.666666666666664	83.33333333333334	2		1	1	50			25	6.329113924050632		10.416666666666668	3.816793893129771	309500	4664844	3.3	26.2
jhu/series	627688e10bc9	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-03	42	9	1				-31	-32	-30	12		2	10	0.25724332903736974		0.04287388817289496	0.21436944086447476			16.666666666666664	83.33333333333334	6		1	5	100		100	100	18.987341772151897		10.416666666666668	19.083969465648856	309500	4664844	3.3	26.2
jhu/series	c17a36114e02	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-04	43	10	2				-30	-31	-29	15		2	13	0.32155416129671216		0.04287388817289496	0.2786802731238172			13.333333333333334	86.66666666666667	3			3	25			30	9.493670886075948			11.450381679389313	309500	4664844	3.3	26.2
jhu/series	5dab00f32e43	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-05	44	11	3				-29	-30	-28	16		2	14	0.3429911053831597		0.04287388817289496	0.3001172172102647			12.5	87.5	1			1	6.666666666666667			7.6923076923076925	3.164556962025316			3.816793893129771	309500	4664844	3.3	26.2
jhu/series	2366514fcb08	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-10	49	16	8				-24	-25	-23	18		9	9	0.38586499355605464		0.19293249677802732	0.19293249677802732			50	50	2		7	-5	12.5		350	-35.714285714285715	6.329113924050632		72.91666666666667	-19.083969465648856	309500	4664844	3.3	26.2
jhu/series	70aaa73dba5e	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-13	52	19	11				-21	-22	-20	19		9	10	0.4073019376425021		0.19293249677802732	0.21436944086447476			47.368421052631575	52.63157894736842	1			1	5.555555555555555			11.11111111111111	3.164556962025316			3.816793893129771	309500	4664844	3.3	26.2
jhu/series	3fe46eb1ca74	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-15	54	21	13				-19	-20	-18	22		9	13	0.47161276990184453		0.19293249677802732	0.2786802731238172			40.909090909090914	59.09090909090909	3			3	15.789473684210526			30	9.493670886075948			11.450381679389313	309500	4664844	3.3	26.2
jhu/series	8e482ee59821	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-17	56	23	15				-17	-18	-16	24		9	15	0.5144866580747395		0.19293249677802732	0.32155416129671216			37.5	62.5	2			2	9.090909090909092			15.384615384615385	6.329113924050632			7.633587786259542	309500	4664844	3.3	26.2
jhu/series	ec48b17ea35a	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-18	57	24	16				-16	-17	-15	39		12	27	0.8360408193714517		0.25724332903736974	0.5787974903340819			30.76923076923077	69.23076923076923	15		3	12	62.5		33.333333333333336	80	47.46835443037975		31.25	45.80152671755725	309500	4664844	3.3	26.2
jhu/series	5e25d479e577	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-19	58	25	17				-15	-16	-14	48		12	36	1.028973316149479		0.25724332903736974	0.7717299871121093			25	75	9			9	23.076923076923077			33.333333333333336	28.481012658227844			34.35114503816794	309500	4664844	3.3	26.2
jhu/series	3614672a7efa	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-21	60	27	19				-13	-14	-12	52		12	40	1.1147210924952689		0.25724332903736974	0.8574777634578991			23.076923076923077	76.92307692307693	4			4	8.333333333333334			11.11111111111111	12.658227848101264			15.267175572519085	309500	4664844	3.3	26.2
jhu/series	4f6a09d6fa19	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-22	61	28	20				-12	-13	-11	55		17	38	1.1790319247546113		0.3644280494696071	0.8146038752850042			30.909090909090907	69.0909090909091	3		5	-2	5.769230769230769		41.666666666666664	-5	9.493670886075948		52.083333333333336	-7.633587786259542	309500	4664844	3.3	26.2
jhu/series	9caa6ba86cda	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-23	62	29	21				-11	-12	-10	66		17	49	1.4148383097055335		0.3644280494696071	1.0504102602359264			25.757575757575758	74.24242424242425	11			11	20			28.94736842105263	34.81012658227848			41.98473282442748	309500	4664844	3.3	26.2
jhu/series	24f56ed7994e	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-24	63	30	22				-10	-11	-9	84		17	67	1.800703303261588		0.3644280494696071	1.436275253791981			20.238095238095237	79.76190476190477	18			18	27.272727272727273			36.734693877551024	56.96202531645569			68.70229007633588	309500	4664844	3.3	26.2
jhu/series	42b8a064e76b	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-25	64	31	23				-9	-10	-8	99		17	82	2.1222574645583006		0.3644280494696071	1.7578294150886933			17.17171717171717	82.82828282828282	15			15	17.857142857142858			22.388059701492537	47.46835443037975			57.25190839694657	309500	4664844	3.3	26.2
jhu/series	5482ae2855ab	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-26	65	32	24	1			-8	-9	-7	109		23	86	2.336626905422775		0.493049713988292	1.8435771914344832			21.100917431192663	78.89908256880734	10		6	4	10.1010101010101		35.294117647058826	4.878048780487805	31.645569620253163		62.5	15.267175572519085	309500	4664844	3.3	26.2
jhu/series	8430dfb52d4b	b0491051bbd9	total-country	Oman	OM	Oman			21	57	Asia	Western Asia	2020-03-27	66	33	25	2			-7	-8	-6	131		23	108	2.8082396753246197		0.493049713988292	2.3151899613363276			17.557251908396946	82.44274809160305	22			22	20.18348623853211			25.58139534883721	69.62025316455696			83.96946564885496	309500	4664844	3.3	26.2
