dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	2d4a4991fec8	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-10	49	1					-23	-25	-21	1			1	0.026			0.026				100	1			1					0.026			0.026	0.566			0.591	75420	3894082	5.1	30.1
jhu/series	82b2080fe591	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-11	50	2					-22	-24	-20	8	1		7	0.205	0.026		0.18		12.5		87.5	7	1		6	700			600	0.18	0.026		0.154	3.959	17.857		3.546	75420	3894082	5.1	30.1
jhu/series	089ff2e28c17	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-12	51	3	1				-21	-23	-19	11	1		10	0.282	0.026		0.257		9.091		90.909	3			3	37.5			42.857	0.077			0.077	1.697			1.773	75420	3894082	5.1	30.1
jhu/series	e183faf750aa	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-13	52	4	2				-20	-22	-18	27	1		26	0.693	0.026		0.668		3.704		96.296	16			16	145.455			160	0.411			0.411	9.05			9.456	75420	3894082	5.1	30.1
jhu/series	135bcce5e8e6	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-14	53	5	3				-19	-21	-17	36	1		35	0.924	0.026		0.899		2.778		97.222	9			9	33.333			34.615	0.231			0.231	5.09			5.319	75420	3894082	5.1	30.1
jhu/series	3bb5ff36c29b	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-15	54	6	4				-18	-20	-16	43	1		42	1.104	0.026		1.079		2.326		97.674	7			7	19.444			20	0.18			0.18	3.959			4.137	75420	3894082	5.1	30.1
jhu/series	164ba59b919e	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-16	55	7	5				-17	-19	-15	55	1		54	1.412	0.026		1.387		1.818		98.182	12			12	27.907			28.571	0.308			0.308	6.787			7.092	75420	3894082	5.1	30.1
jhu/series	b291d74a5841	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-17	56	8	6				-16	-18	-14	69	1		68	1.772	0.026		1.746		1.449		98.551	14			14	25.455			25.926	0.36			0.36	7.919			8.274	75420	3894082	5.1	30.1
jhu/series	f8aa2c15a874	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-18	57	9	7				-15	-17	-13	86	1		85	2.208	0.026		2.183		1.163		98.837	17			17	24.638			25	0.437			0.437	9.615			10.047	75420	3894082	5.1	30.1
jhu/series	7e6855b77b91	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-19	58	10	8	1			-14	-16	-12	109	1		108	2.799	0.026		2.773		0.917		99.083	23			23	26.744			27.059	0.591			0.591	13.009			13.593	75420	3894082	5.1	30.1
jhu/series	c6ba05fa1b40	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-20	59	11	9	2			-13	-15	-11	137	1		136	3.518	0.026		3.492		0.73		99.27	28			28	25.688			25.926	0.719			0.719	15.837			16.548	75420	3894082	5.1	30.1
jhu/series	a5e3740424fd	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-21	60	12	10	3			-12	-14	-10	200	1		199	5.136	0.026		5.11		0.5		99.5	63			63	45.985			46.324	1.618			1.618	35.633			37.234	75420	3894082	5.1	30.1
jhu/series	dfc674ee7da4	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-22	61	13	11	4			-11	-13	-9	313	3		310	8.038	0.077		7.961		0.958		99.042	113	2		111	56.5	200		55.779	2.902	0.051		2.85	63.914	35.714		65.603	75420	3894082	5.1	30.1
jhu/series	cece4e2f92b4	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-23	62	14	12	5			-10	-12	-8	345	6		339	8.86	0.154		8.706		1.739		98.261	32	3		29	10.224	100		9.355	0.822	0.077		0.745	18.1	53.571		17.139	75420	3894082	5.1	30.1
jhu/series	9d2b5018dd81	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-24	63	15	13	6			-9	-11	-7	345	6	1	338	8.86	0.154	0.026	8.68		1.739	0.29	97.971			1	-1				-0.295			0.026	-0.026			55.556	-0.591	75420	3894082	5.1	30.1
jhu/series	315b11b47e2a	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-25	64	16	14	7			-8	-10	-6	443	8	1	434	11.376	0.205	0.026	11.145		1.806	0.226	97.968	98	2		96	28.406	33.333		28.402	2.517	0.051		2.465	55.43	35.714		56.738	75420	3894082	5.1	30.1
jhu/series	a4d96b9df294	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-26	65	17	15	8			-7	-9	-5	558	8	2	548	14.329	0.205	0.051	14.073		1.434	0.358	98.208	115		1	114	25.959		100	26.267	2.953		0.026	2.928	65.045		55.556	67.376	75420	3894082	5.1	30.1
jhu/series	46057c8c1cc4	c3a6bd56fccd	total-country	Panama	PA	Panama			9	-80	Americas	Central America	2020-03-27	66	18	16	9			-6	-8	-4	674	9	2	663	17.308	0.231	0.051	17.026		1.335	0.297	98.368	116	1		115	20.789	12.5		20.985	2.979	0.026		2.953	65.611	17.857		67.967	75420	3894082	5.1	30.1
