dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	5ed3823c1e24	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-01-30	9	1					-64	-62	-66	1			1	0.001			0.001				100	1			1					0.001			0.001	0.288			0.304	300000	109180815	6	24.1
jhu/series	b3bdc16d3860	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-02-02	12	4					-61	-59	-63	2	1		1	0.002	0.001		0.001		50		50	1	1			100				0.001	0.001			0.288	6.41			300000	109180815	6	24.1
jhu/series	94a43c3396e9	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-02-07	17	9					-56	-54	-58	3	1		2	0.003	0.001		0.002		33.333		66.667	1			1	50			100	0.001			0.001	0.288			0.304	300000	109180815	6	24.1
jhu/series	83b9ffe798a7	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-02-12	22	14					-51	-49	-53	3	1	1	1	0.003	0.001	0.001	0.001		33.333	33.333	33.333			1	-1				-50			0.001	-0.001			9.091	-0.304	300000	109180815	6	24.1
jhu/series	666fdc575107	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-06	45	37					-28	-26	-30	5	1	1	3	0.005	0.001	0.001	0.003		20	20	60	2			2	66.667			200	0.002			0.002	0.576			0.608	300000	109180815	6	24.1
jhu/series	6a00b35a119d	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-07	46	38					-27	-25	-29	6	1	1	4	0.005	0.001	0.001	0.004		16.667	16.667	66.667	1			1	20			33.333	0.001			0.001	0.288			0.304	300000	109180815	6	24.1
jhu/series	6dbededf1c3c	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-08	47	39	1				-26	-24	-28	10	1	1	8	0.009	0.001	0.001	0.007		10	10	80	4			4	66.667			100	0.004			0.004	1.152			1.215	300000	109180815	6	24.1
jhu/series	b68792c63afd	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-09	48	40	2				-25	-23	-27	20	1	1	18	0.018	0.001	0.001	0.016		5	5	90	10			10	100			125	0.009			0.009	2.88			3.038	300000	109180815	6	24.1
jhu/series	74823a71fde6	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-10	49	41	3				-24	-22	-26	33	1	2	30	0.03	0.001	0.002	0.027		3.03	6.061	90.909	13		1	12	65		100	66.667	0.012		0.001	0.011	3.744		9.091	3.645	300000	109180815	6	24.1
jhu/series	e56501b5781e	d1dd82ea9e09	total-country	Philippines	PH	Philippines			13	122	Asia	South-Eastern Asia	2020-03-11	50	42	4				-23	-21	-25	49	1	2	46	0.045	0.001	0.002	0.042		2.041	4.082	93.878	16			16	48.485			53.333	0.015			0.015	4.608			4.86	300000	109180815	6	24.1
