dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	570e415e4c8e	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-04	43	1					-31	-32	-31	1			1	0.002612171543917461			0.002612171543917461				100	1			1					0.2587991718426501			0.28702640642939153	312685	38282325	10.6	41.9
jhu/series	d4591086c651	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-06	45	3					-29	-30	-29	5			5	0.013060857719587303			0.013060857719587303				100	4			4	400			400	1.0351966873706004			1.1481056257175661	312685	38282325	10.6	41.9
jhu/series	0734eea60542	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-08	47	5	1				-27	-28	-27	11			11	0.028733886983092066			0.028733886983092066				100	6			6	120			120	1.5527950310559007			1.7221584385763493	312685	38282325	10.6	41.9
jhu/series	7e6f21c36cba	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-09	48	6	2				-26	-27	-26	16			16	0.041794744702679375			0.041794744702679375				100	5			5	45.45454545454545			45.45454545454545	1.2939958592132506			1.4351320321469576	312685	38282325	10.6	41.9
jhu/series	23af26227784	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-10	49	7	3				-25	-26	-25	22			22	0.05746777396618413			0.05746777396618413				100	6			6	37.5			37.5	1.5527950310559007			1.7221584385763493	312685	38282325	10.6	41.9
jhu/series	7c55e8962c03	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-11	50	8	4				-24	-25	-24	31			31	0.08097731786144129			0.08097731786144129				100	9			9	40.90909090909091			40.90909090909091	2.329192546583851			2.5832376578645238	312685	38282325	10.6	41.9
jhu/series	7e7466ccf670	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-12	51	9	5				-23	-24	-23	49	1		48	0.12799640565195558	0.002612171543917461		0.12538423410803812		2.0408163265306123		97.95918367346938	18	1		17	58.064516129032256			54.83870967741935	4.658385093167702	6.4102564102564115		4.879448909299656	312685	38282325	10.6	41.9
jhu/series	155a907cddfb	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-13	52	10	6				-22	-23	-22	68	2		66	0.17762766498638732	0.005224343087834922		0.17240332189855243		2.941176470588235		97.05882352941177	19	1		18	38.775510204081634	100		37.5	4.917184265010352	6.4102564102564115		5.1664753157290475	312685	38282325	10.6	41.9
jhu/series	6ab15168055a	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-14	53	11	7	1			-21	-22	-21	103	3		100	0.2690536690234985	0.007836514631752382		0.2612171543917461		2.912621359223301		97.0873786407767	35	1		34	51.470588235294116	50		51.515151515151516	9.057971014492754	6.4102564102564115		9.758897818599312	312685	38282325	10.6	41.9
jhu/series	c91aa7e181f6	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-15	54	12	8	2			-20	-21	-20	119	3		116	0.31084841372617783	0.007836514631752382		0.30301189909442544		2.5210084033613445		97.47899159663865	16			16	15.533980582524272			16	4.140786749482402			4.5924225028702645	312685	38282325	10.6	41.9
jhu/series	d6cf7c58bd53	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-16	55	13	9	3			-19	-20	-19	177	4	13	160	0.4623543632733906	0.010448686175669844	0.033958230070926985	0.4179474470267937		2.2598870056497176	7.344632768361582	90.3954802259887	58	1	13	44	48.739495798319325	33.333333333333336		37.93103448275862	15.010351966873706	6.4102564102564115	44.52054794520548	12.629161882893229	312685	38282325	10.6	41.9
jhu/series	fd5daf2ce7a5	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-17	56	14	10	4			-18	-19	-18	238	5	13	220	0.6216968274523557	0.013060857719587303	0.033958230070926985	0.5746777396618414		2.100840336134454	5.46218487394958	92.43697478991596	61	1		60	34.463276836158194	25		37.5	15.786749482401657	6.4102564102564115		17.221584385763492	312685	38282325	10.6	41.9
jhu/series	a8f8cd10cde3	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-18	57	15	11	5			-17	-18	-17	251	5	13	233	0.6556550575232826	0.013060857719587303	0.033958230070926985	0.6086359697327683		1.9920318725099602	5.179282868525896	92.82868525896414	13			13	5.46218487394958			5.909090909090909	3.3643892339544514			3.73134328358209	312685	38282325	10.6	41.9
jhu/series	8e079eebafd1	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-19	58	16	12	6			-16	-17	-16	355	5	1	349	0.9273208980906986	0.013060857719587303	0.002612171543917461	0.9116478688271938		1.4084507042253522	0.28169014084507044	98.30985915492958	104		-12	116	41.43426294820717		-92.3076923076923	49.78540772532189	26.91511387163561		-41.09589041095891	33.295063145809415	312685	38282325	10.6	41.9
jhu/series	3ac4e6c00630	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-20	59	17	13	7			-15	-16	-15	425	5	1	419	1.1101729061649208	0.013060857719587303	0.002612171543917461	1.094499876901416		1.1764705882352942	0.2352941176470588	98.58823529411764	70			70	19.718309859154928			20.05730659025788	18.115942028985508			20.091848450057405	312685	38282325	10.6	41.9
jhu/series	803cbef5e2f6	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-21	60	18	14	8			-14	-15	-14	536	5	1	530	1.4001239475397589	0.013060857719587303	0.002612171543917461	1.3844509182762543		0.9328358208955223	0.18656716417910446	98.88059701492537	111			111	26.11764705882353			26.49164677804296	28.726708074534162			31.85993111366246	312685	38282325	10.6	41.9
jhu/series	d1e40776f540	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-22	61	19	15	9			-13	-14	-13	634	7	1	626	1.65611675884367	0.018285200807422224	0.002612171543917461	1.6352193864923303		1.1041009463722398	0.15772870662460567	98.73817034700315	98	2		96	18.28358208955224	40		18.11320754716981	25.36231884057971	12.820512820512823		27.55453501722159	312685	38282325	10.6	41.9
jhu/series	a3cb5003ac18	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-23	62	20	16	10			-12	-13	-12	749	8	1	740	1.9565164863941782	0.020897372351339687	0.002612171543917461	1.933006942498921		1.0680907877169559	0.13351134846461948	98.79839786381842	115	1		114	18.138801261829652	14.285714285714286		18.210862619808307	29.761904761904763	6.4102564102564115		32.721010332950634	312685	38282325	10.6	41.9
jhu/series	22beb6cf30db	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-24	63	21	17	11			-11	-12	-11	901	10	1	890	2.353566561069632	0.026121715439174607	0.002612171543917461	2.32483267408654		1.1098779134295227	0.11098779134295228	98.77913429522752	152	2		150	20.293724966622165	25		20.27027027027027	39.33747412008282	12.820512820512823		43.05396096440873	312685	38282325	10.6	41.9
jhu/series	9cea7d047e99	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-25	64	22	18	12	1		-10	-11	-10	1051	14	7	1030	2.745392292657251	0.03657040161484445	0.018285200807422224	2.6905366902349845		1.3320647002854424	0.6660323501427212	98.00190294957184	150	4	6	140	16.64816870144284	40	600	15.730337078651685	38.81987577639752	25.641025641025646	20.547945205479454	40.18369690011481	312685	38282325	10.6	41.9
jhu/series	bf09a71f1a88	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-26	65	23	19	13	2		-9	-10	-9	1221	16	7	1198	3.189461455123219	0.041794744702679375	0.018285200807422224	3.1293815096131183		1.3104013104013106	0.5733005733005733	98.11629811629811	170	2		168	16.175071360608943	14.285714285714286		16.310679611650485	43.99585921325052	12.820512820512823		48.220436280137775	312685	38282325	10.6	41.9
jhu/series	ed5b5c18f1b8	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-27	66	24	20	14	3		-8	-9	-8	1389	16	7	1366	3.6283062745013526	0.041794744702679375	0.018285200807422224	3.5682263289912517		1.1519078473722102	0.5039596832253419	98.34413246940244	168			168	13.75921375921376			14.023372287145243	43.47826086956522			48.220436280137775	312685	38282325	10.6	41.9
jhu/series	dadf86136d35	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-28	67	25	21	15	4		-7	-8	-7	1638	18	7	1613	4.278736988936801	0.047019087790514294	0.018285200807422224	4.213432700338864		1.098901098901099	0.4273504273504274	98.47374847374849	249	2		247	17.92656587473002	12.5		18.08199121522694	64.44099378881988	12.820512820512823		70.8955223880597	312685	38282325	10.6	41.9
jhu/series	eb8d0899588a	0eea7550e78b	total-country	Poland	PL	Poland			52	20	Europe	Eastern Europe	2020-03-29	68	26	22	16	5		-6	-7	-6	1862	22	7	1833	4.863863414774312	0.05746777396618413	0.018285200807422224	4.788110440000706		1.1815252416756177	0.37593984962406013	98.44253490870032	224	4		220	13.675213675213675	22.22222222222222		13.639181649101054	57.971014492753625	25.641025641025646		63.145809414466136	312685	38282325	10.6	41.9
