dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	d608f7ec1e6c	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-02	41	1					-32	-30	-35	2			2	0.01941243603359671			0.01941243603359671				100	2			2					0.23986567522187577			0.2485089463220676	92090	10302674	10.8	44.6
jhu/series	0043f51d1f3e	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-04	43	3					-30	-28	-33	5			5	0.048531090083991785			0.048531090083991785				100	3			3	150			150	0.35979851283281367			0.37276341948310143	92090	10302674	10.8	44.6
jhu/series	97cbe297eff8	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-05	44	4					-29	-27	-32	8			8	0.07764974413438684			0.07764974413438684				100	3			3	60			60	0.35979851283281367			0.37276341948310143	92090	10302674	10.8	44.6
jhu/series	4f712c350a5e	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-06	45	5	1				-28	-26	-31	13			13	0.12618083421837864			0.12618083421837864				100	5			5	62.5			62.5	0.5996641880546894			0.621272365805169	92090	10302674	10.8	44.6
jhu/series	721228db67e6	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-07	46	6	2				-27	-25	-30	20			20	0.19412436033596714			0.19412436033596714				100	7			7	53.84615384615385			53.84615384615385	0.8395298632765651			0.8697813121272366	92090	10302674	10.8	44.6
jhu/series	f4f53e181749	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-08	47	7	3				-26	-24	-29	30			30	0.2911865405039507			0.2911865405039507				100	10			10	50			50	1.1993283761093787			1.242544731610338	92090	10302674	10.8	44.6
jhu/series	44ff1311e4d1	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-10	49	9	5				-24	-22	-27	41			41	0.39795493868873266			0.39795493868873266				100	11			11	36.666666666666664			36.666666666666664	1.3192612137203166			1.366799204771372	92090	10302674	10.8	44.6
jhu/series	0135e88b86ee	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-11	50	10	6				-23	-21	-26	59			59	0.572666862991103			0.572666862991103				100	18			18	43.90243902439025			43.90243902439025	2.158791076996882			2.2365805168986084	92090	10302674	10.8	44.6
jhu/series	c1dc173c9e75	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-13	52	12	8	1			-21	-19	-24	112		1	111	1.087096417881416		0.009706218016798355	1.0773901998646176			0.8928571428571428	99.10714285714286	53		1	52	89.83050847457628			88.13559322033899	6.356440393379708		4.201680672268907	6.461232604373758	92090	10302674	10.8	44.6
jhu/series	1093afec65fa	47e87886f27c	total-country	Portugal	PT	Portugal			39.5	-8	Europe	Southern Europe	2020-03-14	53	13	9	2			-20	-18	-23	169		2	167	1.6403508448389221		0.01941243603359671	1.6209384088053256			1.183431952662722	98.81656804733728	57		1	56	50.892857142857146		100	50.450450450450454	6.836171743823459		4.201680672268907	6.958250497017893	92090	10302674	10.8	44.6
