dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	444c781e29df	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-02-26	36	1					-39	-38	-41	1			1	0.005			0.005				100	1			1					0.005			0.005	0.245			0.303	238391	21302893	12	42.5
jhu/series	6e4f69fc8204	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-02-28	38	3					-37	-36	-39	3			3	0.014			0.014				100	2			2	200			200	0.009			0.009	0.49			0.606	238391	21302893	12	42.5
jhu/series	60adc8677933	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-04	43	8					-32	-31	-34	4		1	3	0.019		0.005	0.014			25	75	1		1		33.333				0.005		0.005		0.245		1.37		238391	21302893	12	42.5
jhu/series	a902aaab8254	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-05	44	9					-31	-30	-33	6		1	5	0.028		0.005	0.023			16.667	83.333	2			2	50			66.667	0.009			0.009	0.49			0.606	238391	21302893	12	42.5
jhu/series	5bd41d00c2c9	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-06	45	10					-30	-29	-32	9		1	8	0.042		0.005	0.038			11.111	88.889	3			3	50			60	0.014			0.014	0.736			0.909	238391	21302893	12	42.5
jhu/series	ba78ddd9a449	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-07	46	11					-29	-28	-31	9		3	6	0.042		0.014	0.028			33.333	66.667			2	-2			200	-25			0.009	-0.009			2.74	-0.606	238391	21302893	12	42.5
jhu/series	21a5124670a4	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-08	47	12	1				-28	-27	-30	15		3	12	0.07		0.014	0.056			20	80	6			6	66.667			100	0.028			0.028	1.471			1.817	238391	21302893	12	42.5
jhu/series	40404816edc7	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-10	49	14	3				-26	-25	-28	25		3	22	0.117		0.014	0.103			12	88	10			10	66.667			83.333	0.047			0.047	2.452			3.028	238391	21302893	12	42.5
jhu/series	3b6c28e26406	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-11	50	15	4				-25	-24	-27	45		6	39	0.211		0.028	0.183			13.333	86.667	20		3	17	80		100	77.273	0.094		0.014	0.08	4.904		4.11	5.148	238391	21302893	12	42.5
jhu/series	acc94241a179	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-12	51	16	5				-24	-23	-26	49		6	43	0.23		0.028	0.202			12.245	87.755	4			4	8.889			10.256	0.019			0.019	0.981			1.211	238391	21302893	12	42.5
jhu/series	31ac9c678af5	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-13	52	17	6				-23	-22	-25	89		7	82	0.418		0.033	0.385			7.865	92.135	40		1	39	81.633		16.667	90.698	0.188		0.005	0.183	9.809		1.37	11.811	238391	21302893	12	42.5
jhu/series	45a157543705	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-14	53	18	7	1			-22	-21	-24	123		9	114	0.577		0.042	0.535			7.317	92.683	34		2	32	38.202		28.571	39.024	0.16		0.009	0.15	8.337		2.74	9.691	238391	21302893	12	42.5
jhu/series	1e7aebeb5a2b	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-15	54	19	8	2			-21	-20	-23	131		9	122	0.615		0.042	0.573			6.87	93.13	8			8	6.504			7.018	0.038			0.038	1.962			2.423	238391	21302893	12	42.5
jhu/series	65c4169fa068	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-16	55	20	9	3			-20	-19	-22	158		9	149	0.742		0.042	0.699			5.696	94.304	27			27	20.611			22.131	0.127			0.127	6.621			8.177	238391	21302893	12	42.5
jhu/series	89d7a4580339	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-17	56	21	10	4			-19	-18	-21	184		16	168	0.864		0.075	0.789			8.696	91.304	26		7	19	16.456		77.778	12.752	0.122		0.033	0.089	6.376		9.589	5.754	238391	21302893	12	42.5
jhu/series	ff37534fc880	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-18	57	22	11	5			-18	-17	-20	260		19	241	1.22		0.089	1.131			7.308	92.692	76		3	73	41.304		18.75	43.452	0.357		0.014	0.343	18.637		4.11	22.108	238391	21302893	12	42.5
jhu/series	544ffe19b076	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-19	58	23	12	6			-17	-16	-19	277		25	252	1.3		0.117	1.183			9.025	90.975	17		6	11	6.538		31.579	4.564	0.08		0.028	0.052	4.169		8.219	3.331	238391	21302893	12	42.5
jhu/series	61ee3f0d9812	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-20	59	24	13	7			-16	-15	-18	308		25	283	1.446		0.117	1.328			8.117	91.883	31			31	11.191			12.302	0.146			0.146	7.602			9.388	238391	21302893	12	42.5
jhu/series	d484519a46c9	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-21	60	25	14	8			-15	-14	-17	367		52	315	1.723		0.244	1.479			14.169	85.831	59		27	32	19.156		108	11.307	0.277		0.127	0.15	14.468		36.986	9.691	238391	21302893	12	42.5
jhu/series	c314b5ab2e90	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-22	61	26	15	9			-14	-13	-16	433	3	64	366	2.033	0.014	0.3	1.718		0.693	14.781	84.527	66	3	12	51	17.984		23.077	16.19	0.31	0.014	0.056	0.239	16.184	12.712	16.438	15.445	238391	21302893	12	42.5
jhu/series	776d91f3c66c	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-23	62	27	16	10			-13	-12	-15	576	7	64	505	2.704	0.033	0.3	2.371		1.215	11.111	87.674	143	4		139	33.025	133.333		37.978	0.671	0.019		0.652	35.066	16.949		42.096	238391	21302893	12	42.5
jhu/series	689246ef4a78	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-24	63	28	17	11			-12	-11	-14	794	11	79	704	3.727	0.052	0.371	3.305		1.385	9.95	88.665	218	4	15	199	37.847	57.143	23.438	39.406	1.023	0.019	0.07	0.934	53.458	16.949	20.548	60.267	238391	21302893	12	42.5
jhu/series	efdd76974192	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-25	64	29	18	12			-11	-10	-13	906	17	86	803	4.253	0.08	0.404	3.769		1.876	9.492	88.631	112	6	7	99	14.106	54.545	8.861	14.063	0.526	0.028	0.033	0.465	27.464	25.424	9.589	29.982	238391	21302893	12	42.5
jhu/series	66e852a40cfb	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-26	65	30	19	13	1		-10	-9	-12	1029	23	94	912	4.83	0.108	0.441	4.281		2.235	9.135	88.63	123	6	8	109	13.576	35.294	9.302	13.574	0.577	0.028	0.038	0.512	30.162	25.424	10.959	33.01	238391	21302893	12	42.5
jhu/series	558ba6f93bb7	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-27	66	31	20	14	2		-9	-8	-11	1292	26	115	1151	6.065	0.122	0.54	5.403		2.012	8.901	89.087	263	3	21	239	25.559	13.043	22.34	26.206	1.235	0.014	0.099	1.122	64.492	12.712	28.767	72.38	238391	21302893	12	42.5
jhu/series	09f173ed7fac	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-28	67	32	21	15	3		-8	-7	-10	1452	37	139	1276	6.816	0.174	0.652	5.99		2.548	9.573	87.879	160	11	24	125	12.384	42.308	20.87	10.86	0.751	0.052	0.113	0.587	39.235	46.61	32.877	37.856	238391	21302893	12	42.5
jhu/series	ffc96bc4c8cd	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-29	68	33	22	16	4		-7	-6	-9	1815	43	206	1566	8.52	0.202	0.967	7.351		2.369	11.35	86.281	363	6	67	290	25	16.216	48.201	22.727	1.704	0.028	0.315	1.361	89.014	25.424	91.781	87.826	238391	21302893	12	42.5
jhu/series	250c1508d5c7	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-30	69	34	23	17	5		-6	-5	-8	2109	65	209	1835	9.9	0.305	0.981	8.614		3.082	9.91	87.008	294	22	3	269	16.198	51.163	1.456	17.178	1.38	0.103	0.014	1.263	72.094	93.22	4.11	81.466	238391	21302893	12	42.5
jhu/series	4cf1f35f8db5	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-03-31	70	35	24	18	6		-5	-4	-7	2245	82	220	1943	10.538	0.385	1.033	9.121		3.653	9.8	86.548	136	17	11	108	6.449	26.154	5.263	5.886	0.638	0.08	0.052	0.507	33.35	72.034	15.068	32.707	238391	21302893	12	42.5
jhu/series	925c469491ae	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-04-01	71	36	25	19	7		-4	-3	-6	2460	92	252	2116	11.548	0.432	1.183	9.933		3.74	10.244	86.016	215	10	32	173	9.577	12.195	14.545	8.904	1.009	0.047	0.15	0.812	52.722	42.373	43.836	52.392	238391	21302893	12	42.5
jhu/series	c9e88c75ade1	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-04-02	72	37	26	20	8		-3	-2	-5	2738	115	267	2356	12.853	0.54	1.253	11.06		4.2	9.752	86.048	278	23	15	240	11.301	25	5.952	11.342	1.305	0.108	0.07	1.127	68.171	97.458	20.548	72.683	238391	21302893	12	42.5
jhu/series	d69cf20bbf8d	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-04-03	73	38	27	21	9		-2	-1	-4	3183	133	283	2767	14.942	0.624	1.328	12.989		4.178	8.891	86.931	445	18	16	411	16.253	15.652	5.993	17.445	2.089	0.084	0.075	1.929	109.122	76.271	21.918	124.47	238391	21302893	12	42.5
jhu/series	faa69d7be167	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-04-04	74	39	28	22	10		-1	0	-3	3613	146	329	3138	16.96	0.685	1.544	14.73		4.041	9.106	86.853	430	13	46	371	13.509	9.774	16.254	13.408	2.019	0.061	0.216	1.742	105.444	55.085	63.014	112.356	238391	21302893	12	42.5
jhu/series	627a97f6520f	350506fd20ab	total-country	Romania	RO	Romania			46	25	Europe	Eastern Europe	2020-04-05	75	40	29	23	11		-0	1	-2	3864	151	374	3339	18.138	0.709	1.756	15.674		3.908	9.679	86.413	251	5	45	201	6.947	3.425	13.678	6.405	1.178	0.023	0.211	0.944	61.55	21.186	61.644	60.872	238391	21302893	12	42.5
