dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	1058a751990f	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-02	41	1					-31	-30	-33	1			1	0.0029262441907468763			0.0029262441907468763				100	1			1					0.5434782608695652			0.7496251874062968	2149690	34173498	3.4	30.8
jhu/series	c290341b78d4	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-05	44	4					-28	-27	-30	5			5	0.014631220953734383			0.014631220953734383				100	4			4	400			400	2.1739130434782608			2.998500749625187	2149690	34173498	3.4	30.8
jhu/series	5eb3a4bc59a8	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-08	47	7	1				-25	-24	-27	11			11	0.03218868609821564			0.03218868609821564				100	6			6	120			120	3.260869565217391			4.497751124437781	2149690	34173498	3.4	30.8
jhu/series	2f120456b1a6	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-09	48	8	2				-24	-23	-26	15			15	0.04389366286120315			0.04389366286120315				100	4			4	36.36363636363637			36.36363636363637	2.1739130434782608			2.998500749625187	2149690	34173498	3.4	30.8
jhu/series	044c3782257a	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-10	49	9	3				-23	-22	-25	20		1	19	0.058524883814937534		0.0029262441907468763	0.055598639624190656			5	95	5		1	4	33.333333333333336			26.666666666666668	2.717391304347826		1.5243902439024393	2.998500749625187	2149690	34173498	3.4	30.8
jhu/series	356774975054	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-11	50	10	4				-22	-21	-24	21		1	20	0.061451128005684405		0.0029262441907468763	0.058524883814937534			4.761904761904762	95.23809523809523	1			1	5			5.2631578947368425	0.5434782608695652			0.7496251874062968	2149690	34173498	3.4	30.8
jhu/series	d3e00d0e351c	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-12	51	11	5				-21	-20	-23	45		1	44	0.13168098858360944		0.0029262441907468763	0.12875474439286255			2.2222222222222223	97.77777777777777	24			24	114.28571428571429			120	13.043478260869565			17.991004497751124	2149690	34173498	3.4	30.8
jhu/series	4e57a583e407	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-13	52	12	6				-20	-19	-22	86		1	85	0.2516570004042314		0.0029262441907468763	0.2487307562134845			1.1627906976744187	98.83720930232558	41			41	91.11111111111111			93.18181818181819	22.282608695652172			30.73463268365817	2149690	34173498	3.4	30.8
jhu/series	74834e81b9d2	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-14	53	13	7	1			-19	-18	-21	103		1	102	0.30140315164692827		0.0029262441907468763	0.29847690745618144			0.9708737864077669	99.02912621359224	17			17	19.767441860465116			20	9.239130434782608			12.743628185907047	2149690	34173498	3.4	30.8
jhu/series	8ca0a9f3de77	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-16	55	15	9	3			-17	-16	-19	118		2	116	0.34529681450813143		0.005852488381493753	0.33944432612663766			1.694915254237288	98.30508474576271	15		1	14	14.563106796116505		100	13.72549019607843	8.152173913043478		1.5243902439024393	10.494752623688155	2149690	34173498	3.4	30.8
jhu/series	38016ff886d8	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-17	56	16	10	4			-16	-15	-18	171		6	165	0.5003877566177158		0.01755746514448126	0.4828302914732346			3.508771929824561	96.49122807017544	53		4	49	44.91525423728814		200	42.241379310344826	28.804347826086957		6.097560975609757	36.73163418290854	2149690	34173498	3.4	30.8
jhu/series	fcc23cda0096	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-19	58	18	12	6			-14	-13	-16	274		6	268	0.8017909082646442		0.01755746514448126	0.784233443120163			2.18978102189781	97.8102189781022	103			103	60.23391812865497			62.42424242424242	55.97826086956522			77.21139430284857	2149690	34173498	3.4	30.8
jhu/series	9264aaf17649	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-20	59	19	13	7			-13	-12	-15	344		8	336	1.0066280016169256		0.02340995352597501	0.9832180480909505			2.3255813953488373	97.67441860465115	70		2	68	25.547445255474454		33.333333333333336	25.37313432835821	38.04347826086957		3.0487804878048785	50.97451274362819	2149690	34173498	3.4	30.8
jhu/series	48e6d5c1dee1	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-21	60	20	14	8			-12	-11	-14	392		16	376	1.1470877227727756		0.04681990705195002	1.1002678157208254			4.081632653061225	95.91836734693877	48		8	40	13.953488372093023		100	11.904761904761905	26.08695652173913		12.195121951219514	29.985007496251875	2149690	34173498	3.4	30.8
jhu/series	9834304c7a02	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-22	61	21	15	9			-11	-10	-13	511		16	495	1.495310781471654		0.04681990705195002	1.4484908744197038			3.131115459882583	96.86888454011742	119			119	30.357142857142858			31.648936170212767	64.67391304347827			89.20539730134932	2149690	34173498	3.4	30.8
jhu/series	3189aba581f3	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-23	62	22	16	10			-10	-9	-12	562		16	546	1.6445492351997444		0.04681990705195002	1.5977293281477944			2.8469750889679712	97.15302491103202	51			51	9.980430528375734			10.303030303030303	27.717391304347828			38.23088455772114	2149690	34173498	3.4	30.8
jhu/series	2541ebecdefe	e59bb6341821	total-country	Saudi Arabia	SA	Saudi Arabia			25	45	Asia	Western Asia	2020-03-24	63	23	17	11			-9	-8	-11	767	1	28	738	2.2444292943028543	0.0029262441907468763	0.08193483734091253	2.1595682127711946		0.1303780964797914	3.650586701434159	96.21903520208605	205	1	12	192	36.47686832740214		75	35.16483516483517	111.41304347826086	22.727272727272727	18.292682926829272	143.928035982009	2149690	34173498	3.4	30.8
