dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	38a5c2ba232a	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-11	50	1					-25	-26	-25	1			1	0.001			0.001				100	1			1					0.029			0.032	783562	82017514	6.1	32.2
jhu/series	3956130a7ac7	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-13	52	3					-23	-24	-23	5			5	0.006			0.006				100	4			4	400			400	0.116			0.129	783562	82017514	6.1	32.2
jhu/series	75aea0ca65af	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-15	54	5					-21	-22	-21	6			6	0.007			0.007				100	1			1	20			20	0.029			0.032	783562	82017514	6.1	32.2
jhu/series	14eb49e2eaad	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-16	55	6	1				-20	-21	-20	18			18	0.022			0.022				100	12			12	200			200	0.348			0.388	783562	82017514	6.1	32.2
jhu/series	7ba336ff9c41	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-17	56	7	2				-19	-20	-19	47	1		46	0.057	0.001		0.056		2.128		97.872	29	1		28	161.111			155.556	0.841	1.272		0.905	783562	82017514	6.1	32.2
jhu/series	3b3155b350c8	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-18	57	8	3				-18	-19	-18	98	1		97	0.119	0.001		0.118		1.02		98.98	51			51	108.511			110.87	1.479			1.649	783562	82017514	6.1	32.2
jhu/series	c1e728b6a8e2	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-19	58	9	4	1			-17	-18	-17	192	3		189	0.234	0.004		0.23		1.563		98.438	94	2		92	95.918	200		94.845	2.726	2.545		2.974	783562	82017514	6.1	32.2
jhu/series	8997e68462a1	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-20	59	10	5	2			-16	-17	-16	359	4		355	0.438	0.005		0.433		1.114		98.886	167	1		166	86.979	33.333		87.831	4.842	1.272		5.366	783562	82017514	6.1	32.2
jhu/series	a543a1148edd	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-21	60	11	6	3			-15	-16	-15	670	9		661	0.817	0.011		0.806		1.343		98.657	311	5		306	86.63	125		86.197	9.018	6.361		9.892	783562	82017514	6.1	32.2
jhu/series	b91f94c6a424	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-22	61	12	7	4	1		-14	-15	-14	1236	30		1206	1.507	0.037		1.47		2.427		97.573	566	21		545	84.478	233.333		82.451	16.412	26.718		17.618	783562	82017514	6.1	32.2
jhu/series	3cda0ce6da17	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-23	62	13	8	5	2		-13	-14	-13	1529	37		1492	1.864	0.045		1.819		2.42		97.58	293	7		286	23.706	23.333		23.715	8.496	8.906		9.245	783562	82017514	6.1	32.2
jhu/series	aa0f45a3c8c3	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-24	63	14	9	6	3		-12	-13	-12	1872	44		1828	2.282	0.054		2.229		2.35		97.65	343	7		336	22.433	18.919		22.52	9.945	8.906		10.862	783562	82017514	6.1	32.2
jhu/series	7083a0c97879	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-25	64	15	10	7	4		-11	-12	-11	2433	59	26	2348	2.966	0.072	0.032	2.863		2.425	1.069	96.506	561	15	26	520	29.968	34.091		28.446	16.267	19.084	9.587	16.81	783562	82017514	6.1	32.2
jhu/series	66aef62b606d	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-26	65	16	11	8	5		-10	-11	-10	3629	75	26	3528	4.425	0.091	0.032	4.302		2.067	0.716	97.217	1196	16		1180	49.157	27.119		50.256	34.679	20.356		38.146	783562	82017514	6.1	32.2
jhu/series	07e690a23c8a	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-27	66	17	12	9	6		-9	-10	-9	5698	92	42	5564	6.947	0.112	0.051	6.784		1.615	0.737	97.648	2069	17	16	2036	57.013	22.667	61.538	57.71	59.992	21.628	5.9	65.818	783562	82017514	6.1	32.2
jhu/series	f4f1c709e6c5	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-28	67	18	13	10	7		-8	-9	-8	7402	108	70	7224	9.025	0.132	0.085	8.808		1.459	0.946	97.595	1704	16	28	1660	29.905	17.391	66.667	29.835	49.408	20.356	10.324	53.663	783562	82017514	6.1	32.2
jhu/series	b6b1bbbcbdb0	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-29	68	19	14	11	8		-7	-8	-7	9217	131	105	8981	11.238	0.16	0.128	10.95		1.421	1.139	97.44	1815	23	35	1757	24.52	21.296	50	24.322	52.627	29.262	12.906	56.798	783562	82017514	6.1	32.2
jhu/series	1d5fb81ff135	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-30	69	20	15	12	9	1	-6	-7	-6	10827	168	162	10497	13.201	0.205	0.198	12.798		1.552	1.496	96.952	1610	37	57	1516	17.468	28.244	54.286	16.88	46.683	47.074	21.018	49.008	783562	82017514	6.1	32.2
jhu/series	03654bcb0049	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-03-31	70	21	16	13	10	2	-5	-6	-5	13531	214	243	13074	16.498	0.261	0.296	15.94		1.582	1.796	96.623	2704	46	81	2577	24.975	27.381	50	24.55	78.404	58.524	29.867	83.306	783562	82017514	6.1	32.2
jhu/series	843d76258194	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-04-01	71	22	17	14	11	3	-4	-5	-4	15679	277	333	15069	19.117	0.338	0.406	18.373		1.767	2.124	96.109	2148	63	90	1995	15.875	29.439	37.037	15.259	62.283	80.153	33.186	64.492	783562	82017514	6.1	32.2
jhu/series	db31c6b74469	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-04-02	72	23	18	15	12	4	-3	-4	-3	18135	356	415	17364	22.111	0.434	0.506	21.171		1.963	2.288	95.749	2456	79	82	2295	15.664	28.52	24.625	15.23	71.213	100.509	30.236	74.19	783562	82017514	6.1	32.2
jhu/series	86278dbd1b57	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-04-03	73	24	19	16	13	5	-2	-3	-2	20921	425	484	20012	25.508	0.518	0.59	24.4		2.031	2.313	95.655	2786	69	69	2648	15.363	19.382	16.627	15.25	80.782	87.786	25.442	85.602	783562	82017514	6.1	32.2
jhu/series	49f8a82c87fa	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-04-04	74	25	20	17	14	6	-1	-2	-1	23934	501	786	22647	29.182	0.611	0.958	27.612		2.093	3.284	94.623	3013	76	302	2635	14.402	17.882	62.397	13.167	87.364	96.692	111.357	85.181	783562	82017514	6.1	32.2
jhu/series	09375cf4b07c	977114ea92da	total-country	Turkey	TR	Turkey			39	35	Asia	Western Asia	2020-04-05	75	26	21	18	15	7	-0	-1	0	27069	574	1042	25453	33.004	0.7	1.27	31.034		2.121	3.849	94.03	3135	73	256	2806	13.099	14.571	32.57	12.39	90.901	92.875	94.395	90.709	783562	82017514	6.1	32.2
