dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	cd5ed9af6c03	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-14	53	1					-16	-14	-18	2			2	0.16545484778567643			0.16545484778567643				100	2			2					34.48275862068966			34.48275862068966	5128	1208789	9.1	37.8
jhu/series	ba37bdc07e69	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-16	55	3					-14	-12	-16	4			4	0.33090969557135286			0.33090969557135286				100	2			2	100			100	34.48275862068966			34.48275862068966	5128	1208789	9.1	37.8
jhu/series	1c98622c2af2	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-17	56	4					-13	-11	-15	5			5	0.413637119464191			0.413637119464191				100	1			1	25			25	17.24137931034483			17.24137931034483	5128	1208789	9.1	37.8
jhu/series	f2e77af5c802	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-18	57	5					-12	-10	-14	7			7	0.5790919672498674			0.5790919672498674				100	2			2	40			40	34.48275862068966			34.48275862068966	5128	1208789	9.1	37.8
jhu/series	5a30482177a4	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-19	58	6					-11	-9	-13	9			9	0.7445468150355439			0.7445468150355439				100	2			2	28.571428571428573			28.571428571428573	34.48275862068966			34.48275862068966	5128	1208789	9.1	37.8
jhu/series	e4da850e7d4c	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-21	60	8	1				-9	-7	-11	49		1	48	4.053643770749072		0.08272742389283821	3.970916346856234			2.0408163265306123	97.95918367346938	40		1	39	444.44444444444446			433.3333333333333	689.6551724137931		100	672.4137931034483	5128	1208789	9.1	37.8
jhu/series	4b45fcd31918	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-22	61	9	2				-8	-6	-10	50		1	49	4.13637119464191		0.08272742389283821	4.053643770749072			2	98	1			1	2.0408163265306123			2.0833333333333335	17.24137931034483			17.24137931034483	5128	1208789	9.1	37.8
jhu/series	ecb8b773d5d5	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-23	62	10	3				-7	-5	-9	51		1	50	4.2190986185347485		0.08272742389283821	4.13637119464191			1.9607843137254901	98.0392156862745	1			1	2			2.0408163265306123	17.24137931034483			17.24137931034483	5128	1208789	9.1	37.8
jhu/series	1d4a76915f8b	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-24	63	11	4				-6	-4	-8	57			57	4.715463161891777			4.715463161891777				100	6		-1	7	11.764705882352942		-100	14	103.44827586206897		-100	120.6896551724138	5128	1208789	9.1	37.8
jhu/series	40d660f5f220	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-25	64	12	5				-5	-3	-7	60	1		59	4.963645433570292	0.08272742389283821		4.880918009677454		1.6666666666666667		98.33333333333333	3	1		2	5.2631578947368425			3.508771929824561	51.724137931034484	100		34.48275862068966	5128	1208789	9.1	37.8
jhu/series	d3ae9006f8a3	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-26	65	13	6				-4	-2	-6	65	1		64	5.377282553034483	0.08272742389283821		5.294555129141646		1.5384615384615385		98.46153846153847	5			5	8.333333333333334			8.474576271186441	86.20689655172414			86.20689655172414	5128	1208789	9.1	37.8
jhu/series	b037888a8dcd	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-27	66	14	7				-3	-1	-5	66	2	1	63	5.460009976927322	0.16545484778567643	0.08272742389283821	5.2118277052488065		3.0303030303030303	1.5151515151515151	95.45454545454545	1	1	1	-1	1.5384615384615385	100		-1.5625	17.24137931034483	100	100	-17.24137931034483	5128	1208789	9.1	37.8
jhu/series	f7399fbe27b2	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-28	67	15	8				-2	0	-4	74	3	1	70	6.121829368070028	0.24818227167851462	0.08272742389283821	5.790919672498674		4.054054054054054	1.3513513513513513	94.5945945945946	8	1		7	12.121212121212121	50		11.11111111111111	137.93103448275863	100		120.6896551724138	5128	1208789	9.1	37.8
jhu/series	d5f7b8a58275	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-29	68	16	9				-1	1	-3	78	3	1	74	6.45273906364138	0.24818227167851462	0.08272742389283821	6.121829368070028		3.8461538461538463	1.282051282051282	94.87179487179486	4			4	5.405405405405405			5.714285714285714	68.96551724137932			68.96551724137932	5128	1208789	9.1	37.8
jhu/series	f578e81b3750	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-30	69	17	10				0	2	-2	82	3	1	78	6.783648759212733	0.24818227167851462	0.08272742389283821	6.45273906364138		3.6585365853658534	1.2195121951219512	95.1219512195122	4			4	5.128205128205129			5.405405405405405	68.96551724137932			68.96551724137932	5128	1208789	9.1	37.8
jhu/series	f5851d29c530	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-03-31	70	18	11				1	3	-1	87	3	1	83	7.197285878676923	0.24818227167851462	0.08272742389283821	6.866376183105571		3.4482758620689653	1.1494252873563218	95.40229885057471	5			5	6.097560975609756			6.410256410256411	86.20689655172414			86.20689655172414	5128	1208789	9.1	37.8
jhu/series	0178830c838a	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-01	71	19	12				2	4	0	90	5	1	84	7.445468150355438	0.413637119464191	0.08272742389283821	6.94910360699841		5.555555555555555	1.1111111111111112	93.33333333333333	3	2		1	3.4482758620689653	66.66666666666667		1.2048192771084338	51.724137931034484	200		17.24137931034483	5128	1208789	9.1	37.8
jhu/series	d8861f0133fa	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-02	72	20	13				3	5	1	94	5	1	88	7.776377845926791	0.413637119464191	0.08272742389283821	7.2800133025697615		5.319148936170213	1.0638297872340425	93.61702127659575	4			4	4.444444444444445			4.761904761904762	68.96551724137932			68.96551724137932	5128	1208789	9.1	37.8
jhu/series	1024fe6497b0	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-03	73	21	14				4	6	2	98	6	1	91	8.107287541498144	0.49636454335702923	0.08272742389283821	7.528195574248277		6.122448979591836	1.0204081632653061	92.85714285714286	4	1		3	4.25531914893617	20		3.409090909090909	68.96551724137932	100		51.724137931034484	5128	1208789	9.1	37.8
jhu/series	9634af1a6197	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-04	74	22	15	1			5	7	3	103	6	1	96	8.520924660962335	0.49636454335702923	0.08272742389283821	7.941832693712468		5.825242718446602	0.9708737864077669	93.20388349514563	5			5	5.1020408163265305			5.4945054945054945	86.20689655172414			86.20689655172414	5128	1208789	9.1	37.8
jhu/series	bd659ebf7adf	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-05	75	23	16	2			6	8	4	104	7	1	96	8.603652084855174	0.5790919672498674	0.08272742389283821	7.941832693712468		6.730769230769231	0.9615384615384616	92.3076923076923	1	1			0.970873786407767	16.666666666666668			17.24137931034483	100			5128	1208789	9.1	37.8
jhu/series	2fbad44762a9	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-06	76	24	17	3			7	9	5	105	8	1	96	8.686379508748011	0.6618193911427057	0.08272742389283821	7.941832693712468		7.6190476190476195	0.9523809523809524	91.42857142857143	1	1			0.9615384615384616	14.285714285714286			17.24137931034483	100			5128	1208789	9.1	37.8
jhu/series	e8a508b14f1a	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-07	77	25	18	4			8	10	6	107	8	1	98	8.851834356533688	0.6618193911427057	0.08272742389283821	8.107287541498144		7.476635514018691	0.9345794392523363	91.58878504672897	2			2	1.9047619047619047			2.0833333333333335	34.48275862068966			34.48275862068966	5128	1208789	9.1	37.8
jhu/series	0307f72b6d3b	baa184084f6e	total-country	Trinidad and Tobago	TT	Trinidad and Tobago			11	-61	Americas	Caribbean	2020-04-09	79	27	20	6			10	12	8	109	8	1	100	9.017289204319365	0.6618193911427057	0.08272742389283821	8.27274238928382		7.339449541284404	0.9174311926605505	91.74311926605505	2			2	1.8691588785046729			2.0408163265306123	34.48275862068966			34.48275862068966	5128	1208789	9.1	37.8
