dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	89eaf3753406	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-22	1	1					-50	-60	-41	1			1	0.004			0.004				100	1			1					0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/series	e8d8b27d9f46	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-24	3	3					-48	-58	-39	3			3	0.013			0.013				100	2			2	200			200	0.008			0.008	9.346			9.524	35980	23603049	7.9	42.3
jhu/series	6b2e5a68b448	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-26	5	5					-46	-56	-37	4			4	0.017			0.017				100	1			1	33.333			33.333	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/series	e01dea97400b	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-27	6	6					-45	-55	-36	5			5	0.021			0.021				100	1			1	25			25	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/series	01938f7e4db8	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-28	7	7					-44	-54	-35	8			8	0.034			0.034				100	3			3	60			60	0.013			0.013	14.019			14.286	35980	23603049	7.9	42.3
jhu/series	22717ee38efe	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-30	9	9					-42	-52	-33	9			9	0.038			0.038				100	1			1	12.5			12.5	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/series	e3348b6dab58	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-01-31	10	10	1				-41	-51	-32	10			10	0.042			0.042				100	1			1	11.111			11.111	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/series	0442c15dff8b	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-02-04	14	14	5				-37	-47	-28	11			11	0.047			0.047				100	1			1	10			10	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/series	62ffd001069d	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-02-06	16	16	7				-35	-45	-26	16		1	15	0.068		0.004	0.064			6.25	93.75	5		1	4	45.455			36.364	0.021		0.004	0.017	23.364		17.857	19.048	35980	23603049	7.9	42.3
jhu/series	022690fe2793	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-02-08	18	18	9				-33	-43	-24	17		1	16	0.072		0.004	0.068			5.882	94.118	1			1	6.25			6.667	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/series	326eb4b1cbce	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-02-09	19	19	10				-32	-42	-23	18		1	17	0.076		0.004	0.072			5.556	94.444	1			1	5.882			6.25	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/series	88277dcdf1b5	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-02-14	24	24	15				-27	-37	-18	18		2	16	0.076		0.008	0.068			11.111	88.889			1	-1			100	-5.882			0.004	-0.004			17.857	-4.762	35980	23603049	7.9	42.3
jhu/series	15c536d0a4e6	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-02-16	26	26	17				-25	-35	-16	20	1	2	17	0.085	0.004	0.008	0.072		5	10	85	2	1		1	11.111			6.25	0.008	0.004		0.004	9.346	100		4.762	35980	23603049	7.9	42.3
jhu/series	e154a82f3e4f	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-02-17	27	27	18				-24	-34	-15	22	1	2	19	0.093	0.004	0.008	0.08		4.545	9.091	86.364	2			2	10			11.765	0.008			0.008	9.346			9.524	35980	23603049	7.9	42.3
jhu/series	46b1ef161889	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-02-19	29	29	20				-22	-32	-13	23	1	2	20	0.097	0.004	0.008	0.085		4.348	8.696	86.957	1			1	4.545			5.263	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/series	3317e885141f	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-02-20	30	30	21				-21	-31	-12	24	1	2	21	0.102	0.004	0.008	0.089		4.167	8.333	87.5	1			1	4.348			5	0.004			0.004	4.673			4.762	35980	23603049	7.9	42.3
jhu/series	6b4d26d1c610	25f5ba77f2c8	total-country	Taiwan	TW	Taiwan			23.5	121	Asia	Eastern Asia	2020-02-21	31	31	22				-20	-30	-11	26	1	2	23	0.11	0.004	0.008	0.097		3.846	7.692	88.462	2			2	8.333			9.524	0.008			0.008	9.346			9.524	35980	23603049	7.9	42.3
