dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/series	2614c5e7d685	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-14	53	1					-18	-16	-20	4			4	0.118			0.118				100	4			4					0.118			0.118	12.658			13.423	176215	3387605	9.3	35.5
jhu/series	efe2ec6500fa	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-16	55	3					-16	-14	-18	8			8	0.236			0.236				100	4			4	100			100	0.118			0.118	12.658			13.423	176215	3387605	9.3	35.5
jhu/series	e2251baf27bc	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-17	56	4	1				-15	-13	-17	29			29	0.856			0.856				100	21			21	262.5			262.5	0.62			0.62	66.456			70.47	176215	3387605	9.3	35.5
jhu/series	8e4df1afe2c7	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-18	57	5	2				-14	-12	-16	50			50	1.476			1.476				100	21			21	72.414			72.414	0.62			0.62	66.456			70.47	176215	3387605	9.3	35.5
jhu/series	53694f98ae64	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-19	58	6	3				-13	-11	-15	79			79	2.332			2.332				100	29			29	58			58	0.856			0.856	91.772			97.315	176215	3387605	9.3	35.5
jhu/series	06ef98e5134d	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-20	59	7	4				-12	-10	-14	94			94	2.775			2.775				100	15			15	18.987			18.987	0.443			0.443	47.468			50.336	176215	3387605	9.3	35.5
jhu/series	d85f06e3ea63	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-21	60	8	5	1			-11	-9	-13	110			110	3.247			3.247				100	16			16	17.021			17.021	0.472			0.472	50.633			53.691	176215	3387605	9.3	35.5
jhu/series	e97cde152fa8	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-22	61	9	6	2			-10	-8	-12	158			158	4.664			4.664				100	48			48	43.636			43.636	1.417			1.417	151.899			161.074	176215	3387605	9.3	35.5
jhu/series	3062da1745aa	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-23	62	10	7	3			-9	-7	-11	162			162	4.782			4.782				100	4			4	2.532			2.532	0.118			0.118	12.658			13.423	176215	3387605	9.3	35.5
jhu/series	f270b88651a3	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-25	64	12	9	5			-7	-5	-9	189			189	5.579			5.579				100	27			27	16.667			16.667	0.797			0.797	85.443			90.604	176215	3387605	9.3	35.5
jhu/series	a42d7492ce10	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-26	65	13	10	6			-6	-4	-8	217			217	6.406			6.406				100	28			28	14.815			14.815	0.827			0.827	88.608			93.96	176215	3387605	9.3	35.5
jhu/series	87bb40692511	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-27	66	14	11	7			-5	-3	-7	238			238	7.026			7.026				100	21			21	9.677			9.677	0.62			0.62	66.456			70.47	176215	3387605	9.3	35.5
jhu/series	b716a18d43e7	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-28	67	15	12	8			-4	-2	-6	274			274	8.088			8.088				100	36			36	15.126			15.126	1.063			1.063	113.924			120.805	176215	3387605	9.3	35.5
jhu/series	1ba3cc99d86c	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-29	68	16	13	9			-3	-1	-5	304	1		303	8.974	0.03		8.944		0.329		99.671	30	1		29	10.949			10.584	0.886	0.03		0.856	94.937	100		97.315	176215	3387605	9.3	35.5
jhu/series	b9b1f125556e	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-30	69	17	14	10			-2	0	-4	310	1		309	9.151	0.03		9.121		0.323		99.677	6			6	1.974			1.98	0.177			0.177	18.987			20.134	176215	3387605	9.3	35.5
jhu/series	594214dd3c9f	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-03-31	70	18	15	11			-1	1	-3	338	1	41	296	9.978	0.03	1.21	8.738		0.296	12.13	87.574	28		41	-13	9.032			-4.207	0.827		1.21	-0.384	88.608		140.411	-43.624	176215	3387605	9.3	35.5
jhu/series	4a0ac393d841	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-04-01	71	19	16	12			0	2	-2	338	2	41	295	9.978	0.059	1.21	8.708		0.592	12.13	87.278		1		-1		100		-0.338		0.03		-0.03		100		-3.356	176215	3387605	9.3	35.5
jhu/series	3bc7a5cd6163	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-04-02	72	20	17	13			1	3	-1	350	4	62	284	10.332	0.118	1.83	8.384		1.143	17.714	81.143	12	2	21	-11	3.55	100	51.22	-3.729	0.354	0.059	0.62	-0.325	37.975	200	71.918	-36.913	176215	3387605	9.3	35.5
jhu/series	11bbdc4b1d95	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-04-03	73	21	18	14			2	4	0	369	4	68	297	10.893	0.118	2.007	8.767		1.084	18.428	80.488	19		6	13	5.429		9.677	4.577	0.561		0.177	0.384	60.127		20.548	43.624	176215	3387605	9.3	35.5
jhu/series	e958b147343f	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-04-04	74	22	19	15			3	5	1	400	5	93	302	11.808	0.148	2.745	8.915		1.25	23.25	75.5	31	1	25	5	8.401	25	36.765	1.684	0.915	0.03	0.738	0.148	98.101	100	85.616	16.779	176215	3387605	9.3	35.5
jhu/series	6940ed6d1e7b	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-04-06	76	24	21	17			5	7	3	406	6	104	296	11.985	0.177	3.07	8.738		1.478	25.616	72.906	6	1	11	-6	1.5	20	11.828	-1.987	0.177	0.03	0.325	-0.177	18.987	100	37.671	-20.134	176215	3387605	9.3	35.5
jhu/series	8bc123652e22	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-04-07	77	25	22	18			6	8	4	424	7	150	267	12.516	0.207	4.428	7.882		1.651	35.377	62.972	18	1	46	-29	4.433	16.667	44.231	-9.797	0.531	0.03	1.358	-0.856	56.962	100	157.534	-97.315	176215	3387605	9.3	35.5
jhu/series	7dad3dd282e9	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-04-09	79	27	24	20			8	10	6	456	7	192	257	13.461	0.207	5.668	7.586		1.535	42.105	56.36	32		42	-10	7.547		28	-3.745	0.945		1.24	-0.295	101.266		143.836	-33.557	176215	3387605	9.3	35.5
jhu/series	ec510a0e0992	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-04-10	80	28	25	21			9	11	7	473	7	206	260	13.963	0.207	6.081	7.675		1.48	43.552	54.968	17		14	3	3.728		7.292	1.167	0.502		0.413	0.089	53.797		47.945	10.067	176215	3387605	9.3	35.5
jhu/series	041a64335c02	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-04-11	81	29	26	22			10	12	8	494	7	214	273	14.583	0.207	6.317	8.059		1.417	43.32	55.263	21		8	13	4.44		3.883	5	0.62		0.236	0.384	66.456		27.397	43.624	176215	3387605	9.3	35.5
jhu/series	df7bb1285b75	d54b28d43af2	total-country	Uruguay	UY	Uruguay			-33	-56	Americas	South America	2020-04-12	82	30	27	23			11	13	9	480	7	231	242	14.169	0.207	6.819	7.144		1.458	48.125	50.417	-14		17	-31	-2.834		7.944	-11.355	-0.413		0.502	-0.915	-44.304		58.219	-104.027	176215	3387605	9.3	35.5
