dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	delta_pct_confirmed	delta_pct_deaths	delta_pct_recovered	delta_pct_infected	delta_pop100k_confirmed	delta_pop100k_deaths	delta_pop100k_recovered	delta_pop100k_infected	peak_pct_confirmed	peak_pct_deaths	peak_pct_recovered	peak_pct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
nytimes/us-states	8de2869b064e	255551621c6b	total-region	Americas		Americas					Americas		2020-01-21	1	1					-77	-77	-77	1			1	0			0				100	1			1					0			0	0.003			0.003	42447098	1014663734		
nytimes/us-states	d27d4ec5db52	255551621c6b	total-region	Americas		Americas					Americas		2020-01-24	4	4					-74	-74	-74	2			2	0			0				100	1			1	100			100	0			0	0.003			0.003	42447098	1014663734		
nytimes/us-states	dbf32b4e6a84	255551621c6b	total-region	Americas		Americas					Americas		2020-01-25	5	5					-73	-73	-73	3			3	0			0				100	1			1	50			50	0			0	0.003			0.003	42447098	1014663734		
nytimes/us-states	123c0cb4d473	255551621c6b	total-region	Americas		Americas					Americas		2020-01-26	6	6					-72	-72	-72	5			5	0			0				100	2			2	66.667			66.667	0			0	0.006			0.007	42447098	1014663734		
nytimes/us-states	d687e3c30e15	255551621c6b	total-region	Americas		Americas					Americas		2020-01-30	10	10					-68	-68	-68	6			6	0.001			0.001				100	1			1	20			20	0			0	0.003			0.003	42447098	1014663734		
nytimes/us-states	27f6e754075e	255551621c6b	total-region	Americas		Americas					Americas		2020-01-31	11	11					-67	-67	-67	7			7	0.001			0.001				100	1			1	16.667			16.667	0			0	0.003			0.003	42447098	1014663734		
nytimes/us-states	f749571da167	255551621c6b	total-region	Americas		Americas					Americas		2020-02-01	12	12					-66	-66	-66	8			8	0.001			0.001				100	1			1	14.286			14.286	0			0	0.003			0.003	42447098	1014663734		
nytimes/us-states	2a8b9adbef8c	255551621c6b	total-region	Americas		Americas					Americas		2020-02-02	13	13	1				-65	-65	-65	11			11	0.001			0.001				100	3			3	37.5			37.5	0			0	0.009			0.01	42447098	1014663734		
nytimes/us-states	46992f74c0b1	255551621c6b	total-region	Americas		Americas					Americas		2020-02-05	16	16	4				-62	-62	-62	12			12	0.001			0.001				100	1			1	9.091			9.091	0			0	0.003			0.003	42447098	1014663734		
nytimes/us-states	d552a7adaaf4	255551621c6b	total-region	Americas		Americas					Americas		2020-02-10	21	21	9				-57	-57	-57	13			13	0.001			0.001				100	1			1	8.333			8.333	0			0	0.003			0.003	42447098	1014663734		
