data_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	date	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age	location_key	location_key_original
40ae51e89e10	total-region	Americas		Americas		(total)			2020-01-21	1					2			2	0.00019710963671832582			0.00019710963671832582				100									42447098	1014663734			255551621c6b	
06d05e867636	total-region	Americas		Americas		(total)			2020-01-24	4					4			4	0.00039421927343665165			0.00039421927343665165				100	2			2	100			100	42447098	1014663734			255551621c6b	
c48ca5df3f21	total-region	Americas		Americas		(total)			2020-01-25	5					6			6	0.0005913289101549775			0.0005913289101549775				100	2			2	50			50	42447098	1014663734			255551621c6b	
b45188380e17	total-region	Americas		Americas		(total)			2020-01-26	6	1				10			10	0.000985548183591629			0.000985548183591629				100	4			4	66.66666666666667			66.66666666666667	42447098	1014663734			255551621c6b	
b459b2575578	total-region	Americas		Americas		(total)			2020-01-30	10	5				12			12	0.001182657820309955			0.001182657820309955				100	2			2	20			20	42447098	1014663734			255551621c6b	
ed1682558ad7	total-region	Americas		Americas		(total)			2020-01-31	11	6				14			14	0.0013797674570282807			0.0013797674570282807				100	2			2	16.666666666666668			16.666666666666668	42447098	1014663734			255551621c6b	
09909bb61ab3	total-region	Americas		Americas		(total)			2020-02-01	12	7				16			16	0.0015768770937466066			0.0015768770937466066				100	2			2	14.285714285714286			14.285714285714286	42447098	1014663734			255551621c6b	
79b95c21bc2e	total-region	Americas		Americas		(total)			2020-02-02	13	8				22			22	0.002168206003901584			0.002168206003901584				100	6			6	37.5			37.5	42447098	1014663734			255551621c6b	
cfc87b0e543a	total-region	Americas		Americas		(total)			2020-02-05	16	11				24			24	0.00236531564061991			0.00236531564061991				100	2			2	9.090909090909092			9.090909090909092	42447098	1014663734			255551621c6b	
ebf87de7ce38	total-region	Americas		Americas		(total)			2020-02-10	21	16				26			26	0.002562425277338236			0.002562425277338236				100	2			2	8.333333333333334			8.333333333333334	42447098	1014663734			255551621c6b	
96f888296f83	total-region	Americas		Americas		(total)			2020-02-12	23	18				28			28	0.0027595349140565615			0.0027595349140565615				100	2			2	7.6923076923076925			7.6923076923076925	42447098	1014663734			255551621c6b	
c5b973be97fc	total-region	Americas		Americas		(total)			2020-02-13	24	19				30			30	0.0029566445507748875			0.0029566445507748875				100	2			2	7.142857142857143			7.142857142857143	42447098	1014663734			255551621c6b	
bf5cc5b04410	total-region	Americas		Americas		(total)			2020-02-17	28	23				50			50	0.004927740917958145			0.004927740917958145				100	20			20	66.66666666666667			66.66666666666667	42447098	1014663734			255551621c6b	
0d8745bb7fe1	total-region	Americas		Americas		(total)			2020-02-20	31	26				54			54	0.005321960191394797			0.005321960191394797				100	4			4	8			8	42447098	1014663734			255551621c6b	
4be4d76ae0cf	total-region	Americas		Americas		(total)			2020-02-21	32	27				60			60	0.005913289101549775			0.005913289101549775				100	6			6	11.11111111111111			11.11111111111111	42447098	1014663734			255551621c6b	
34a419d8a506	total-region	Americas		Americas		(total)			2020-02-24	35	30				86			86	0.008475714378888012			0.008475714378888012				100	26			26	43.333333333333336			43.333333333333336	42447098	1014663734			255551621c6b	
